Date,Value,Anomaly
189501,44.1,0.7
189502,50.6,3.5
189503,51.3,0.7
189504,56.4,0.8
189505,63.0,-0.3
189506,72.5,1.3
189507,74.7,-2.7
189508,75.0,-0.7
189509,66.5,-4.2
189510,63.3,1.6
189511,51.4,0.8
189512,43.3,-0.8
189601,48.3,4.9
189602,50.8,3.7
189603,52.6,2.0
189604,50.8,-4.8
189605,59.4,-3.9
189606,72.2,1.0
189607,79.3,1.9
189608,74.4,-1.3
189609,69.5,-1.2
189610,63.3,1.6
189611,50.2,-0.4
189612,48.8,4.7
189701,45.1,1.7
189702,45.8,-1.3
189703,45.9,-4.7
189704,59.6,4.0
189705,67.8,4.5
189706,70.2,-1.0
189707,76.6,-0.8
189708,75.7,0.0
189709,69.0,-1.7
189710,60.6,-1.1
189711,50.2,-0.4
189712,45.4,1.3
189801,40.8,-2.6
189802,49.7,2.6
189803,49.5,-1.1
189804,59.7,4.1
189805,61.1,-2.2
189806,71.4,0.2
189807,76.8,-0.6
189808,76.2,0.5
189809,69.1,-1.6
189810,61.4,-0.3
189811,51.4,0.8
189812,44.3,0.2
189901,46.8,3.4
189902,48.0,0.9
189903,50.3,-0.3
189904,56.8,1.2
189905,59.1,-4.2
189906,71.9,0.7
189907,75.7,-1.7
189908,70.5,-5.2
189909,72.7,2.0
189910,58.3,-3.4
189911,53.4,2.8
189912,45.3,1.2
190001,49.0,5.6
190002,49.7,2.6
190003,55.3,4.7
190004,54.8,-0.8
190005,64.3,1.0
190006,72.6,1.4
190007,76.7,-0.7
190008,72.2,-3.5
190009,67.0,-3.7
190010,58.9,-2.8
190011,53.5,2.9
190012,46.5,2.4
190101,44.0,0.6
190102,47.7,0.6
190103,53.4,2.8
190104,54.5,-1.1
190105,62.6,-0.7
190106,70.3,-0.9
190107,75.5,-1.9
190108,75.8,0.1
190109,68.0,-2.7
190110,64.1,2.4
190111,54.0,3.4
190112,46.4,2.3
190201,42.8,-0.6
190202,49.3,2.2
190203,48.7,-1.9
190204,54.7,-0.9
190205,60.5,-2.8
190206,71.8,0.6
190207,75.9,-1.5
190208,74.6,-1.1
190209,72.0,1.3
190210,60.2,-1.5
190211,49.5,-1.1
190212,44.8,0.7
190301,44.2,0.8
190302,42.0,-5.1
190303,47.7,-2.9
190304,52.3,-3.3
190305,64.3,1.0
190306,70.6,-0.6
190307,73.7,-3.7
190308,75.3,-0.4
190309,70.5,-0.2
190310,64.8,3.1
190311,52.9,2.3
190312,46.6,2.5
190401,45.0,1.6
190402,45.9,-1.2
190403,47.1,-3.5
190404,55.4,-0.2
190405,66.5,3.2
190406,73.6,2.4
190407,76.2,-1.2
190408,75.6,-0.1
190409,71.4,0.7
190410,60.6,-1.1
190411,51.0,0.4
190412,44.6,0.5
190501,46.5,3.1
190502,48.9,1.8
190503,52.8,2.2
190504,57.2,1.6
190505,59.9,-3.4
190506,69.6,-1.6
190507,77.9,0.5
190508,75.9,0.2
190509,70.4,-0.3
190510,60.6,-1.1
190511,50.2,-0.4
190512,42.6,-1.5
190601,45.7,2.3
190602,50.6,3.5
190603,49.4,-1.2
190604,55.7,0.1
190605,59.5,-3.8
190606,66.1,-5.1
190607,79.4,2.0
190608,75.9,0.2
190609,69.8,-0.9
190610,62.4,0.7
190611,50.8,0.2
190612,45.5,1.4
190701,41.8,-1.6
190702,52.0,4.9
190703,46.5,-4.1
190704,56.3,0.7
190705,61.8,-1.5
190706,68.7,-2.5
190707,75.7,-1.7
190708,74.5,-1.2
190709,67.2,-3.5
190710,63.0,1.3
190711,51.6,1.0
190712,44.6,0.5
190801,45.0,1.6
190802,44.9,-2.2
190803,51.2,0.6
190804,57.8,2.2
190805,58.0,-5.3
190806,68.8,-2.4
190807,81.6,4.2
190808,77.3,1.6
190809,71.8,1.1
190810,59.6,-2.1
190811,52.1,1.5
190812,40.2,-3.9
190901,47.4,4.0
190902,45.5,-1.6
190903,48.2,-2.4
190904,58.3,2.7
190905,62.5,-0.8
190906,71.9,0.7
190907,75.6,-1.8
190908,74.9,-0.8
190909,71.5,0.8
190910,60.2,-1.5
190911,50.0,-0.6
190912,41.8,-2.3
191001,40.1,-3.3
191002,44.0,-3.1
191003,53.8,3.2
191004,58.6,3.0
191005,66.5,3.2
191006,69.5,-1.7
191007,78.2,0.8
191008,76.4,0.7
191009,68.5,-2.2
191010,63.0,1.3
191011,51.1,0.5
191012,47.0,2.9
191101,43.9,0.5
191102,43.0,-4.1
191103,52.7,2.1
191104,53.9,-1.7
191105,58.7,-4.6
191106,70.6,-0.6
191107,79.9,2.5
191108,73.3,-2.4
191109,65.1,-5.6
191110,59.2,-2.5
191111,51.1,0.5
191112,43.4,-0.7
191201,44.9,1.5
191202,49.1,2.0
191203,47.8,-2.8
191204,51.2,-4.4
191205,63.1,-0.2
191206,71.0,-0.2
191207,76.4,-1.0
191208,74.2,-1.5
191209,68.4,-2.3
191210,56.7,-5.0
191211,50.1,-0.5
191212,44.2,0.1
191301,40.5,-2.9
191302,45.9,-1.2
191303,48.6,-2.0
191304,54.3,-1.3
191305,64.4,1.1
191306,69.8,-1.4
191307,78.7,1.3
191308,80.0,4.3
191309,73.9,3.2
191310,64.1,2.4
191311,48.6,-2.0
191312,42.4,-1.7
191401,44.4,1.0
191402,46.8,-0.3
191403,54.6,4.0
191404,55.9,0.3
191405,64.8,1.5
191406,70.1,-1.1
191407,76.6,-0.8
191408,76.4,0.7
191409,68.0,-2.7
191410,59.9,-1.8
191411,51.8,1.2
191412,40.3,-3.8
191501,42.4,-1.0
191502,46.3,-0.8
191503,53.2,2.6
191504,56.2,0.6
191505,59.6,-3.7
191506,71.7,0.5
191507,77.5,0.1
191508,78.6,2.9
191509,70.6,-0.1
191510,63.3,1.6
