Date,Value,Anomaly
189501,41.1,-0.7
189502,46.1,2.0
189503,45.8,-0.4
189504,49.7,0.0
189505,53.9,-0.5
189506,60.4,0.4
189507,64.5,-1.2
189508,64.7,-1.1
189509,59.1,-3.8
189510,57.0,1.5
189511,46.0,-1.0
189512,40.0,-2.3
189601,44.6,2.8
189602,45.5,1.4
189603,46.9,0.7
189604,44.2,-5.5
189605,50.3,-4.1
189606,59.7,-0.3
189607,67.7,2.0
189608,65.6,-0.2
189609,61.1,-1.8
189610,55.5,0.0
189611,43.9,-3.1
189612,45.4,3.1
189701,42.6,0.8
189702,42.4,-1.7
189703,40.7,-5.5
189704,51.9,2.2
189705,57.8,3.4
189706,58.8,-1.2
189707,64.4,-1.3
189708,66.1,0.3
189709,60.9,-2.0
189710,54.4,-1.1
189711,45.1,-1.9
189712,43.1,0.8
189801,38.8,-3.0
189802,45.3,1.2
189803,44.2,-2.0
189804,51.2,1.5
189805,52.2,-2.2
189806,59.8,-0.2
189807,64.6,-1.1
189808,66.4,0.6
189809,61.4,-1.5
189810,54.3,-1.2
189811,46.9,-0.1
189812,41.5,-0.8
189901,43.5,1.7
189902,42.6,-1.5
189903,45.1,-1.1
189904,48.7,-1.0
189905,49.9,-4.5
189906,59.1,-0.9
189907,64.7,-1.0
189908,61.4,-4.4
189909,64.3,1.4
189910,51.8,-3.7
189911,49.9,2.9
189912,43.3,1.0
190001,46.0,4.2
190002,45.0,0.9
190003,50.2,4.0
190004,48.3,-1.4
190005,54.0,-0.4
190006,61.0,1.0
190007,64.9,-0.8
190008,62.8,-3.0
190009,60.0,-2.9
190010,51.8,-3.7
190011,48.4,1.4
190012,44.3,2.0
190101,40.1,-1.7
190102,42.8,-1.3
190103,47.3,1.1
190104,46.9,-2.8
190105,53.2,-1.2
190106,57.2,-2.8
190107,63.4,-2.3
190108,65.6,-0.2
190109,59.6,-3.3
190110,57.1,1.6
190111,48.8,1.8
190112,43.0,0.7
190201,40.9,-0.9
190202,45.7,1.6
190203,43.9,-2.3
190204,48.3,-1.4
190205,52.5,-1.9
190206,60.1,0.1
190207,64.1,-1.6
190208,65.5,-0.3
190209,63.5,0.6
190210,54.2,-1.3
190211,45.7,-1.3
190212,41.9,-0.4
190301,41.6,-0.2
190302,39.6,-4.5
190303,44.2,-2.0
190304,47.4,-2.3
190305,55.4,1.0
190306,61.4,1.4
