Date,Value,Anomaly
189501,53.4,-0.8
189502,60.5,2.1
189503,64.0,0.9
189504,70.4,0.6
189505,79.2,2.0
189506,85.8,0.2
189507,89.5,-2.2
189508,89.3,-1.5
189509,84.2,-0.9
189510,75.2,1.4
189511,61.9,-0.3
189512,53.0,-1.5
189601,58.4,4.2
189602,60.3,1.9
189603,65.8,2.7
189604,67.6,-2.2
189605,79.2,2.0
189606,90.7,5.1
189607,93.0,1.3
189608,90.8,0.0
189609,84.0,-1.1
189610,75.2,1.4
189611,61.3,-0.9
189612,56.4,1.9
189701,54.6,0.4
189702,55.8,-2.6
189703,59.2,-3.9
189704,72.2,2.4
189705,79.8,2.6
189706,85.6,0.0
189707,91.8,0.1
189708,92.1,1.3
189709,84.6,-0.5
189710,69.7,-4.1
189711,61.5,-0.7
189712,51.3,-3.2
189801,49.4,-4.8
189802,60.8,2.4
189803,60.3,-2.8
189804,74.3,4.5
189805,75.9,-1.3
189806,86.8,1.2
189807,92.4,0.7
189808,92.6,1.8
189809,86.2,1.1
189810,73.6,-0.2
189811,60.8,-1.4
189812,52.6,-1.9
189901,54.6,0.4
189902,57.5,-0.9
189903,62.6,-0.5
189904,72.2,2.4
189905,73.4,-3.8
189906,86.0,0.4
189907,90.7,-1.0
189908,85.9,-4.9
189909,88.9,3.8
189910,70.1,-3.7
189911,62.7,0.5
189912,55.8,1.3
190001,57.1,2.9
190002,60.7,2.3
190003,67.8,4.7
190004,65.2,-4.6
190005,78.7,1.5
190006,86.7,1.1
190007,91.6,-0.1
190008,87.7,-3.1
190009,78.4,-6.7
190010,73.1,-0.7
190011,65.3,3.1
190012,56.2,1.7
190101,53.6,-0.6
190102,59.6,1.2
190103,64.7,1.6
190104,68.4,-1.4
190105,77.0,-0.2
190106,85.3,-0.3
190107,93.5,1.8
190108,92.9,2.1
190109,82.1,-3.0
190110,75.1,1.3
190111,64.5,2.3
190112,55.7,1.2
190201,54.6,0.4
190202,58.9,0.5
190203,62.0,-1.1
190204,70.0,0.2
190205,79.0,1.8
190206,86.6,1.0
190207,88.9,-2.8
190208,90.1,-0.7
190209,85.3,0.2
190210,73.6,-0.2
190211,61.3,-0.9
190212,52.8,-1.7
190301,55.6,1.4
190302,54.4,-4.0
190303,65.3,2.2
190304,70.2,0.4
190305,79.8,2.6
190306,85.9,0.3
190307,89.9,-1.8
190308,92.1,1.3
190309,84.4,-0.7
190310,73.4,-0.4
190311,64.2,2.0
190312,53.2,-1.3
190401,52.3,-1.9
190402,60.9,2.5
190403,67.2,4.1
190404,70.1,0.3
190405,78.4,1.2
190406,87.5,1.9
190407,90.1,-1.6
190408,91.4,0.6
190409,83.2,-1.9
190410,70.2,-3.6
190411,64.2,2.0
190412,54.8,0.3
190501,56.9,2.7
190502,57.3,-1.1
190503,64.6,1.5
190504,68.7,-1.1
190505,73.8,-3.4
190506,83.8,-1.8
190507,91.6,-0.1
190508,91.5,0.7
190509,85.0,-0.1
190510,72.5,-1.3
190511,60.8,-1.4
190512,52.5,-2.0
190601,53.5,-0.7
190602,61.6,3.2
190603,61.7,-1.4
190604,68.5,-1.3
