Date,Value,Anomaly
189501,38.6,-2.6
189502,43.9,-0.8
189503,47.8,-1.8
189504,56.3,-0.4
189505,66.6,1.6
189506,74.0,0.0
189507,79.3,-1.6
189508,78.6,-0.6
189509,70.3,-1.6
189510,60.4,-0.6
189511,47.6,-1.5
189512,39.8,-1.7
189601,44.3,3.1
189602,45.1,0.4
189603,49.6,0.0
189604,51.2,-5.5
189605,63.6,-1.4
189606,78.3,4.3
189607,82.1,1.2
189608,79.0,-0.2
189609,70.5,-1.4
189610,61.6,0.6
189611,48.8,-0.3
189612,44.7,3.2
189701,40.5,-0.7
189702,40.2,-4.5
189703,42.4,-7.2
189704,57.3,0.6
189705,68.5,3.5
189706,74.0,0.0
189707,79.9,-1.0
189708,81.4,2.2
189709,71.4,-0.5
189710,57.2,-3.8
189711,50.5,1.4
189712,39.4,-2.1
189801,34.1,-7.1
189802,47.5,2.8
189803,44.9,-4.7
189804,60.8,4.1
189805,62.7,-2.3
189806,75.1,1.1
189807,81.5,0.6
189808,82.2,3.0
189809,73.4,1.5
189810,60.5,-0.5
189811,48.3,-0.8
189812,39.3,-2.2
189901,41.2,0.0
189902,44.7,0.0
189903,49.2,-0.4
189904,58.6,1.9
189905,60.9,-4.1
189906,75.7,1.7
189907,82.0,1.1
189908,74.8,-4.4
189909,75.6,3.7
189910,57.6,-3.4
189911,51.4,2.3
189912,40.8,-0.7
190001,43.1,1.9
190002,46.1,1.4
190003,54.4,4.8
190004,53.0,-3.7
190005,66.7,1.7
190006,76.6,2.6
190007,81.5,0.6
190008,75.3,-3.9
190009,67.1,-4.8
190010,59.4,-1.6
190011,50.3,1.2
190012,42.1,0.6
190101,41.1,-0.1
190102,44.5,-0.2
190103,49.3,-0.3
190104,54.1,-2.6
190105,64.0,-1.0
190106,73.5,-0.5
190107,82.2,1.3
190108,81.0,1.8
190109,70.2,-1.7
190110,63.3,2.3
190111,53.9,4.8
190112,43.0,1.5
190201,39.6,-1.6
190202,45.7,1.0
190203,46.4,-3.2
190204,55.4,-1.3
190205,62.2,-2.8
190206,75.6,1.6
190207,78.1,-2.8
190208,77.4,-1.8
190209,72.7,0.8
190210,60.4,-0.6
190211,46.9,-2.2
190212,40.3,-1.2
190301,39.0,-2.2
190302,36.3,-8.4
190303,47.6,-2.0
190304,53.8,-2.9
190305,63.9,-1.1
190306,74.6,0.6
190307,76.4,-4.5
190308,78.7,-0.5
190309,68.3,-3.6
190310,62.2,1.2
190311,50.4,1.3
190312,41.0,-0.5
190401,41.6,0.4
190402,47.4,2.7
190403,49.6,0.0
190404,57.1,0.4
190405,68.2,3.2
190406,74.5,0.5
190407,78.9,-2.0
190408,80.0,0.8
190409,71.6,-0.3
190410,59.5,-1.5
190411,50.6,1.5
190412,42.8,1.3
190501,46.4,5.2
190502,47.3,2.6
190503,51.7,2.1
190504,57.3,0.6
190505,60.8,-4.2
190506,72.6,-1.4
190507,81.2,0.3
190508,79.3,0.1
190509,72.0,0.1
190510,59.3,-1.7
190511,48.6,-0.5
190512,38.2,-3.3
190601,43.9,2.7
190602,50.3,5.6
190603,49.2,-0.4
190604,53.0,-3.7
190605,60.6,-4.4
190606,70.9,-3.1
190607,82.1,1.2
190608,77.8,-1.4
190609,71.8,-0.1
190610,61.9,0.9
190611,45.3,-3.8
190612,40.5,-1.0
190701,37.7,-3.5
190702,49.1,4.4
190703,47.6,-2.0
190704,58.6,1.9
190705,60.8,-4.2
190706,68.0,-6.0
190707,77.5,-3.4
190708,74.7,-4.5
190709,67.0,-4.9
190710,59.6,-1.4
190711,48.2,-0.9
190712,43.4,1.9
190801,42.7,1.5
190802,41.2,-3.5
190803,48.8,-0.8
190804,57.5,0.8
190805,59.1,-5.9
190806,68.0,-6.0
190807,81.0,0.1
190808,76.3,-2.9
190809,69.2,-2.7
