Date,Value,Anomaly
189501,40.3,-4.0
189502,47.1,-0.7
189503,48.8,-2.8
189504,54.9,-2.1
189505,64.8,0.5
189506,71.0,-1.5
189507,75.5,-4.1
189508,74.2,-4.1
189509,69.8,-2.2
189510,61.4,-0.9
189511,50.4,-1.4
189512,42.7,-2.1
189601,45.6,1.3
189602,49.7,1.9
189603,52.4,0.8
189604,52.2,-4.8
189605,64.9,0.6
189606,75.4,2.9
189607,78.1,-1.5
189608,76.8,-1.5
189609,69.2,-2.8
189610,61.8,-0.5
189611,49.1,-2.7
189612,46.0,1.2
189701,42.8,-1.5
189702,43.6,-4.2
189703,46.4,-5.2
189704,58.0,1.0
189705,64.5,0.2
189706,73.3,0.8
189707,78.4,-1.2
189708,79.4,1.1
189709,71.4,-0.6
189710,57.8,-4.5
189711,50.4,-1.4
189712,42.6,-2.2
189801,39.2,-5.1
189802,48.6,0.8
189803,48.3,-3.3
189804,59.0,2.0
189805,62.6,-1.7
189806,73.1,0.6
189807,77.2,-2.4
189808,78.7,0.4
189809,71.4,-0.6
189810,62.2,-0.1
189811,50.5,-1.3
189812,43.3,-1.5
189901,45.1,0.8
189902,45.6,-2.2
189903,50.7,-0.9
189904,57.6,0.6
189905,60.9,-3.4
189906,72.6,0.1
189907,79.0,-0.6
189908,73.8,-4.5
189909,73.4,1.4
189910,59.4,-2.9
189911,52.3,0.5
189912,44.7,-0.1
190001,46.3,2.0
190002,49.4,1.6
190003,55.8,4.2
190004,54.1,-2.9
190005,66.4,2.1
190006,74.4,1.9
190007,78.5,-1.1
190008,73.9,-4.4
190009,67.3,-4.7
190010,61.9,-0.4
190011,55.5,3.7
190012,45.8,1.0
190101,43.6,-0.7
190102,48.0,0.2
190103,52.6,1.0
190104,53.9,-3.1
190105,62.8,-1.5
190106,72.3,-0.2
190107,79.7,0.1
190108,78.9,0.6
190109,67.4,-4.6
190110,62.4,0.1
190111,53.2,1.4
190112,45.2,0.4
190201,43.4,-0.9
190202,47.6,-0.2
190203,48.0,-3.6
190204,54.8,-2.2
190205,60.9,-3.4
190206,72.9,0.4
190207,76.1,-3.5
190208,74.8,-3.5
190209,72.8,0.8
190210,60.4,-1.9
190211,48.4,-3.4
190212,43.7,-1.1
190301,42.9,-1.4
190302,40.8,-7.0
190303,49.1,-2.5
190304,55.2,-1.8
190305,63.3,-1.0
190306,72.9,0.4
190307,75.4,-4.2
190308,76.8,-1.5
190309,70.3,-1.7
190310,63.5,1.2
190311,53.2,1.4
190312,44.6,-0.2
190401,43.3,-1.0
190402,49.1,1.3
190403,50.8,-0.8
190404,56.7,-0.3
190405,66.3,2.0
190406,73.7,1.2
190407,77.8,-1.8
190408,80.9,2.6
190409,73.8,1.8
190410,61.6,-0.7
190411,54.6,2.8
190412,46.5,1.7
190501,49.3,5.0
190502,51.1,3.3
190503,53.8,2.2
190504,57.5,0.5
190505,60.4,-3.9
190506,71.4,-1.1
190507,79.8,0.2
190508,78.2,-0.1
190509,72.7,0.7
190510,61.4,-0.9
190511,51.4,-0.4
190512,42.6,-2.2
190601,46.2,1.9
190602,52.0,4.2
190603,52.0,0.4
190604,54.6,-2.4
190605,59.6,-4.7
190606,69.6,-2.9
190607,82.0,2.4
190608,78.2,-0.1
190609,72.1,0.1
190610,63.4,1.1
190611,48.4,-3.4
190612,44.1,-0.7
190701,41.6,-2.7
190702,50.9,3.1
190703,49.6,-2.0
190704,58.2,1.2
190705,60.8,-3.5
190706,69.0,-3.5
190707,77.8,-1.8
190708,75.1,-3.2
190709,66.7,-5.3
190710,60.5,-1.8
190711,51.7,-0.1
190712,45.8,1.0
190801,46.4,2.1
190802,43.9,-3.9
190803,51.2,-0.4
190804,57.1,0.1
190805,58.0,-6.3
190806,66.8,-5.7
190807,81.3,1.7
190808,78.1,-0.2
190809,70.9,-1.1
190810,59.1,-3.2
190811,53.0,1.2
190812,44.2,-0.6
190901,47.9,3.6
190902,45.4,-2.4
190903,47.0,-4.6
190904,56.2,-0.8
190905,61.7,-2.6
190906,71.9,-0.6
190907,76.9,-2.7
190908,78.5,0.2
