Date,Value,Anomaly
189501,43.7,-1.6
189502,51.0,0.5
189503,53.2,-1.4
189504,59.5,-0.9
189505,67.9,0.4
189506,74.8,0.1
189507,78.0,-2.7
189508,76.9,-2.2
189509,71.1,-2.5
189510,65.0,0.5
189511,50.9,-2.3
189512,43.5,-2.2
189601,47.0,1.7
189602,51.5,1.0
189603,55.6,1.0
189604,55.1,-5.3
189605,64.8,-2.7
189606,76.6,1.9
189607,78.4,-2.3
189608,77.7,-1.4
189609,69.9,-3.7
189610,65.9,1.4
189611,50.2,-3.0
189612,48.0,2.3
189701,44.8,-0.5
189702,49.0,-1.5
189703,50.6,-4.0
189704,62.8,2.4
189705,69.2,1.7
189706,77.0,2.3
189707,81.1,0.4
189708,80.8,1.7
189709,73.6,0.0
189710,62.5,-2.0
189711,53.1,-0.1
189712,45.0,-0.7
189801,41.9,-3.4
189802,52.8,2.3
189803,53.0,-1.6
189804,61.6,1.2
189805,66.2,-1.3
189806,76.1,1.4
189807,76.9,-3.8
189808,77.0,-2.1
189809,70.8,-2.8
189810,66.5,2.0
189811,53.0,-0.2
189812,45.7,0.0
189901,48.7,3.4
189902,51.0,0.5
189903,55.2,0.6
189904,62.2,1.8
189905,64.2,-3.3
189906,75.4,0.7
189907,81.3,0.6
189908,75.0,-4.1
189909,75.9,2.3
189910,61.6,-2.9
189911,54.8,1.6
189912,46.7,1.0
190001,47.8,2.5
190002,52.1,1.6
190003,60.4,5.8
190004,59.1,-1.3
190005,70.0,2.5
190006,77.6,2.9
190007,80.7,0.0
190008,76.5,-2.6
190009,70.8,-2.8
190010,65.3,0.8
190011,57.9,4.7
190012,46.7,1.0
190101,46.4,1.1
190102,51.8,1.3
190103,55.8,1.2
190104,58.8,-1.6
190105,67.2,-0.3
190106,75.3,0.6
190107,82.4,1.7
190108,80.9,1.8
190109,70.3,-3.3
190110,65.2,0.7
190111,56.0,2.8
190112,45.4,-0.3
190201,45.6,0.3
190202,53.4,2.9
190203,51.4,-3.2
190204,59.7,-0.7
190205,64.4,-3.1
190206,76.9,2.2
190207,78.8,-1.9
190208,76.3,-2.8
190209,75.2,1.6
190210,63.4,-1.1
190211,50.6,-2.6
190212,45.1,-0.6
190301,43.0,-2.3
190302,43.5,-7.0
190303,53.9,-0.7
190304,60.0,-0.4
190305,66.4,-1.1
190306,77.7,3.0
190307,76.7,-4.0
190308,78.6,-0.5
190309,72.6,-1.0
190310,67.0,2.5
190311,54.0,0.8
190312,45.4,-0.3
190401,43.8,-1.5
190402,51.1,0.6
