Date,Value,Anomaly
189501,43.7,0.8
189502,47.8,2.8
189503,48.0,0.3
189504,52.1,0.5
189505,58.3,-0.1
189506,68.0,1.9
189507,71.1,-2.1
189508,71.9,-0.2
189509,64.1,-3.4
189510,60.4,1.4
189511,49.2,0.3
189512,42.4,-1.0
189601,47.2,4.3
189602,48.1,3.1
189603,49.8,2.1
189604,47.3,-4.3
189605,55.8,-2.6
189606,66.9,0.8
189607,75.6,2.4
189608,71.6,-0.5
189609,66.6,-0.9
189610,60.1,1.1
189611,47.8,-1.1
189612,47.4,4.0
189701,44.0,1.1
189702,43.7,-1.3
189703,43.2,-4.5
189704,55.0,3.4
189705,62.2,3.8
189706,66.1,0.0
189707,73.8,0.6
189708,72.4,0.3
189709,66.4,-1.1
189710,58.1,-0.9
189711,48.0,-0.9
189712,44.0,0.6
189801,40.1,-2.8
189802,46.8,1.8
189803,46.2,-1.5
189804,54.8,3.2
189805,56.4,-2.0
189806,67.3,1.2
189807,73.4,0.2
189808,72.8,0.7
189809,66.3,-1.2
189810,59.3,0.3
189811,49.3,0.4
189812,42.8,-0.6
189901,46.5,3.6
189902,45.3,0.3
189903,47.6,-0.1
189904,52.4,0.8
189905,54.8,-3.6
189906,67.0,0.9
189907,72.1,-1.1
189908,68.3,-3.8
189909,69.5,2.0
189910,56.2,-2.8
189911,51.4,2.5
189912,44.0,0.6
190001,47.2,4.3
190002,46.7,1.7
190003,51.7,4.0
190004,50.7,-0.9
190005,59.5,1.1
190006,67.7,1.6
190007,73.2,0.0
190008,69.9,-2.2
190009,65.3,-2.2
190010,56.4,-2.6
190011,50.8,1.9
190012,45.0,1.6
190101,43.2,0.3
190102,45.5,0.5
190103,50.2,2.5
190104,49.7,-1.9
190105,57.2,-1.2
190106,65.3,-0.8
190107,71.1,-2.1
190108,71.8,-0.3
190109,65.2,-2.3
190110,61.4,2.4
190111,51.5,2.6
190112,44.6,1.2
190201,41.1,-1.8
190202,46.8,1.8
190203,45.6,-2.1
190204,50.2,-1.4
190205,55.6,-2.8
190206,66.3,0.2
190207,72.9,-0.3
190208,71.6,-0.5
190209,68.5,1.0
190210,57.6,-1.4
190211,47.6,-1.3
190212,43.4,0.0
190301,42.9,0.0
190302,40.4,-4.6
190303,45.4,-2.3
190304,49.3,-2.3
190305,58.8,0.4
190306,67.5,1.4
190307,70.7,-2.5
190308,71.5,-0.6
190309,67.7,0.2
190310,62.0,3.0
190311,50.2,1.3
190312,44.6,1.2
190401,43.2,0.3
190402,43.0,-2.0
190403,44.8,-2.9
190404,51.5,-0.1
190405,62.1,3.7
190406,67.5,1.4
190407,71.8,-1.4
190408,70.9,-1.2
190409,68.6,1.1
190410,58.7,-0.3
190411,50.0,1.1
190412,43.6,0.2
190501,45.2,2.3
190502,46.7,1.7
190503,50.4,2.7
190504,52.6,1.0
190505,55.1,-3.3
190506,64.4,-1.7
190507,73.9,0.7
190508,71.9,-0.2
190509,67.3,-0.2
190510,58.3,-0.7
190511,48.7,-0.2
190512,41.8,-1.6
190601,45.0,2.1
190602,48.2,3.2
190603,47.1,-0.6
190604,52.1,0.5
190605,56.0,-2.4
190606,63.2,-2.9
190607,76.0,2.8
190608,72.7,0.6
190609,67.8,0.3
190610,59.7,0.7
190611,49.2,0.3
190612,44.9,1.5
190701,41.0,-1.9
190702,49.6,4.6
190703,44.6,-3.1
190704,52.8,1.2
190705,57.4,-1.0
190706,63.9,-2.2
190707,71.8,-1.4
190708,70.9,-1.2
190709,64.2,-3.3
190710,59.9,0.9
190711,50.1,1.2
190712,44.4,1.0
190801,44.1,1.2
190802,42.7,-2.3
190803,48.1,0.4
190804,53.3,1.7
190805,54.3,-4.1
190806,63.8,-2.3
190807,76.1,2.9
190808,72.4,0.3
190809,68.0,0.5
190810,56.8,-2.2
190811,49.2,0.3
190812,39.8,-3.6
190901,46.0,3.1
190902,43.4,-1.6
190903,44.8,-2.9
190904,53.7,2.1
190905,57.1,-1.3
190906,65.6,-0.5
190907,71.2,-2.0
190908,71.2,-0.9
190909,67.7,0.2
190910,57.3,-1.7
190911,47.8,-1.1
190912,41.0,-2.4
191001,39.2,-3.7
191002,42.0,-3.0
191003,50.5,2.8
191004,53.9,2.3
191005,61.2,2.8
191006,64.3,-1.8
191007,73.3,0.1
191008,71.4,-0.7
191009,64.7,-2.8
191010,60.2,1.2
191011,48.8,-0.1
191012,46.2,2.8
191101,42.9,0.0
191102,40.8,-4.2
191103,49.1,1.4
191104,49.3,-2.3
191105,54.2,-4.2
191106,64.6,-1.5
191107,73.6,0.4
191108,69.6,-2.5
191109,62.5,-5.0
191110,56.6,-2.4
191111,49.0,0.1
191112,42.7,-0.7
191201,45.5,2.6
191202,47.4,2.4
191203,45.5,-2.2
191204,48.2,-3.4
191205,59.0,0.6
191206,65.9,-0.2
191207,70.8,-2.4
191208,70.9,-1.2
191209,65.8,-1.7
191210,54.3,-4.7
191211,48.0,-0.9
191212,43.3,-0.1
191301,40.4,-2.5
191302,44.2,-0.8
191303,46.2,-1.5
191304,50.5,-1.1
191305,59.3,0.9
191306,64.7,-1.4
191307,74.8,1.6
191308,75.6,3.5
191309,70.2,2.7
191310,60.6,1.6
191311,47.6,-1.3
191312,42.2,-1.2
191401,45.0,2.1
191402,45.8,0.8
191403,52.4,4.7
191404,52.5,0.9
191405,59.2,0.8
191406,65.1,-1.0
191407,72.5,-0.7
191408,72.0,-0.1
191409,64.5,-3.0
191410,57.2,-1.8
191411,49.0,0.1
191412,39.9,-3.5
191501,42.6,-0.3
191502,44.0,-1.0
191503,50.0,2.3
191504,52.9,1.3
191505,55.2,-3.2
191506,66.1,0.0
191507,73.2,0.0
191508,74.3,2.2
191509,66.5,-1.0
191510,59.6,0.6
191511,47.1,-1.8
191512,43.7,0.3
191601,38.6,-4.3
191602,48.1,3.1
191603,49.6,1.9
191604,54.1,2.5
191605,56.4,-2.0
191606,64.9,-1.2
191607,73.5,0.3
191608,72.3,0.2
191609,67.5,0.0
191610,54.3,-4.7
191611,45.1,-3.8
191612,40.5,-2.9
191701,39.9,-3.0
191702,44.7,-0.3
191703,44.1,-3.6
191704,50.7,-0.9
191705,54.9,-3.5
191706,67.3,1.2
191707,75.8,2.6
191708,71.9,-0.2
191709,68.0,0.5
191710,63.1,4.1
191711,50.1,1.2
191712,46.9,3.5
191801,45.4,2.5
191802,43.2,-1.8
191803,47.0,-0.7
191804,51.2,-0.4
191805,56.7,-1.7
191806,70.9,4.8
191807,71.3,-1.9
191808,71.6,-0.5
191809,65.4,-2.1
191810,60.4,1.4
191811,46.7,-2.2
191812,40.3,-3.1
191901,43.0,0.1
191902,42.6,-2.4
191903,45.5,-2.2
191904,52.3,0.7
191905,60.4,2.0
191906,65.6,-0.5
