Date,Value,Anomaly
189501,25.7,-3.4
189502,31.9,-0.7
189503,36.5,-0.4
189504,43.7,0.9
189505,50.8,0.3
189506,59.2,1.1
189507,65.3,-0.7
189508,65.6,1.0
189509,53.5,-4.2
189510,50.2,2.3
189511,34.9,-2.2
189512,27.8,-2.6
189601,33.8,4.7
189602,36.0,3.4
189603,36.9,0.0
189604,35.1,-7.7
189605,44.8,-5.7
189606,60.9,2.8
189607,69.2,3.2
189608,64.6,0.0
189609,56.8,-0.9
189610,50.1,2.2
189611,37.1,0.0
189612,34.8,4.4
189701,30.0,0.9
189702,28.6,-4.0
189703,28.9,-8.0
189704,45.5,2.7
189705,57.4,6.9
189706,56.6,-1.5
189707,64.0,-2.0
189708,66.4,1.8
189709,54.7,-3.0
189710,44.6,-3.3
189711,36.0,-1.1
189712,29.0,-1.4
189801,21.3,-7.8
189802,33.0,0.4
189803,31.8,-5.1
189804,42.8,0.0
189805,46.9,-3.6
189806,55.9,-2.2
189807,63.6,-2.4
189808,65.2,0.6
189809,55.7,-2.0
189810,44.4,-3.5
189811,33.8,-3.3
189812,26.1,-4.3
189901,30.4,1.3
189902,30.9,-1.7
189903,33.4,-3.5
189904,41.4,-1.4
189905,43.1,-7.4
189906,55.5,-2.6
189907,62.9,-3.1
189908,56.4,-8.2
189909,57.3,-0.4
189910,40.9,-7.0
189911,37.4,0.3
189912,27.0,-3.4
190001,33.8,4.7
190002,34.0,1.4
190003,40.0,3.1
190004,40.2,-2.6
190005,49.6,-0.9
190006,58.8,0.7
190007,63.6,-2.4
190008,58.2,-6.4
190009,50.0,-7.7
190010,42.6,-5.3
190011,37.0,-0.1
190012,29.4,-1.0
190101,26.2,-2.9
190102,28.9,-3.7
190103,36.2,-0.7
190104,39.7,-3.1
190105,50.5,0.0
190106,55.6,-2.5
190107,65.0,-1.0
190108,65.5,0.9
190109,52.7,-5.0
190110,49.4,1.5
190111,39.6,2.5
190112,31.6,1.2
190201,27.7,-1.4
190202,34.8,2.2
190203,31.6,-5.3
190204,39.9,-2.9
190205,47.3,-3.2
190206,58.6,0.5
190207,61.4,-4.6
190208,61.5,-3.1
190209,57.0,-0.7
190210,45.4,-2.5
190211,33.6,-3.5
190212,30.0,-0.4
190301,29.6,0.5
190302,17.9,-14.7
190303,33.6,-3.3
190304,39.0,-3.8
190305,50.3,-0.2
190306,59.3,1.2
190307,59.2,-6.8
190308,61.6,-3.0
190309,54.4,-3.3
190310,48.2,0.3
190311,38.0,0.9
190312,29.6,-0.8
190401,26.3,-2.8
190402,30.7,-1.9
190403,32.9,-4.0
190404,41.1,-1.7
190405,51.5,1.0
190406,56.6,-1.5
190407,62.8,-3.2
190408,65.2,0.6
190409,57.0,-0.7
190410,45.1,-2.8
190411,38.1,1.0
190412,29.2,-1.2
190501,32.1,3.0
190502,34.0,1.4
190503,36.6,-0.3
190504,43.5,0.7
190505,45.5,-5.0
190506,55.4,-2.7
190507,66.2,0.2
190508,64.1,-0.5
190509,55.9,-1.8
190510,43.3,-4.6
190511,34.4,-2.7
190512,22.9,-7.5
190601,28.2,-0.9
190602,34.0,1.4
190603,33.9,-3.0
190604,43.0,0.2
190605,46.8,-3.7
190606,53.3,-4.8
190607,68.0,2.0
190608,64.9,0.3
190609,55.4,-2.3
190610,46.4,-1.5
190611,34.2,-2.9
190612,30.9,0.5
190701,24.9,-4.2
190702,38.3,5.7
190703,31.4,-5.5
190704,44.9,2.1
190705,49.0,-1.5
190706,53.2,-4.9
190707,62.2,-3.8
190708,59.9,-4.7
190709,54.2,-3.5
190710,50.0,2.1
190711,36.6,-0.5
190712,32.2,1.8
190801,30.8,1.7
190802,31.5,-1.1
190803,34.6,-2.3
190804,44.1,1.3
190805,43.2,-7.3
190806,53.2,-4.9
190807,67.5,1.5
190808,63.5,-1.1
190809,55.3,-2.4
190810,43.0,-4.9
190811,37.0,-0.1
190812,26.1,-4.3
190901,31.8,2.7
190902,32.9,0.3
190903,35.1,-1.8
190904,42.2,-0.6
190905,47.3,-3.2
190906,56.7,-1.4
190907,60.6,-5.4
190908,62.6,-2.0
190909,56.3,-1.4
190910,45.9,-2.0
190911,35.7,-1.4
190912,25.5,-4.9
191001,21.2,-7.9
191002,26.6,-6.0
191003,40.4,3.5
191004,46.3,3.5
191005,53.3,2.8
191006,57.0,-1.1
191007,66.8,0.8
191008,63.0,-1.6
191009,55.6,-2.1
191010,47.6,-0.3
191011,38.0,0.9
191012,33.0,2.6
191101,27.0,-2.1
191102,22.1,-10.5
191103,35.6,-1.3
191104,40.6,-2.2
191105,44.8,-5.7
191106,56.9,-1.2
191107,65.4,-0.6
191108,60.6,-4.0
191109,50.9,-6.8
191110,44.2,-3.7
191111,34.1,-3.0
191112,25.2,-5.2
191201,30.4,1.3
191202,34.0,1.4
191203,33.4,-3.5
191204,38.4,-4.4
191205,48.0,-2.5
191206,55.1,-3.0
191207,61.2,-4.8
191208,60.0,-4.6
191209,53.8,-3.9
191210,42.6,-5.3
191211,38.1,1.0
191212,29.5,-0.9
191301,23.2,-5.9
191302,26.1,-6.5
191303,31.4,-5.5
191304,42.2,-0.6
191305,51.1,0.6
191306,56.0,-2.1
191307,64.1,-1.9
191308,65.9,1.3
191309,59.0,1.3
191310,47.8,-0.1
191311,37.9,0.8
191312,29.8,-0.6
191401,31.7,2.6
191402,32.2,-0.4
191403,42.8,5.9
191404,44.0,1.2
191405,53.1,2.6
191406,58.1,0.0
191407,65.4,-0.6
191408,66.7,2.1
191409,55.3,-2.4
191410,47.9,0.0
191411,39.4,2.3
191412,21.9,-8.5
191501,27.7,-1.4
191502,32.5,-0.1
191503,39.4,2.5
191504,45.7,2.9
191505,46.7,-3.8
191506,56.2,-1.9
191507,64.0,-2.0
191508,67.7,3.1
191509,56.4,-1.3
191510,49.9,2.0
191511,36.0,-1.1
191512,33.0,2.6
191601,22.5,-6.6
191602,35.1,2.5
191603,40.0,3.1
191604,45.4,2.6
191605,46.9,-3.6
191606,56.3,-1.8
191607,63.6,-2.4
191608,63.2,-1.4
191609,58.0,0.3
191610,44.1,-3.8
191611,33.4,-3.7
191612,28.2,-2.2
191701,14.7,-14.4
191702,26.2,-6.4
191703,28.9,-8.0
191704,40.1,-2.7
191705,45.8,-4.7
191706,57.1,-1.0
191707,69.0,3.0
191708,67.1,2.5
191709,57.2,-0.5
191710,52.2,4.3
191711,39.9,2.8
191712,36.9,6.5
191801,33.2,4.1
191802,31.1,-1.5
191803,35.6,-1.3
191804,42.2,-0.6
191805,47.6,-2.9
191806,64.9,6.8
191807,64.3,-1.7
191808,62.1,-2.5
191809,58.4,0.7
191810,49.8,1.9
191811,35.3,-1.8
191812,27.2,-3.2
191901,28.9,-0.2
191902,30.1,-2.5
191903,35.2,-1.7
191904,44.8,2.0
191905,54.0,3.5
191906,57.0,-1.1
191907,67.2,1.2
191908,64.9,0.3
191909,56.1,-1.6
191910,42.6,-5.3
191911,35.3,-1.8
191912,26.5,-3.9
192001,33.7,4.6
192002,34.7,2.1
192003,35.4,-1.5
192004,41.0,-1.8
192005,50.0,-0.5
192006,56.5,-1.6
192007,63.3,-2.7
192008,65.9,1.3
192009,56.6,-1.1
192010,42.6,-5.3
192011,35.6,-1.5
192012,29.7,-0.7
192101,29.4,0.3
192102,33.8,1.2
192103,40.2,3.3
192104,41.7,-1.1
192105,47.8,-2.7
192106,59.0,0.9
192107,66.2,0.2
192108,63.4,-1.2
192109,55.4,-2.3
192110,50.0,2.1
192111,39.3,2.2
192112,32.0,1.6
192201,23.1,-6.0
192202,26.4,-6.2
192203,31.2,-5.7
192204,38.4,-4.4
192205,50.5,0.0
192206,60.8,2.7
192207,67.9,1.9
192208,63.1,-1.5
192209,60.0,2.3
192210,47.2,-0.7
192211,33.8,-3.3
192212,31.6,1.2
192301,29.8,0.7
192302,27.7,-4.9
192303,37.7,0.8
192304,41.5,-1.3
192305,50.4,-0.1
192306,52.8,-5.3
192307,64.8,-1.2
192308,63.3,-1.3
192309,59.0,1.3
192310,45.5,-2.4
192311,40.8,3.7
192312,29.4,-1.0
192401,25.8,-3.3
192402,38.6,6.0
192403,34.6,-2.3
192404,44.0,1.2
192405,56.7,6.2
192406,59.6,1.5
192407,66.0,0.0
192408,63.2,-1.4
192409,56.9,-0.8
192410,45.4,-2.5
192411,37.6,0.5
192412,25.2,-5.2
192501,32.6,3.5
192502,36.8,4.2
192503,39.5,2.6
192504,44.5,1.7
192505,52.5,2.0
192506,58.9,0.8
192507,68.0,2.0
192508,62.0,-2.6
192509,53.2,-4.5
192510,46.6,-1.3
192511,37.0,-0.1
192512,32.1,1.7
192601,30.2,1.1
192602,35.8,3.2
192603,43.8,6.9
192604,48.5,5.7
192605,52.6,2.1
192606,65.4,7.3
192607,68.9,2.9
192608,65.3,0.7
192609,54.3,-3.4
192610,49.6,1.7
192611,42.7,5.6
192612,30.5,0.1
192701,31.8,2.7
192702,33.3,0.7
192703,37.4,0.5
192704,41.9,-0.9
192705,49.1,-1.4
192706,59.2,1.1
192707,67.3,1.3
192708,63.6,-1.0
192709,54.3,-3.4
192710,48.6,0.7
192711,40.6,3.5
192712,27.4,-3.0
192801,31.2,2.1
192802,34.3,1.7
192803,40.6,3.7
192804,41.8,-1.0
192805,57.2,6.7
192806,58.4,0.3
192807,68.2,2.2
192808,65.7,1.1
192809,59.0,1.3
192810,48.2,0.3
192811,37.3,0.2
192812,27.8,-2.6
192901,28.7,-0.4
192902,29.3,-3.3
192903,38.3,1.4
192904,38.7,-4.1
192905,52.3,1.8
192906,56.9,-1.2
192907,67.5,1.5
192908,67.8,3.2
192909,57.1,-0.6
192910,50.2,2.3
192911,39.1,2.0
192912,37.9,7.5
193001,24.3,-4.8
193002,35.8,3.2
193003,39.6,2.7
193004,46.0,3.2
193005,48.0,-2.5
193006,59.8,1.7
193007,67.2,1.2
193008,64.3,-0.3
193009,56.3,-1.4
193010,46.5,-1.4
193011,37.1,0.0
193012,28.4,-2.0
193101,30.0,0.9
193102,35.2,2.6
193103,39.6,2.7
193104,45.5,2.7
193105,56.2,5.7
193106,58.5,0.4
193107,71.6,5.6
193108,68.9,4.3
193109,56.7,-1.0
193110,49.1,1.2
193111,33.0,-4.1
193112,27.7,-2.7
193201,26.4,-2.7
193202,26.6,-6.0
193203,38.8,1.9
193204,41.3,-1.5
193205,50.2,-0.3
193206,61.3,3.2
193207,65.0,-1.0
193208,65.0,0.4
193209,62.2,4.5
193210,48.6,0.7
193211,41.2,4.1
193212,23.2,-7.2
193301,25.8,-3.3
193302,23.9,-8.7
193303,36.4,-0.5
193304,43.0,0.2
193305,44.4,-6.1
193306,59.0,0.9
193307,69.7,3.7
193308,67.2,2.6
193309,57.2,-0.5
193310,54.4,6.5
193311,38.8,1.7
193312,34.3,3.9
193401,36.0,6.9
193402,37.6,5.0
193403,46.6,9.7
193404,49.9,7.1
193405,54.4,3.9
193406,57.4,-0.7
193407,66.5,0.5
193408,68.2,3.6
193409,59.5,1.8
193410,49.9,2.0
193411,38.9,1.8
193412,32.0,1.6
193501,28.4,-0.7
193502,33.5,0.9
193503,32.6,-4.3
193504,42.1,-0.7
193505,50.7,0.2
193506,61.2,3.1
193507,64.4,-1.6
193508,66.0,1.4
193509,62.0,4.3
193510,45.7,-2.2
193511,31.8,-5.3
193512,30.7,0.3
193601,32.5,3.4
193602,33.4,0.8
193603,39.0,2.1
193604,46.1,3.3
193605,51.9,1.4
193606,58.7,0.6
193607,68.4,2.4
193608,66.5,1.9
193609,58.1,0.4
