Date,Value,Anomaly
189501,44.3,-3.5
189502,49.2,-0.3
189503,49.9,-2.2
189504,54.4,-1.7
189505,63.1,1.8
189506,66.8,-1.1
189507,70.6,-3.6
189508,70.4,-3.6
189509,68.0,-1.9
189510,61.8,-0.6
189511,54.1,-0.4
189512,46.9,-1.9
189601,49.7,1.9
189602,51.8,2.3
189603,53.2,1.1
189604,51.9,-4.2
189605,62.6,1.3
189606,71.7,3.8
189607,74.1,-0.1
189608,73.1,-0.9
189609,67.6,-2.3
189610,61.7,-0.7
189611,52.5,-2.0
189612,49.9,1.1
189701,46.4,-1.4
189702,44.8,-4.7
189703,46.9,-5.2
189704,57.7,1.6
189705,62.1,0.8
189706,68.5,0.6
189707,72.9,-1.3
189708,74.8,0.8
189709,69.4,-0.5
189710,57.2,-5.2
189711,53.3,-1.2
189712,46.0,-2.8
189801,42.8,-5.0
189802,50.5,1.0
189803,48.6,-3.5
189804,59.6,3.5
189805,59.6,-1.7
189806,68.6,0.7
189807,73.3,-0.9
189808,76.5,2.5
189809,70.8,0.9
189810,62.3,-0.1
189811,53.4,-1.1
189812,47.1,-1.7
189901,48.1,0.3
189902,47.2,-2.3
189903,50.6,-1.5
189904,56.9,0.8
189905,58.5,-2.8
189906,68.0,0.1
189907,73.6,-0.6
189908,70.1,-3.9
189909,71.6,1.7
189910,59.6,-2.8
189911,54.6,0.1
189912,49.0,0.2
190001,50.7,2.9
190002,51.6,2.1
190003,55.8,3.7
190004,52.7,-3.4
190005,63.2,1.9
190006,69.0,1.1
190007,72.6,-1.6
190008,68.6,-5.4
190009,63.3,-6.6
190010,60.7,-1.7
190011,57.5,3.0
190012,50.0,1.2
190101,46.3,-1.5
190102,49.6,0.1
190103,53.7,1.6
190104,53.3,-2.8
190105,59.8,-1.5
190106,68.2,0.3
190107,74.5,0.3
190108,75.1,1.1
190109,64.8,-5.1
190110,62.1,-0.3
190111,55.0,0.5
190112,50.6,1.8
190201,48.4,0.6
190202,48.4,-1.1
190203,49.2,-2.9
190204,55.0,-1.1
190205,60.0,-1.3
190206,69.2,1.3
190207,72.4,-1.8
190208,71.1,-2.9
190209,69.8,-0.1
190210,59.6,-2.8
190211,50.8,-3.7
190212,47.6,-1.2
190301,49.3,1.5
190302,44.3,-5.2
190303,49.6,-2.5
190304,55.6,-0.5
190305,60.3,-1.0
190306,67.0,-0.9
190307,71.0,-3.2
190308,73.4,-0.6
190309,68.4,-1.5
190310,63.8,1.4
190311,56.9,2.4
190312,49.8,1.0
190401,47.1,-0.7
190402,50.6,1.1
190403,52.1,0.0
190404,56.3,0.2
190405,62.2,0.9
190406,69.2,1.3
190407,72.6,-1.6
190408,76.1,2.1
190409,71.4,1.5
190410,62.8,0.4
190411,58.4,3.9
190412,51.1,2.3
190501,53.0,5.2
190502,52.5,3.0
190503,54.1,2.0
190504,56.1,0.0
190505,57.7,-3.6
190506,65.8,-2.1
190507,73.1,-1.1
190508,73.7,-0.3
190509,69.9,0.0
190510,62.6,0.2
190511,53.4,-1.1
190512,47.7,-1.1
190601,48.7,0.9
190602,52.9,3.4
190603,52.7,0.6
190604,54.3,-1.8
190605,57.6,-3.7
190606,67.6,-0.3
190607,76.4,2.2
190608,73.3,-0.7
190609,70.3,0.4
190610,64.2,1.8
190611,50.8,-3.7
190612,48.6,-0.2
190701,43.6,-4.2
190702,54.0,4.5
190703,49.6,-2.5
190704,56.7,0.6
190705,59.2,-2.1
190706,66.1,-1.8
190707,73.3,-0.9
190708,69.5,-4.5
190709,66.5,-3.4
190710,62.0,-0.4
190711,55.1,0.6
190712,50.1,1.3
190801,49.1,1.3
190802,46.8,-2.7
190803,52.7,0.6
190804,57.6,1.5
190805,57.3,-4.0
190806,64.4,-3.5
190807,75.0,0.8
190808,72.0,-2.0
190809,68.8,-1.1
190810,58.3,-4.1
190811,52.6,-1.9
190812,46.6,-2.2
190901,47.1,-0.7
190902,45.8,-3.7
190903,47.8,-4.3
190904,54.9,-1.2
190905,58.1,-3.2
190906,66.4,-1.5
190907,70.6,-3.6
190908,73.2,-0.8
190909,66.9,-3.0
190910,59.5,-2.9
190911,51.1,-3.4
190912,44.3,-4.5
191001,43.9,-3.9
191002,46.6,-2.9
191003,53.8,1.7
191004,58.3,2.2
191005,63.1,1.8
191006,65.6,-2.3
191007,73.6,-0.6
191008,71.7,-2.3
191009,69.3,-0.6
191010,61.6,-0.8
191011,52.8,-1.7
191012,49.5,0.7
191101,47.8,0.0
191102,43.6,-5.9
191103,51.2,-0.9
191104,52.5,-3.6
191105,58.2,-3.1
191106,64.4,-3.5
191107,72.3,-1.9
191108,70.7,-3.3
191109,64.5,-5.4
191110,58.7,-3.7
191111,53.2,-1.3
191112,44.7,-4.1
191201,48.8,1.0
191202,49.6,0.1
191203,46.7,-5.4
191204,50.0,-6.1
191205,59.6,-1.7
191206,66.2,-1.7
191207,70.5,-3.7
191208,69.5,-4.5
191209,66.2,-3.7
191210,57.5,-4.9
191211,55.3,0.8
191212,46.3,-2.5
191301,43.6,-4.2
191302,46.0,-3.5
191303,49.7,-2.4
191304,53.8,-2.3
191305,59.0,-2.3
191306,65.3,-2.6
191307,72.1,-2.1
191308,73.0,-1.0
191309,70.7,0.8
191310,61.3,-1.1
191311,53.6,-0.9
191312,46.4,-2.4
191401,47.2,-0.6
191402,50.4,0.9
191403,54.9,2.8
191404,56.4,0.3
