Date,Value,Anomaly
189501,38.8,-1.0
189502,42.6,-0.3
189503,44.0,-2.2
189504,50.2,-1.3
189505,58.2,-0.4
189506,66.6,0.2
189507,71.2,-2.0
189508,70.5,-1.3
189509,63.1,-3.1
189510,56.6,-0.8
189511,44.5,-2.7
189512,38.0,-2.7
189601,42.9,3.1
189602,42.8,-0.1
189603,45.7,-0.5
189604,44.9,-6.6
189605,54.3,-4.3
189606,67.6,1.2
189607,73.9,0.7
189608,70.5,-1.3
189609,63.0,-3.2
189610,56.6,-0.8
189611,45.5,-1.7
189612,43.1,2.4
189701,37.9,-1.9
189702,38.7,-4.2
189703,38.3,-7.9
189704,51.7,0.2
189705,61.7,3.1
189706,65.7,-0.7
189707,72.3,-0.9
189708,72.1,0.3
189709,64.3,-1.9
189710,54.2,-3.2
189711,47.1,-0.1
189712,38.8,-1.9
189801,34.1,-5.7
189802,45.4,2.5
189803,42.7,-3.5
189804,53.4,1.9
189805,55.2,-3.4
189806,66.6,0.2
189807,71.9,-1.3
189808,72.5,0.7
189809,66.0,-0.2
189810,57.4,0.0
189811,46.6,-0.6
189812,38.7,-2.0
189901,41.4,1.6
189902,43.2,0.3
189903,45.8,-0.4
189904,52.7,1.2
189905,54.1,-4.5
189906,68.0,1.6
189907,73.6,0.4
189908,67.9,-3.9
189909,68.7,2.5
189910,53.6,-3.8
189911,48.2,1.0
189912,39.2,-1.5
190001,41.7,1.9
190002,43.3,0.4
190003,50.0,3.8
190004,48.5,-3.0
190005,59.1,0.5
190006,68.6,2.2
190007,73.5,0.3
190008,69.0,-2.8
190009,62.6,-3.6
190010,56.2,-1.2
190011,49.2,2.0
190012,40.5,-0.2
190101,39.0,-0.8
190102,42.5,-0.4
190103,45.2,-1.0
190104,48.1,-3.4
190105,57.6,-1.0
190106,65.7,-0.7
190107,73.4,0.2
190108,72.7,0.9
190109,63.7,-2.5
190110,59.6,2.2
190111,50.2,3.0
190112,40.5,-0.2
190201,37.5,-2.3
190202,43.2,0.3
190203,42.2,-4.0
190204,49.1,-2.4
190205,55.2,-3.4
190206,69.2,2.8
190207,72.6,-0.6
190208,71.0,-0.8
190209,67.8,1.6
190210,56.4,-1.0
190211,44.0,-3.2
190212,39.8,-0.9
190301,38.2,-1.6
190302,35.3,-7.6
190303,44.9,-1.3
190304,49.3,-2.2
190305,58.7,0.1
190306,69.8,3.4
190307,70.2,-3.0
190308,72.4,0.6
190309,65.0,-1.2
190310,58.9,1.5
190311,47.8,0.6
190312,40.6,-0.1
190401,39.8,0.0
190402,42.8,-0.1
190403,44.8,-1.4
190404,50.2,-1.3
190405,61.3,2.7
190406,67.5,1.1
190407,71.3,-1.9
190408,74.1,2.3
190409,68.1,1.9
190410,56.5,-0.9
190411,49.3,2.1
190412,40.7,0.0
190501,43.7,3.9
190502,45.1,2.2
190503,47.8,1.6
190504,51.8,0.3
190505,55.9,-2.7
190506,66.8,0.4
190507,73.6,0.4
190508,72.0,0.2
190509,67.3,1.1
190510,57.5,0.1
190511,46.6,-0.6
190512,38.8,-1.9
190601,43.9,4.1
190602,45.8,2.9
190603,45.8,-0.4
190604,48.7,-2.8
190605,55.5,-3.1
190606,61.9,-4.5
190607,77.0,3.8
190608,73.4,1.6
190609,67.6,1.4
190610,59.7,2.3
190611,44.8,-2.4
190612,40.7,0.0
190701,38.6,-1.2
190702,47.8,4.9
190703,43.2,-3.0
190704,54.3,2.8
190705,58.7,0.1
190706,65.0,-1.4
190707,74.2,1.0
190708,71.6,-0.2
190709,64.1,-2.1
190710,58.4,1.0
190711,47.8,0.6
190712,42.2,1.5
190801,40.8,1.0
190802,40.1,-2.8
190803,46.2,0.0
190804,54.2,2.7
190805,54.4,-4.2
190806,63.3,-3.1
190807,76.1,2.9
190808,71.9,0.1
190809,66.0,-0.2
190810,53.5,-3.9
190811,47.0,-0.2
190812,37.1,-3.6
190901,42.9,3.1
190902,40.5,-2.4
190903,43.0,-3.2
190904,53.7,2.2
190905,57.6,-1.0
190906,66.5,0.1
190907,72.1,-1.1
190908,70.1,-1.7
190909,64.6,-1.6
190910,55.2,-2.2
190911,45.2,-2.0
190912,37.6,-3.1
191001,36.1,-3.7
191002,40.8,-2.1
191003,50.1,3.9
191004,55.9,4.4
191005,63.0,4.4
191006,64.8,-1.6
191007,74.2,1.0
191008,71.6,-0.2
191009,64.4,-1.8
191010,57.7,0.3
191011,47.1,-0.1
191012,43.6,2.9
191101,41.4,1.6
191102,38.1,-4.8
191103,48.0,1.8
191104,51.0,-0.5
191105,55.6,-3.0
191106,66.1,-0.3
191107,75.0,1.8
191108,67.9,-3.9
191109,60.8,-5.4
191110,55.1,-2.3
191111,46.3,-0.9
191112,38.4,-2.3
191201,41.7,1.9
191202,44.4,1.5
191203,43.6,-2.6
191204,47.4,-4.1
191205,57.7,-0.9
191206,65.5,-0.9
191207,70.6,-2.6
191208,69.5,-2.3
191209,64.5,-1.7
191210,54.4,-3.0
191211,47.0,-0.2
191212,39.3,-1.4
191301,37.0,-2.8
191302,41.6,-1.3
191303,45.1,-1.1
191304,50.8,-0.7
191305,59.5,0.9
191306,63.1,-3.3
191307,72.5,-0.7
191308,74.4,2.6
191309,68.5,2.3
191310,57.7,0.3
191311,47.5,0.3
191312,39.6,-1.1
191401,42.3,2.5
191402,43.8,0.9
191403,49.9,3.7
191404,52.0,0.5
191405,58.9,0.3
191406,64.6,-1.8
191407,72.2,-1.0
191408,71.9,0.1
191409,63.9,-2.3
191410,57.0,-0.4
191411,49.6,2.4
191412,37.4,-3.3
191501,39.3,-0.5
191502,42.1,-0.8
191503,48.3,2.1
191504,51.2,-0.3
191505,53.4,-5.2
191506,64.8,-1.6
191507,71.6,-1.6
191508,72.8,1.0
191509,63.6,-2.6
191510,58.4,1.0
191511,46.1,-1.1
191512,40.8,0.1
191601,35.2,-4.6
191602,45.8,2.9
191603,49.0,2.8
191604,53.2,1.7
191605,55.0,-3.6
191606,63.3,-3.1
191607,69.9,-3.3
191608,70.0,-1.8
191609,64.2,-2.0
191610,50.8,-6.6
191611,43.9,-3.3
191612,37.8,-2.9
191701,34.7,-5.1
191702,41.5,-1.4
191703,42.0,-4.2
191704,49.1,-2.4
191705,52.6,-6.0
191706,69.0,2.6
191707,78.1,4.9
191708,73.3,1.5
191709,67.4,1.2
191710,62.0,4.6
191711,49.1,1.9
191712,44.0,3.3
191801,40.4,0.6
191802,41.8,-1.1
191803,46.2,0.0
191804,51.2,-0.3
191805,54.0,-4.6
191806,73.4,7.0
191807,71.4,-1.8
191808,69.4,-2.4
191809,65.3,-0.9
191810,58.0,0.6
191811,44.9,-2.3
191812,38.7,-2.0
191901,40.6,0.8
191902,38.9,-4.0
191903,42.4,-3.8
191904,52.2,0.7
191905,60.8,2.2
191906,67.0,0.6
191907,74.7,1.5
191908,73.4,1.6
191909,64.4,-1.8
191910,52.1,-5.3
191911,45.2,-2.0
191912,40.4,-0.3
192001,41.3,1.5
192002,43.2,0.3
192003,42.2,-4.0
192004,49.3,-2.2
192005,58.6,0.0
192006,65.6,-0.8
192007,70.8,-2.4
192008,73.1,1.3
192009,64.1,-2.1
192010,51.4,-6.0
192011,46.3,-0.9
192012,41.0,0.3
192101,37.9,-1.9
192102,43.0,0.1
192103,49.6,3.4
192104,51.7,0.2
192105,55.4,-3.2
192106,68.6,2.2
192107,75.2,2.0
192108,70.9,-0.9
192109,64.7,-1.5
192110,58.9,1.5
192111,48.1,0.9
192112,42.7,2.0
192201,33.3,-6.5
192202,38.8,-4.1
192203,42.3,-3.9
192204,48.1,-3.4
192205,58.7,0.1
192206,68.0,1.6
192207,76.4,3.2
192208,71.4,-0.4
192209,70.3,4.1
192210,56.3,-1.1
192211,42.8,-4.4
192212,40.9,0.2
192301,38.6,-1.2
192302,40.5,-2.4
192303,47.1,0.9
192304,49.0,-2.5
192305,58.8,0.2
192306,60.9,-5.5
192307,72.5,-0.7
192308,70.6,-1.2
192309,67.3,1.1
192310,54.8,-2.6
192311,49.6,2.4
192312,39.3,-1.4
192401,38.4,-1.4
192402,47.8,4.9
192403,43.7,-2.5
192404,52.4,0.9
192405,63.8,5.2
192406,68.4,2.0
192407,73.9,0.7
192408,71.3,-0.5
192409,66.6,0.4
192410,52.7,-4.7
192411,48.0,0.8
192412,39.9,-0.8
192501,40.8,1.0
192502,44.8,1.9
192503,47.3,1.1
192504,51.4,-0.1
192505,59.6,1.0
192506,68.2,1.8
192507,75.5,2.3
192508,69.4,-2.4
192509,60.9,-5.3
192510,54.2,-3.2
192511,46.9,-0.3
192512,43.8,3.1
192601,40.1,0.3
192602,45.5,2.6
192603,51.4,5.2
192604,56.2,4.7
192605,61.1,2.5
192606,71.7,5.3
192607,74.9,1.7
192608,71.9,0.1
192609,63.4,-2.8
192610,58.4,1.0
192611,52.7,5.5
192612,39.9,-0.8
192701,40.9,1.1
