Date,Value,Anomaly
189501,46.2,-0.9
189502,50.6,0.8
189503,49.6,-1.4
189504,52.4,-0.5
189505,55.4,0.0
189506,59.7,0.9
189507,59.2,-1.4
189508,60.2,-1.1
189509,58.5,-3.1
189510,57.8,-0.8
189511,52.3,-0.7
189512,45.6,-2.4
189601,50.0,2.9
189602,52.2,2.4
189603,51.9,0.9
189604,48.5,-4.4
189605,53.4,-2.0
189606,59.1,0.3
189607,62.6,2.0
189608,61.7,0.4
189609,59.8,-1.8
189610,58.3,-0.3
189611,50.2,-2.8
189612,50.0,2.0
189701,45.9,-1.2
189702,47.4,-2.4
189703,45.6,-5.4
189704,54.5,1.6
189705,57.8,2.4
189706,59.0,0.2
189707,61.1,0.5
189708,60.6,-0.7
189709,60.9,-0.7
189710,56.5,-2.1
189711,50.0,-3.0
189712,46.8,-1.2
189801,43.3,-3.8
189802,50.1,0.3
189803,48.3,-2.7
189804,54.3,1.4
189805,52.7,-2.7
189806,60.1,1.3
189807,60.4,-0.2
189808,61.2,-0.1
189809,60.1,-1.5
189810,58.9,0.3
189811,51.9,-1.1
189812,46.4,-1.6
189901,50.0,2.9
189902,48.8,-1.0
189903,50.0,-1.0
189904,52.9,0.0
189905,52.1,-3.3
189906,58.4,-0.4
189907,59.0,-1.6
189908,59.2,-2.1
189909,60.8,-0.8
189910,56.0,-2.6
189911,54.2,1.2
189912,47.2,-0.8
190001,48.8,1.7
190002,50.4,0.6
190003,53.1,2.1
190004,51.6,-1.3
190005,56.7,1.3
190006,59.2,0.4
190007,60.9,0.3
190008,60.8,-0.5
190009,61.2,-0.4
190010,57.3,-1.3
190011,54.4,1.4
190012,48.6,0.6
190101,47.1,0.0
190102,50.1,0.3
190103,52.4,1.4
190104,50.0,-2.9
190105,54.0,-1.4
190106,57.9,-0.9
190107,58.4,-2.2
190108,60.3,-1.0
190109,59.0,-2.6
190110,60.7,2.1
190111,55.2,2.2
190112,48.9,0.9
190201,44.5,-2.6
190202,51.3,1.5
190203,49.5,-1.5
