Date,Value,Anomaly
189501,38.8,-1.0
189502,41.9,-0.4
189503,42.8,-2.4
189504,48.8,-1.5
189505,56.5,-0.9
189506,65.5,0.3
189507,70.2,-2.2
189508,69.9,-1.4
189509,62.3,-3.3
189510,55.9,-1.0
189511,44.1,-2.8
189512,37.9,-3.0
189601,43.2,3.4
189602,42.3,0.0
189603,44.5,-0.7
189604,43.5,-6.8
189605,52.7,-4.7
189606,66.5,1.3
189607,73.6,1.2
189608,70.1,-1.2
189609,62.6,-3.0
189610,56.1,-0.8
189611,45.1,-1.8
189612,43.0,2.1
189701,37.9,-1.9
189702,37.7,-4.6
189703,37.0,-8.2
189704,50.4,0.1
189705,60.3,2.9
189706,64.2,-1.0
189707,71.4,-1.0
189708,71.4,0.1
189709,63.5,-2.1
189710,53.7,-3.2
189711,46.6,-0.3
189712,38.8,-2.1
189801,34.1,-5.7
189802,44.8,2.5
189803,41.7,-3.5
189804,52.1,1.8
189805,53.5,-3.9
189806,65.4,0.2
189807,71.7,-0.7
189808,72.4,1.1
189809,65.6,0.0
189810,56.6,-0.3
189811,46.2,-0.7
189812,38.6,-2.3
189901,41.7,1.9
189902,42.7,0.4
189903,44.6,-0.6
189904,51.2,0.9
189905,52.5,-4.9
189906,66.9,1.7
189907,72.6,0.2
189908,67.4,-3.9
189909,68.0,2.4
189910,52.9,-4.0
189911,47.6,0.7
189912,38.5,-2.4
190001,41.7,1.9
190002,42.3,0.0
190003,48.3,3.1
190004,46.8,-3.5
190005,57.2,-0.2
190006,67.3,2.1
190007,72.8,0.4
190008,68.4,-2.9
190009,61.9,-3.7
190010,55.4,-1.5
190011,48.6,1.7
190012,40.4,-0.5
190101,38.6,-1.2
190102,41.6,-0.7
190103,44.1,-1.1
190104,46.6,-3.7
190105,56.3,-1.1
190106,64.6,-0.6
190107,72.5,0.1
190108,72.1,0.8
190109,63.0,-2.6
190110,59.1,2.2
190111,49.3,2.4
190112,40.2,-0.7
190201,36.8,-3.0
190202,42.0,-0.3
190203,40.8,-4.4
190204,47.1,-3.2
190205,53.4,-4.0
190206,67.9,2.7
190207,71.8,-0.6
190208,70.6,-0.7
190209,67.1,1.5
190210,55.8,-1.1
190211,43.3,-3.6
190212,39.7,-1.2
190301,38.3,-1.5
190302,34.3,-8.0
190303,43.6,-1.6
190304,47.4,-2.9
190305,57.2,-0.2
190306,68.7,3.5
190307,69.6,-2.8
190308,72.0,0.7
190309,64.6,-1.0
190310,57.8,0.9
190311,47.3,0.4
190312,40.6,-0.3
190401,40.2,0.4
190402,41.5,-0.8
190403,44.2,-1.0
190404,48.2,-2.1
190405,59.4,2.0
190406,66.3,1.1
190407,70.4,-2.0
190408,73.6,2.3
190409,67.7,2.1
190410,56.0,-0.9
190411,48.7,1.8
190412,40.2,-0.7
190501,43.5,3.7
190502,44.1,1.8
190503,46.1,0.9
190504,50.6,0.3
190505,54.4,-3.0
190506,66.1,0.9
190507,73.4,1.0
190508,71.8,0.5
190509,66.6,1.0
190510,57.2,0.3
190511,45.6,-1.3
190512,38.1,-2.8
190601,43.4,3.6
190602,44.8,2.5
190603,45.2,0.0
190604,47.6,-2.7
190605,54.3,-3.1
190606,61.1,-4.1
190607,76.8,4.4
190608,73.9,2.6
190609,67.1,1.5
190610,59.4,2.5
190611,45.2,-1.7
190612,41.2,0.3
190701,38.3,-1.5
190702,47.2,4.9
190703,42.2,-3.0
190704,53.5,3.2
190705,58.2,0.8
190706,64.3,-0.9
190707,73.2,0.8
190708,71.0,-0.3
190709,63.8,-1.8
190710,58.5,1.6
190711,47.5,0.6
190712,42.1,1.2
190801,40.6,0.8
190802,40.4,-1.9
190803,46.1,0.9
190804,54.2,3.9
190805,54.1,-3.3
190806,63.6,-1.6
190807,76.5,4.1
190808,72.9,1.6
190809,65.9,0.3
190810,53.6,-3.3
190811,47.6,0.7
190812,38.2,-2.7
190901,43.0,3.2
190902,40.4,-1.9
190903,42.4,-2.8
190904,53.0,2.7
190905,56.7,-0.7
190906,65.9,0.7
190907,71.0,-1.4
190908,70.7,-0.6
190909,65.4,-0.2
190910,54.8,-2.1
190911,45.2,-1.7
190912,38.0,-2.9
191001,36.5,-3.3
191002,40.5,-1.8
191003,49.8,4.6
191004,55.2,4.9
191005,61.8,4.4
191006,63.4,-1.8
191007,73.4,1.0
191008,70.8,-0.5
191009,63.8,-1.8
191010,57.6,0.7
191011,47.6,0.7
191012,43.7,2.8
191101,41.2,1.4
191102,37.3,-5.0
191103,47.5,2.3
191104,50.6,0.3
191105,54.7,-2.7
191106,65.6,0.4
191107,74.6,2.2
191108,68.0,-3.3
191109,60.4,-5.2
191110,55.1,-1.8
191111,46.1,-0.8
191112,37.9,-3.0
191201,41.0,1.2
191202,44.2,1.9
191203,42.7,-2.5
191204,46.4,-3.9
191205,57.2,-0.2
191206,64.4,-0.8
191207,69.7,-2.7
191208,68.4,-2.9
191209,63.8,-1.8
191210,53.6,-3.3
191211,47.2,0.3
191212,39.2,-1.7
191301,36.2,-3.6
191302,41.3,-1.0
191303,44.2,-1.0
191304,49.3,-1.0
191305,57.6,0.2
191306,61.9,-3.3
191307,71.4,-1.0
191308,73.5,2.2
191309,68.0,2.4
191310,57.6,0.7
191311,47.0,0.1
191312,39.6,-1.3
191401,41.5,1.7
191402,42.9,0.6
191403,49.4,4.2
191404,51.1,0.8
191405,58.5,1.1
191406,63.6,-1.6
191407,71.4,-1.0
191408,71.8,0.5
191409,63.8,-1.8
191410,56.6,-0.3
191411,49.2,2.3
191412,37.2,-3.7
191501,39.1,-0.7
191502,41.2,-1.1
191503,47.9,2.7
191504,51.2,0.9
191505,53.5,-3.9
191506,64.0,-1.2
191507,70.9,-1.5
191508,72.4,1.1
191509,63.7,-1.9
191510,57.6,0.7
191511,46.3,-0.6
191512,41.2,0.3
191601,34.6,-5.2
191602,44.5,2.2
191603,48.5,3.3
191604,52.3,2.0
191605,54.3,-3.1
191606,62.8,-2.4
191607,69.4,-3.0
191608,69.6,-1.7
191609,63.9,-1.7
191610,51.2,-5.7
191611,44.1,-2.8
191612,37.2,-3.7
191701,33.4,-6.4
191702,40.7,-1.6
191703,41.5,-3.7
191704,48.5,-1.8
191705,52.2,-5.2
191706,67.6,2.4
191707,77.2,4.8
191708,72.6,1.3
191709,67.1,1.5
191710,62.0,5.1
191711,48.9,2.0
191712,44.3,3.4
191801,40.5,0.7
191802,41.3,-1.0
191803,45.6,0.4
191804,51.0,0.7
191805,53.8,-3.6
191806,72.3,7.1
191807,70.2,-2.2
191808,69.3,-2.0
191809,64.0,-1.6
191810,58.2,1.3
191811,45.0,-1.9
191812,39.0,-1.9
191901,40.8,1.0
191902,39.0,-3.3
191903,42.2,-3.0
191904,51.8,1.5
191905,60.3,2.9
191906,65.3,0.1
191907,74.1,1.7
191908,72.4,1.1
191909,63.9,-1.7
191910,52.2,-4.7
191911,45.4,-1.5
191912,40.2,-0.7
192001,42.2,2.4
192002,42.8,0.5
192003,41.8,-3.4
192004,48.5,-1.8
192005,57.3,-0.1
192006,64.1,-1.1
192007,69.1,-3.3
192008,71.6,0.3
192009,63.1,-2.5
192010,51.3,-5.6
192011,46.4,-0.5
192012,41.0,0.1
192101,39.1,-0.7
192102,43.3,1.0
192103,49.2,4.0
192104,50.2,-0.1
192105,54.6,-2.8
192106,66.7,1.5
192107,74.0,1.6
192108,70.6,-0.7
192109,64.4,-1.2
192110,58.3,1.4
192111,47.8,0.9
192112,42.4,1.5
192201,34.2,-5.6
192202,38.3,-4.0
192203,41.5,-3.7
192204,47.5,-2.8
192205,58.2,0.8
192206,66.8,1.6
192207,75.6,3.2
192208,70.3,-1.0
192209,69.5,3.9
192210,56.1,-0.8
192211,43.1,-3.8
192212,42.2,1.3
192301,39.9,0.1
192302,40.6,-1.7
192303,47.2,2.0
192304,48.5,-1.8
192305,57.7,0.3
192306,59.8,-5.4
192307,71.2,-1.2
192308,69.7,-1.6
192309,66.5,0.9
192310,55.1,-1.8
192311,49.4,2.5
192312,39.7,-1.2
192401,38.5,-1.3
192402,47.7,5.4
192403,43.0,-2.2
192404,51.7,1.4
192405,62.6,5.2
192406,66.6,1.4
192407,72.2,-0.2
192408,70.0,-1.3
192409,65.5,-0.1
192410,52.6,-4.3
192411,47.6,0.7
192412,40.0,-0.9
192501,41.1,1.3
192502,44.7,2.4
192503,46.5,1.3
192504,50.7,0.4
192505,58.2,0.8
192506,67.2,2.0
192507,75.2,2.8
192508,69.3,-2.0
192509,60.2,-5.4
192510,54.3,-2.6
192511,46.0,-0.9
192512,43.7,2.8
192601,39.9,0.1
192602,44.8,2.5
192603,50.9,5.7
192604,55.0,4.7
192605,59.7,2.3
192606,70.3,5.1
192607,74.3,1.9
192608,71.2,-0.1
192609,62.7,-2.9
192610,58.0,1.1
192611,52.1,5.2
192612,40.0,-0.9
192701,41.1,1.3
192702,43.9,1.6
192703,45.5,0.3
192704,50.4,0.1
192705,57.4,0.0
192706,65.9,0.7
192707,73.6,1.2
192708,69.7,-1.6
192709,60.6,-5.0
192710,58.2,1.3
192711,48.5,1.6
192712,40.4,-0.5
192801,41.4,1.6
192802,43.8,1.5
192803,49.1,3.9
192804,50.6,0.3
192805,62.4,5.0
192806,66.2,1.0
192807,72.5,0.1
192808,71.6,0.3
192809,66.6,1.0
192810,56.4,-0.5
192811,46.9,0.0
192812,39.1,-1.8
192901,37.8,-2.0
192902,39.6,-2.7
192903,45.0,-0.2
192904,46.1,-4.2
192905,59.6,2.2
192906,64.4,-0.8
192907,72.5,0.1
192908,73.8,2.5
192909,64.6,-1.0
192910,58.5,1.6
192911,48.8,1.9
192912,46.3,5.4
193001,37.9,-1.9
193002,45.8,3.5
193003,46.5,1.3
193004,52.8,2.5
193005,52.9,-4.5
193006,66.8,1.6
193007,72.4,0.0
193008,71.1,-0.2
193009,61.4,-4.2
193010,54.9,-2.0
193011,47.7,0.8
193012,40.0,-0.9
193101,41.6,1.8
193102,44.3,2.0
193103,47.7,2.5
193104,54.8,4.5
193105,62.9,5.5
193106,64.3,-0.9
193107,78.7,6.3
193108,74.8,3.5
193109,62.7,-2.9
193110,56.4,-0.5
193111,43.8,-3.1
193112,38.4,-2.5
193201,35.9,-3.9
193202,40.4,-1.9
193203,47.6,2.4
193204,48.9,-1.4
193205,57.0,-0.4
193206,66.0,0.8
193207,71.0,-1.4
193208,70.5,-0.8
193209,68.3,2.7
193210,55.8,-1.1
193211,50.6,3.7
193212,35.8,-5.1
193301,35.8,-4.0
193302,37.7,-4.6
193303,45.4,0.2
193304,50.5,0.2
193305,52.4,-5.0
193306,63.9,-1.3
193307,75.8,3.4
193308,73.5,2.2
193309,63.7,-1.9
193310,62.1,5.2
193311,50.0,3.1
193312,42.5,1.6
193401,42.6,2.8
193402,45.6,3.3
193403,54.3,9.1
193404,57.2,6.9
193405,61.1,3.7
193406,63.8,-1.4
193407,73.2,0.8
193408,73.0,1.7
193409,66.7,1.1
193410,58.0,1.1
193411,48.0,1.1
193412,42.3,1.4
193501,39.1,-0.7
193502,42.7,0.4
193503,40.8,-4.4
193504,49.8,-0.5
193505,57.4,0.0
193506,67.8,2.6
193507,70.4,-2.0
193508,72.7,1.4
193509,67.5,1.9
193510,53.7,-3.2
193511,44.1,-2.8
193512,42.4,1.5
193601,42.7,2.9
193602,40.8,-1.5
193603,48.2,3.0
193604,52.6,2.3
193605,59.5,2.1
193606,65.9,0.7
193607,74.8,2.4
193608,73.4,2.1
193609,66.3,0.7
193610,57.9,1.0
