Date,Value,Anomaly
189501,44.5,0.6
189502,49.0,3.1
189503,48.3,0.5
189504,51.2,0.4
189505,56.0,0.0
189506,63.7,1.8
189507,66.3,-1.6
189508,67.8,0.0
189509,61.0,-3.8
189510,59.4,1.7
189511,48.6,-0.5
189512,42.5,-1.7
189601,47.4,3.5
189602,48.2,2.3
189603,49.3,1.5
189604,46.1,-4.7
189605,53.1,-2.9
189606,62.7,0.8
189607,70.8,2.9
189608,67.4,-0.4
189609,63.9,-0.9
189610,58.7,1.0
189611,47.6,-1.5
189612,48.3,4.1
189701,45.3,1.4
189702,44.6,-1.3
189703,43.3,-4.5
189704,54.6,3.8
189705,60.3,4.3
189706,61.7,-0.2
189707,68.7,0.8
189708,68.6,0.8
189709,63.3,-1.5
189710,56.9,-0.8
189711,48.1,-1.0
189712,44.9,0.7
189801,41.0,-2.9
189802,47.7,1.8
189803,46.4,-1.4
189804,54.0,3.2
189805,54.2,-1.8
189806,62.9,1.0
189807,68.3,0.4
189808,68.8,1.0
189809,63.3,-1.5
189810,57.7,0.0
189811,49.4,0.3
189812,43.5,-0.7
189901,47.0,3.1
189902,46.2,0.3
189903,47.6,-0.2
189904,51.6,0.8
189905,52.4,-3.6
189906,63.3,1.4
189907,67.7,-0.2
189908,64.3,-3.5
189909,67.2,2.4
189910,54.8,-2.9
189911,51.5,2.4
189912,45.2,1.0
190001,48.6,4.7
190002,47.4,1.5
190003,52.2,4.4
190004,50.0,-0.8
190005,57.3,1.3
190006,64.4,2.5
190007,68.5,0.6
190008,65.9,-1.9
190009,62.4,-2.4
190010,54.5,-3.2
190011,50.6,1.5
190012,46.1,1.9
190101,43.7,-0.2
190102,46.0,0.1
190103,50.2,2.4
190104,48.9,-1.9
190105,54.9,-1.1
190106,60.8,-1.1
190107,66.5,-1.4
190108,68.9,1.1
190109,62.7,-2.1
190110,60.1,2.4
190111,51.5,2.4
190112,44.9,0.7
190201,42.2,-1.7
190202,47.6,1.7
190203,45.4,-2.4
190204,50.0,-0.8
190205,54.0,-2.0
190206,62.9,1.0
190207,68.0,0.1
190208,68.4,0.6
190209,66.0,1.2
190210,55.8,-1.9
190211,47.3,-1.8
190212,43.6,-0.6
190301,43.7,-0.2
190302,40.9,-5.0
190303,45.5,-2.3
190304,48.5,-2.3
190305,56.7,0.7
190306,64.3,2.4
190307,66.3,-1.6
190308,67.7,-0.1
190309,64.8,0.0
190310,60.8,3.1
190311,50.4,1.3
190312,45.5,1.3
190401,44.2,0.3
190402,43.7,-2.2
190403,45.0,-2.8
190404,52.0,1.2
190405,60.4,4.4
190406,63.9,2.0
190407,67.6,-0.3
190408,67.2,-0.6
190409,65.9,1.1
190410,57.1,-0.6
190411,50.2,1.1
190412,44.4,0.2
190501,46.1,2.2
190502,47.8,1.9
190503,50.7,2.9
190504,52.4,1.6
190505,53.0,-3.0
190506,61.0,-0.9
190507,69.4,1.5
190508,68.1,0.3
190509,64.5,-0.3
190510,56.9,-0.8
190511,48.7,-0.4
190512,42.6,-1.6
190601,46.1,2.2
190602,49.2,3.3
190603,47.7,-0.1
190604,51.8,1.0
190605,54.2,-1.8
190606,59.0,-2.9
190607,71.7,3.8
190608,69.3,1.5
190609,64.6,-0.2
190610,58.1,0.4
190611,49.0,-0.1
190612,45.9,1.7
190701,41.4,-2.5
190702,50.7,4.8
190703,45.3,-2.5
190704,52.0,1.2
190705,55.4,-0.6
190706,60.2,-1.7
190707,66.8,-1.1
190708,66.9,-0.9
190709,61.3,-3.5
190710,58.3,0.6
190711,49.9,0.8
190712,45.3,1.1
190801,46.0,2.1
190802,43.7,-2.2
190803,48.3,0.5
190804,52.9,2.1
190805,51.5,-4.5
190806,59.8,-2.1
190807,71.7,3.8
190808,69.3,1.5
190809,65.0,0.2
190810,55.3,-2.4
190811,49.9,0.8
190812,40.8,-3.4
190901,46.7,2.8
190902,44.2,-1.7
190903,45.4,-2.4
190904,53.9,3.1
190905,55.1,-0.9
190906,61.8,-0.1
190907,65.6,-2.3
190908,67.6,-0.2
190909,65.0,0.2
190910,56.4,-1.3
190911,47.9,-1.2
190912,41.5,-2.7
191001,39.9,-4.0
191002,43.2,-2.7
191003,51.0,3.2
191004,54.0,3.2
191005,59.6,3.6
191006,60.6,-1.3
191007,68.8,0.9
191008,68.1,0.3
191009,62.7,-2.1
191010,59.2,1.5
191011,49.0,-0.1
191012,46.5,2.3
191101,43.2,-0.7
191102,41.2,-4.7
191103,49.6,1.8
191104,49.0,-1.8
191105,52.2,-3.8
191106,61.3,-0.6
191107,68.7,0.8
191108,66.3,-1.5
191109,59.9,-4.9
191110,55.3,-2.4
191111,49.4,0.3
191112,43.3,-0.9
191201,46.6,2.7
191202,48.5,2.6
191203,46.1,-1.7
191204,47.9,-2.9
191205,56.8,0.8
191206,62.2,0.3
191207,65.3,-2.6
191208,67.0,-0.8
191209,63.2,-1.6
191210,52.9,-4.8
191211,48.5,-0.6
191212,44.1,-0.1
191301,41.1,-2.8
191302,45.3,-0.6
191303,46.6,-1.2
191304,50.2,-0.6
191305,57.3,1.3
191306,60.6,-1.3
191307,69.6,1.7
191308,71.8,4.0
191309,67.4,2.6
191310,59.2,1.5
191311,48.0,-1.1
191312,43.2,-1.0
191401,46.3,2.4
191402,46.5,0.6
191403,53.0,5.2
191404,51.9,1.1
191405,57.9,1.9
191406,61.6,-0.3
191407,68.6,0.7
191408,68.8,1.0
191409,61.6,-3.2
191410,55.6,-2.1
191411,48.8,-0.3
191412,40.6,-3.6
191501,43.5,-0.4
191502,45.2,-0.7
191503,50.4,2.6
191504,52.9,2.1
191505,53.1,-2.9
191506,62.0,0.1
191507,68.2,0.3
191508,70.2,2.4
191509,63.5,-1.3
191510,58.0,0.3
191511,46.9,-2.2
191512,44.6,0.4
191601,39.0,-4.9
191602,49.0,3.1
191603,49.7,1.9
191604,53.4,2.6
191605,53.8,-2.2
191606,61.1,-0.8
191607,68.1,0.2
191608,68.2,0.4
191609,64.4,-0.4
191610,53.1,-4.6
191611,45.5,-3.6
191612,41.0,-3.2
191701,40.5,-3.4
191702,45.6,-0.3
191703,44.1,-3.7
191704,50.0,-0.8
191705,52.6,-3.4
191706,62.8,0.9
191707,70.8,2.9
191708,68.7,0.9
191709,64.8,0.0
191710,62.1,4.4
191711,50.8,1.7
191712,48.0,3.8
191801,46.6,2.7
191802,44.5,-1.4
191803,47.6,-0.2
191804,50.6,-0.2
191805,55.0,-1.0
191806,67.3,5.4
191807,66.2,-1.7
191808,67.5,-0.3
191809,62.8,-2.0
191810,59.7,2.0
191811,47.5,-1.6
191812,41.0,-3.2
191901,44.4,0.5
191902,43.6,-2.3
191903,46.1,-1.7
191904,52.1,1.3
191905,57.6,1.6
191906,61.6,-0.3
191907,68.1,0.2
191908,68.4,0.6
191909,62.5,-2.3
191910,54.3,-3.4
191911,46.4,-2.7
191912,42.5,-1.7
192001,46.8,2.9
192002,45.3,-0.6
192003,45.2,-2.6
192004,48.5,-2.3
192005,56.8,0.8
192006,61.9,0.0
192007,65.3,-2.6
192008,69.4,1.6
192009,62.4,-2.4
192010,53.5,-4.2
192011,47.6,-1.5
192012,43.9,-0.3
192101,42.7,-1.2
192102,46.7,0.8
192103,49.8,2.0
192104,49.8,-1.0
192105,53.7,-2.3
192106,62.8,0.9
192107,69.1,1.2
192108,66.2,-1.6
192109,63.6,-1.2
192110,59.2,1.5
192111,50.2,1.1
192112,45.4,1.2
192201,40.0,-3.9
192202,42.6,-3.3
192203,44.3,-3.5
192204,49.2,-1.6
192205,56.8,0.8
192206,63.4,1.5
192207,70.6,2.7
192208,66.5,-1.3
192209,67.8,3.0
192210,55.2,-2.5
192211,45.6,-3.5
192212,43.6,-0.6
192301,42.2,-1.7
192302,44.9,-1.0
192303,48.7,0.9
192304,49.3,-1.5
192305,55.8,-0.2
192306,57.2,-4.7
192307,66.3,-1.6
192308,67.2,-0.6
192309,65.7,0.9
192310,55.6,-2.1
192311,51.9,2.8
192312,42.4,-1.8
192401,42.4,-1.5
192402,50.0,4.1
192403,46.5,-1.3
192404,52.8,2.0
192405,59.5,3.5
192406,61.6,-0.3
192407,66.4,-1.5
192408,66.3,-1.5
192409,63.6,-1.2
192410,53.1,-4.6
192411,46.6,-2.5
192412,41.2,-3.0
192501,45.6,1.7
192502,47.2,1.3
192503,48.1,0.3
192504,51.8,1.0
192505,56.8,0.8
192506,63.7,1.8
192507,68.8,0.9
192508,66.1,-1.7
192509,59.8,-5.0
192510,56.5,-1.2
192511,47.4,-1.7
192512,46.7,2.5
192601,43.0,-0.9
192602,48.0,2.1
192603,53.6,5.8
192604,55.9,5.1
192605,58.0,2.0
192606,66.8,4.9
192607,70.0,2.1
192608,67.6,-0.2
192609,61.1,-3.7
192610,58.4,0.7
192611,53.0,3.9
192612,43.3,-0.9
192701,44.9,1.0
192702,45.3,-0.6
