Date,Value,Anomaly
189501,43.7,-1.6
189502,49.6,-0.3
189503,51.4,-2.3
189504,56.4,-2.4
189505,63.6,-1.7
189506,71.8,-0.3
189507,74.5,-3.0
189508,73.3,-2.8
189509,67.5,-4.0
189510,62.6,-0.8
189511,49.9,-3.0
189512,42.8,-2.8
189601,47.7,2.4
189602,50.5,0.6
189603,53.5,-0.2
189604,52.3,-6.5
189605,60.9,-4.4
189606,71.3,-0.8
189607,77.2,-0.3
189608,73.4,-2.7
189609,66.9,-4.6
189610,61.8,-1.6
189611,50.1,-2.8
189612,47.5,1.9
189701,42.4,-2.9
189702,46.2,-3.7
189703,46.4,-7.3
189704,58.7,-0.1
189705,66.7,1.4
189706,70.8,-1.3
189707,76.5,-1.0
189708,74.8,-1.3
189709,69.0,-2.5
189710,60.0,-3.4
189711,50.6,-2.3
189712,44.3,-1.3
189801,40.7,-4.6
189802,51.0,1.1
189803,50.9,-2.8
189804,59.0,0.2
189805,60.8,-4.5
189806,71.3,-0.8
189807,74.6,-2.9
189808,75.2,-0.9
189809,69.4,-2.1
189810,63.8,0.4
189811,52.3,-0.6
189812,43.8,-1.8
189901,47.8,2.5
189902,49.2,-0.7
189903,52.2,-1.5
189904,58.2,-0.6
189905,61.0,-4.3
189906,73.7,1.6
189907,76.9,-0.6
189908,72.3,-3.8
189909,73.4,1.9
189910,60.1,-3.3
189911,53.7,0.8
189912,43.8,-1.8
190001,46.7,1.4
190002,49.2,-0.7
190003,56.4,2.7
190004,55.5,-3.3
190005,65.0,-0.3
190006,73.1,1.0
190007,77.1,-0.4
190008,73.5,-2.6
190009,69.5,-2.0
190010,61.8,-1.6
190011,55.9,3.0
190012,46.3,0.7
190101,45.1,-0.2
190102,49.8,-0.1
190103,53.8,0.1
190104,54.7,-4.1
190105,63.4,-1.9
190106,70.6,-1.5
190107,75.1,-2.4
190108,76.9,0.8
190109,68.3,-3.2
190110,66.0,2.6
190111,55.4,2.5
190112,44.9,-0.7
190201,41.5,-3.8
190202,49.4,-0.5
190203,49.4,-4.3
190204,55.9,-2.9
190205,61.7,-3.6
190206,73.6,1.5
190207,76.9,-0.6
190208,75.7,-0.4
190209,73.1,1.6
190210,62.7,-0.7
190211,50.5,-2.4
190212,45.1,-0.5
190301,43.0,-2.3
190302,43.3,-6.6
190303,52.3,-1.4
190304,55.8,-3.0
190305,65.5,0.2
190306,75.4,3.3
190307,75.2,-2.3
190308,77.0,0.9
190309,71.4,-0.1
190310,64.3,0.9
190311,53.6,0.7
190312,45.4,-0.2
190401,44.5,-0.8
190402,49.1,-0.8
190403,53.8,0.1
190404,57.2,-1.6
190405,67.8,2.5
190406,73.4,1.3
190407,76.0,-1.5
190408,78.0,1.9
190409,73.8,2.3
190410,63.1,-0.3
190411,54.8,1.9
190412,45.5,-0.1
190501,48.4,3.1
190502,52.0,2.1
190503,55.4,1.7
190504,60.2,1.4
190505,63.1,-2.2
190506,71.8,-0.3
190507,78.9,1.4
190508,76.0,-0.1
190509,71.7,0.2
190510,63.4,0.0
190511,52.2,-0.7
190512,43.5,-2.1
190601,48.0,2.7
190602,53.2,3.3
190603,53.3,-0.4
190604,57.1,-1.7
190605,62.8,-2.5
190606,69.7,-2.4
190607,82.1,4.6
190608,79.3,3.2
190609,72.8,1.3
190610,65.6,2.2
190611,51.7,-1.2
190612,46.1,0.5
190701,44.8,-0.5
190702,53.6,3.7
190703,51.0,-2.7
190704,60.5,1.7
190705,64.7,-0.6
190706,70.8,-1.3
190707,78.1,0.6
190708,75.4,-0.7
190709,68.9,-2.6
190710,63.7,0.3
190711,53.3,0.4
190712,47.7,2.1
190801,46.4,1.1
190802,46.4,-3.5
190803,52.2,-1.5
190804,59.9,1.1
190805,60.8,-4.5
190806,68.5,-3.6
190807,81.8,4.3
190808,76.9,0.8
190809,71.6,0.1
190810,60.5,-2.9
190811,53.7,0.8
190812,42.8,-2.8
190901,49.9,4.6
190902,48.5,-1.4
190903,50.2,-3.5
190904,60.0,1.2
190905,62.6,-2.7
190906,69.5,-2.6
190907,75.7,-1.8
190908,75.2,-0.9
190909,70.8,-0.7
190910,61.5,-1.9
190911,52.2,-0.7
190912,43.9,-1.7
191001,43.0,-2.3
191002,47.6,-2.3
191003,56.8,3.1
191004,61.6,2.8
191005,67.2,1.9
191006,68.8,-3.3
191007,77.0,-0.5
191008,74.3,-1.8
191009,68.8,-2.7
191010,63.0,-0.4
191011,52.8,-0.1
191012,47.3,1.7
191101,46.5,1.2
191102,45.2,-4.7
191103,54.0,0.3
191104,56.0,-2.8
191105,61.7,-3.6
191106,71.3,-0.8
191107,78.4,0.9
191108,72.3,-3.8
191109,66.9,-4.6
191110,61.1,-2.3
191111,51.5,-1.4
191112,43.7,-1.9
191201,46.8,1.5
191202,49.4,-0.5
191203,51.1,-2.6
191204,54.3,-4.5
191205,65.1,-0.2
191206,71.3,-0.8
191207,75.7,-1.8
191208,75.1,-1.0
191209,70.8,-0.7
191210,60.9,-2.5
191211,53.4,0.5
191212,44.1,-1.5
191301,44.2,-1.1
191302,49.2,-0.7
191303,53.0,-0.7
191304,58.8,0.0
191305,66.5,1.2
191306,70.7,-1.4
191307,78.0,0.5
191308,80.1,4.0
191309,74.6,3.1
191310,64.6,1.2
191311,54.2,1.3
191312,45.8,0.2
191401,49.2,3.9
191402,50.1,0.2
191403,56.3,2.6
191404,58.8,0.0
191405,66.3,1.0
191406,70.7,-1.4
191407,76.4,-1.1
191408,75.3,-0.8
191409,68.7,-2.8
191410,63.1,-0.3
191411,55.2,2.3
191412,43.8,-1.8
191501,45.5,0.2
191502,49.5,-0.4
191503,55.3,1.6
191504,58.1,-0.7
191505,60.6,-4.7
191506,70.6,-1.5
191507,76.3,-1.2
191508,76.9,0.8
191509,69.6,-1.9
191510,63.1,-0.3
191511,52.3,-0.6
191512,46.7,1.1
191601,42.9,-2.4
191602,53.4,3.5
191603,54.6,0.9
191604,59.2,0.4
191605,61.9,-3.4
191606,69.6,-2.5
191607,75.6,-1.9
191608,74.5,-1.6
191609,70.0,-1.5
191610,58.0,-5.4
191611,49.5,-3.4
191612,43.2,-2.4
191701,41.2,-4.1
191702,48.2,-1.7
191703,49.8,-3.9
191704,57.0,-1.8
191705,60.5,-4.8
191706,73.9,1.8
191707,82.0,4.5
191708,76.3,0.2
191709,72.4,0.9
191710,66.1,2.7
191711,54.8,1.9
191712,47.8,2.2
191801,46.1,0.8
191802,49.3,-0.6
191803,54.4,0.7
191804,58.7,-0.1
191805,61.9,-3.4
191806,78.6,6.5
191807,76.0,-1.5
191808,75.6,-0.5
191809,69.1,-2.4
191810,64.2,0.8
191811,51.3,-1.6
191812,43.4,-2.2
191901,45.2,-0.1
191902,48.0,-1.9
191903,50.4,-3.3
191904,58.7,-0.1
191905,66.9,1.6
191906,72.0,-0.1
191907,78.4,0.9
191908,76.4,0.3
191909,70.4,-1.1
191910,59.4,-4.0
191911,50.7,-2.2
191912,45.3,-0.3
192001,46.5,1.2
192002,49.9,0.0
192003,51.1,-2.6
192004,57.5,-1.3
192005,65.6,0.3
192006,72.3,0.2
192007,75.6,-1.9
192008,78.3,2.2
192009,69.9,-1.6
192010,58.7,-4.7
192011,52.2,-0.7
192012,46.2,0.6
192101,44.3,-1.0
192102,49.7,-0.2
192103,56.0,2.3
192104,57.1,-1.7
192105,61.4,-3.9
192106,74.0,1.9
192107,78.3,0.8
192108,75.3,-0.8
192109,69.8,-1.7
192110,64.2,0.8
192111,53.2,0.3
192112,47.5,1.9
192201,39.8,-5.5
192202,46.7,-3.2
192203,50.1,-3.6
192204,55.0,-3.8
192205,65.6,0.3
192206,72.8,0.7
192207,79.2,1.7
192208,75.4,-0.7
192209,75.2,3.7
192210,62.4,-1.0
192211,49.1,-3.8
192212,47.4,1.8
192301,44.7,-0.6
192302,47.4,-2.5
192303,53.6,-0.1
192304,56.9,-1.9
192305,64.1,-1.2
192306,67.1,-5.0
192307,76.0,-1.5
192308,74.7,-1.4
192309,73.6,2.1
192310,62.4,-1.0
192311,55.2,2.3
192312,43.3,-2.3
192401,43.8,-1.5
192402,53.9,4.0
192403,52.0,-1.7
192404,59.3,0.5
192405,69.6,4.3
192406,73.4,1.3
192407,76.0,-1.5
192408,75.7,-0.4
192409,71.8,0.3
192410,59.4,-4.0
192411,52.4,-0.5
192412,44.1,-1.5
192501,46.3,1.0
192502,52.3,2.4
192503,54.0,0.3
192504,58.4,-0.4
192505,65.6,0.3
192506,74.3,2.2
192507,79.5,2.0
192508,74.4,-1.7
192509,67.2,-4.3
192510,60.8,-2.6
192511,51.8,-1.1
192512,46.7,1.1
192601,43.3,-2.0
192602,52.5,2.6
192603,59.0,5.3
192604,64.4,5.6
192605,67.7,2.4
192606,76.4,4.3
192607,79.1,1.6
192608,76.5,0.4
192609,68.5,-3.0
192610,64.6,1.2
192611,58.9,6.0
192612,45.3,-0.3
192701,46.8,1.5
192702,51.4,1.5
192703,53.2,-0.5
192704,58.0,-0.8
192705,65.6,0.3
192706,72.7,0.6
192707,78.6,1.1
192708,75.0,-1.1
192709,67.9,-3.6
192710,64.5,1.1
192711,53.8,0.9
192712,45.4,-0.2
192801,46.1,0.8
192802,50.7,0.8
192803,58.2,4.5
192804,58.9,0.1
192805,70.3,5.0
192806,73.3,1.2
192807,76.6,-0.9
192808,75.8,-0.3
192809,72.2,0.7
192810,63.0,-0.4
192811,53.2,0.3
192812,44.4,-1.2
192901,42.7,-2.6
192902,47.9,-2.0
192903,53.7,0.0
192904,55.3,-3.5
192905,67.1,1.8
192906,72.7,0.6
192907,77.4,-0.1
192908,78.3,2.2
192909,70.6,-0.9
192910,65.1,1.7
192911,53.4,0.5
192912,50.1,4.5
193001,45.2,-0.1
193002,53.2,3.3
193003,54.9,1.2
193004,60.6,1.8
193005,62.0,-3.3
193006,73.4,1.3
193007,77.5,0.0
193008,75.7,-0.4
193009,69.0,-2.5
193010,62.1,-1.3
193011,53.3,0.4
193012,44.1,-1.5
193101,47.0,1.7
193102,52.0,2.1
193103,55.5,1.8
193104,63.6,4.8
193105,71.3,6.0
193106,72.0,-0.1
193107,83.6,6.1
193108,79.3,3.2
193109,69.3,-2.2
193110,62.7,-0.7
193111,50.6,-2.3
193112,45.2,-0.4
193201,43.4,-1.9
193202,47.7,-2.2
193203,55.5,1.8
193204,57.3,-1.5
193205,66.2,0.9
193206,73.7,1.6
193207,77.1,-0.4
193208,75.8,-0.3
193209,73.8,2.3
193210,62.7,-0.7
193211,56.8,3.9
193212,41.4,-4.2
193301,41.8,-3.5
193302,45.3,-4.6
193303,54.1,0.4
193304,58.6,-0.2
193305,60.7,-4.6
193306,70.8,-1.3
193307,81.0,3.5
193308,77.8,1.7
193309,69.3,-2.2
193310,68.0,4.6
193311,54.6,1.7
193312,45.4,-0.2
193401,45.6,0.3
193402,52.5,2.6
193403,60.3,6.6
193404,64.4,5.6
193405,68.9,3.6
193406,71.2,-0.9
193407,78.3,0.8
193408,76.8,0.7
193409,72.7,1.2
193410,64.1,0.7
193411,54.4,1.5
193412,46.6,1.0
193501,45.8,0.5
193502,49.1,-0.8
193503,49.2,-4.5
193504,58.4,-0.4
193505,64.8,-0.5
193506,74.7,2.6
193507,76.7,-0.8
193508,77.3,1.2
193509,72.0,0.5
193510,61.3,-2.1
193511,50.0,-2.9
193512,46.6,1.0
193601,48.8,3.5
193602,49.5,-0.4
193603,54.8,1.1
193604,59.9,1.1
193605,66.9,1.6
193606,73.0,0.9
193607,80.3,2.8
193608,78.6,2.5
193609,73.1,1.6
193610,65.0,1.6
193611,53.0,0.1
193612,44.4,-1.2
193701,38.7,-6.6
193702,48.7,-1.2
193703,54.2,0.5
193704,57.3,-1.5
193705,66.5,1.2
193706,72.2,0.1
193707,79.6,2.1
193708,78.5,2.4
193709,72.2,0.7
193710,65.3,1.9
193711,55.4,2.5
193712,48.5,2.9
193801,45.3,0.0
193802,49.6,-0.3
193803,51.4,-2.3
193804,58.0,-0.8
193805,66.5,1.2
193806,73.7,1.6
193807,78.2,0.7
193808,75.6,-0.5
193809,73.0,1.5
193810,62.9,-0.5
193811,50.2,-2.7
193812,47.7,2.1
193901,45.8,0.5
193902,45.8,-4.1
193903,53.2,-0.5
193904,62.7,3.9
193905,66.8,1.5
193906,73.4,1.3
193907,77.2,-0.3
193908,76.8,0.7
193909,73.7,2.2
193910,63.0,-0.4
193911,54.0,1.1
193912,48.7,3.1
194001,48.2,2.9
194002,52.0,2.1
194003,55.9,2.2
194004,60.2,1.4
194005,68.3,3.0
194006,76.2,4.1
194007,76.5,-1.0
194008,76.3,0.2
194009,70.0,-1.5
194010,63.7,0.3
194011,51.7,-1.2
194012,49.8,4.2
194101,48.9,3.6
194102,52.4,2.5
194103,55.4,1.7
194104,56.4,-2.4
194105,66.7,1.4
194106,70.8,-1.3
194107,78.7,1.2
194108,73.6,-2.5
194109,69.0,-2.5
194110,60.8,-2.6
194111,53.8,0.9
194112,48.4,2.8
194201,46.4,1.1
194202,47.8,-2.1
194203,52.4,-1.3
194204,57.5,-1.3
194205,62.2,-3.1
194206,71.6,-0.5
194207,78.1,0.6
194208,75.9,-0.2
194209,70.3,-1.2
194210,63.8,0.4
194211,52.8,-0.1
194212,46.2,0.6
194301,45.4,0.1
194302,50.4,0.5
194303,54.8,1.1
194304,59.1,0.3
194305,66.7,1.4
194306,68.2,-3.9
194307,76.0,-1.5
194308,73.2,-2.9
194309,72.6,1.1
194310,62.2,-1.2
194311,53.7,0.8
194312,47.2,1.6
194401,46.4,1.1
194402,47.4,-2.5
194403,53.1,-0.6
194404,55.1,-3.7
194405,65.0,-0.3
194406,68.1,-4.0
194407,74.9,-2.6
194408,75.0,-1.1
194409,72.6,1.1
194410,64.9,1.5
194411,50.8,-2.1
194412,46.7,1.1
194501,43.7,-1.6
194502,50.0,0.1
194503,49.5,-4.2
194504,58.4,-0.4
194505,63.3,-2.0
194506,72.6,0.5
194507,79.5,2.0
194508,74.9,-1.2
194509,72.2,0.7
194510,64.3,0.9
194511,51.1,-1.8
194512,46.5,0.9
194601,43.3,-2.0
194602,46.1,-3.8
194603,52.8,-0.9
194604,60.3,1.5
194605,64.7,-0.6
194606,70.3,-1.8
194607,76.8,-0.7
194608,75.8,-0.3
194609,71.1,-0.4
194610,59.3,-4.1
