Date,Value,Anomaly
189501,23.7,-5.0
189502,28.7,-3.5
189503,33.6,-2.8
189504,43.4,1.0
189505,50.3,0.4
189506,57.8,0.6
189507,63.0,-2.5
189508,63.9,-0.1
189509,52.5,-4.4
189510,50.1,2.9
189511,33.9,-2.7
189512,26.0,-4.1
189601,32.0,3.3
189602,34.9,2.7
189603,35.8,-0.6
189604,34.4,-8.0
189605,43.6,-6.3
189606,58.9,1.7
189607,67.7,2.2
189608,63.0,-1.0
189609,54.7,-2.2
189610,47.8,0.6
189611,31.9,-4.7
189612,34.2,4.1
189701,29.6,0.9
189702,29.1,-3.1
189703,28.0,-8.4
189704,44.8,2.4
189705,55.8,5.9
189706,54.9,-2.3
189707,62.2,-3.3
189708,66.0,2.0
189709,52.7,-4.2
189710,43.7,-3.5
189711,34.7,-1.9
189712,27.7,-2.4
189801,21.4,-7.3
189802,32.7,0.5
189803,31.3,-5.1
189804,43.8,1.4
189805,46.1,-3.8
189806,54.5,-2.7
189807,63.4,-2.1
189808,64.5,0.5
189809,55.5,-1.4
189810,42.8,-4.4
189811,32.6,-4.0
189812,24.4,-5.7
189901,30.6,1.9
189902,28.7,-3.5
189903,32.0,-4.4
189904,39.5,-2.9
189905,41.3,-8.6
189906,53.9,-3.3
189907,62.8,-2.7
189908,55.3,-8.7
189909,57.2,0.3
189910,39.7,-7.5
189911,37.7,1.1
189912,26.3,-3.8
190001,33.6,4.9
190002,32.6,0.4
190003,39.9,3.5
190004,39.0,-3.4
190005,48.1,-1.8
190006,57.3,0.1
190007,63.4,-2.1
190008,57.5,-6.5
190009,50.2,-6.7
190010,42.6,-4.6
190011,37.0,0.4
190012,30.8,0.7
190101,26.0,-2.7
190102,28.3,-3.9
190103,35.0,-1.4
190104,37.8,-4.6
190105,49.1,-0.8
190106,52.4,-4.8
190107,63.3,-2.2
190108,64.5,0.5
190109,51.4,-5.5
190110,48.1,0.9
190111,38.3,1.7
190112,30.2,0.1
190201,27.5,-1.2
190202,34.1,1.9
190203,31.2,-5.2
190204,38.4,-4.0
190205,45.0,-4.9
190206,56.5,-0.7
190207,59.5,-6.0
190208,60.1,-3.9
190209,54.7,-2.2
190210,44.8,-2.4
190211,32.4,-4.2
190212,29.4,-0.7
190301,28.8,0.1
190302,20.2,-12.0
190303,32.8,-3.6
190304,37.3,-5.1
190305,48.2,-1.7
190306,57.5,0.3
190307,58.4,-7.1
190308,60.9,-3.1
190309,52.7,-4.2
190310,47.3,0.1
190311,36.0,-0.6
190312,28.9,-1.2
190401,25.2,-3.5
190402,28.8,-3.4
190403,31.0,-5.4
190404,40.2,-2.2
190405,50.3,0.4
190406,55.4,-1.8
190407,61.6,-3.9
190408,64.8,0.8
190409,57.2,0.3
190410,45.0,-2.2
190411,38.9,2.3
190412,28.3,-1.8
190501,31.6,2.9
190502,35.3,3.1
190503,34.0,-2.4
190504,42.8,0.4
190505,44.8,-5.1
190506,54.4,-2.8
190507,67.1,1.6
190508,64.2,0.2
190509,55.6,-1.3
190510,42.8,-4.4
190511,33.3,-3.3
190512,23.9,-6.2
190601,26.6,-2.1
190602,32.0,-0.2
190603,31.2,-5.2
190604,42.8,0.4
190605,46.3,-3.6
190606,51.9,-5.3
190607,68.6,3.1
190608,64.6,0.6
190609,55.4,-1.5
190610,46.0,-1.2
190611,33.1,-3.5
190612,31.0,0.9
190701,23.4,-5.3
190702,38.9,6.7
190703,31.2,-5.2
190704,44.0,1.6
190705,48.4,-1.5
190706,51.6,-5.6
190707,61.8,-3.7
190708,59.2,-4.8
190709,54.4,-2.5
190710,49.4,2.2
190711,35.4,-1.2
190712,31.9,1.8
190801,30.8,2.1
190802,31.4,-0.8
190803,33.9,-2.5
190804,43.6,1.2
190805,42.8,-7.1
190806,52.7,-4.5
190807,67.7,2.2
