Date,Value,Anomaly
189501,26.2,-1.0
189502,28.0,-1.2
189503,30.8,-2.5
189504,39.9,0.5
189505,48.2,1.3
189506,55.9,0.6
189507,62.3,-0.4
189508,62.2,0.9
189509,52.6,-1.7
189510,44.2,-0.9
189511,33.3,-2.2
189512,26.9,-2.1
189601,31.4,4.2
189602,28.2,-1.0
189603,32.0,-1.3
189604,32.8,-6.6
189605,42.8,-4.1
189606,59.2,3.9
189607,64.8,2.1
189608,61.8,0.5
189609,53.0,-1.3
189610,45.1,0.0
189611,35.6,0.1
189612,32.7,3.7
189701,26.5,-0.7
189702,24.1,-5.1
189703,24.4,-8.9
189704,40.0,0.6
189705,52.1,5.2
189706,54.8,-0.5
189707,61.5,-1.2
189708,63.7,2.4
189709,53.1,-1.2
189710,41.9,-3.2
189711,37.7,2.2
189712,26.6,-2.4
189801,19.4,-7.8
189802,32.8,3.6
189803,28.4,-4.9
189804,44.0,4.6
189805,44.5,-2.4
189806,56.7,1.4
189807,64.0,1.3
189808,64.3,3.0
189809,56.2,1.9
189810,44.1,-1.0
189811,34.6,-0.9
189812,26.4,-2.6
189901,27.5,0.3
189902,30.2,1.0
189903,33.4,0.1
189904,41.6,2.2
189905,41.6,-5.3
189906,56.1,0.8
189907,63.8,1.1
189908,56.7,-4.6
189909,57.0,2.7
189910,40.7,-4.4
189911,37.4,1.9
189912,27.2,-1.8
190001,30.0,2.8
190002,31.3,2.1
190003,37.6,4.3
190004,35.3,-4.1
190005,47.7,0.8
190006,59.0,3.7
190007,63.5,0.8
190008,57.9,-3.4
190009,49.0,-5.3
190010,42.9,-2.2
190011,35.6,0.1
190012,28.1,-0.9
190101,24.8,-2.4
190102,27.6,-1.6
190103,30.9,-2.4
190104,36.0,-3.4
190105,46.5,-0.4
190106,54.3,-1.0
190107,64.2,1.5
190108,61.6,0.3
190109,52.6,-1.7
190110,46.8,1.7
190111,39.5,4.0
190112,30.1,1.1
190201,24.8,-2.4
190202,30.4,1.2
190203,28.3,-5.0
190204,37.9,-1.5
190205,44.4,-2.5
190206,57.8,2.5
190207,60.8,-1.9
190208,59.6,-1.7
190209,54.8,0.5
190210,44.3,-0.8
190211,32.1,-3.4
190212,27.9,-1.1
190301,27.6,0.4
190302,18.8,-10.4
190303,31.6,-1.7
190304,36.8,-2.6
190305,45.8,-1.1
190306,57.2,1.9
190307,59.0,-3.7
190308,61.5,0.2
190309,51.9,-2.4
190310,45.9,0.8
190311,37.9,2.4
190312,27.5,-1.5
190401,26.4,-0.8
190402,31.9,2.7
190403,33.7,0.4
190404,38.4,-1.0
190405,49.2,2.3
190406,56.0,0.7
190407,60.9,-1.8
190408,62.9,1.6
190409,55.0,0.7
190410,43.5,-1.6
190411,37.7,2.2
190412,31.0,2.0
190501,33.3,6.1
190502,30.6,1.4
190503,37.2,3.9
190504,39.7,0.3
190505,42.9,-4.0
190506,54.6,-0.7
190507,63.2,0.5
190508,62.0,0.7
190509,53.9,-0.4
190510,43.2,-1.9
190511,33.8,-1.7
190512,25.2,-3.8
190601,30.8,3.6
190602,34.3,5.1
190603,34.1,0.8
190604,37.8,-1.6
190605,44.6,-2.3
190606,52.8,-2.5
190607,64.3,1.6
190608,61.6,0.3
190609,54.2,-0.1
190610,46.5,1.4
190611,32.3,-3.2
190612,29.5,0.5
190701,23.6,-3.6
190702,36.5,7.3
190703,30.8,-2.5
190704,42.8,3.4
190705,45.7,-1.2
190706,48.9,-6.4
190707,60.2,-2.5
190708,58.2,-3.1
190709,50.8,-3.5
190710,44.2,-0.9
190711,34.8,-0.7
190712,31.0,2.0
190801,28.5,1.3
190802,28.4,-0.8
190803,34.7,1.4
190804,43.2,3.8
190805,42.8,-4.1
190806,51.5,-3.8
190807,64.4,1.7
190808,60.4,-0.9
190809,53.1,-1.2
190810,41.5,-3.6
190811,35.2,-0.3
190812,26.2,-2.8
190901,31.2,4.0
190902,27.7,-1.5
190903,30.4,-2.9
190904,41.8,2.4
190905,45.8,-1.1
190906,58.0,2.7
190907,60.9,-1.8
190908,60.4,-0.9
190909,53.1,-1.2
190910,44.0,-1.1
190911,35.8,0.3
190912,24.4,-4.6
191001,23.1,-4.1
191002,28.0,-1.2
191003,39.0,5.7
191004,44.3,4.9
191005,52.4,5.5
191006,54.8,-0.5
191007,63.4,0.7
191008,62.0,0.7
191009,53.1,-1.2
191010,45.8,0.7
191011,36.7,1.2
191012,32.0,3.0
191101,28.6,1.4
191102,24.2,-5.0
191103,35.6,2.3
191104,38.9,-0.5
191105,43.8,-3.1
191106,55.4,0.1
191107,63.6,0.9
191108,58.7,-2.6
191109,49.8,-4.5
191110,43.1,-2.0
191111,33.6,-1.9
191112,24.4,-4.6
191201,26.0,-1.2
191202,31.9,2.7
191203,30.6,-2.7
191204,35.4,-4.0
191205,45.3,-1.6
191206,54.3,-1.0
191207,59.0,-3.7
191208,58.9,-2.4
191209,51.9,-2.4
191210,40.8,-4.3
191211,35.7,0.2
191212,27.0,-2.0
191301,23.5,-3.7
191302,25.6,-3.6
191303,31.5,-1.8
191304,39.3,-0.1
191305,48.2,1.3
191306,52.2,-3.1
191307,60.5,-2.2
191308,61.3,0.0
191309,55.7,1.4
191310,44.6,-0.5
191311,36.4,0.9
191312,29.0,0.0
191401,30.4,3.2
191402,28.8,-0.4
191403,37.3,4.0
191404,40.5,1.1
191405,49.3,2.4
191406,53.7,-1.6
191407,61.2,-1.5
191408,61.6,0.3
191409,52.7,-1.6
191410,44.6,-0.5
191411,36.5,1.0
191412,22.6,-6.4
191501,26.0,-1.2
191502,27.4,-1.8
191503,33.3,0.0
191504,41.6,2.2
191505,44.0,-2.9
191506,54.2,-1.1
191507,61.6,-1.1
191508,62.4,1.1
191509,53.1,-1.2
191510,44.9,-0.2
191511,34.2,-1.3
191512,30.1,1.1
191601,20.4,-6.8
191602,28.0,-1.2
191603,36.5,3.2
191604,42.3,2.9
191605,45.0,-1.9
191606,54.0,-1.3
191607,61.5,-1.2
191608,60.6,-0.7
191609,53.5,-0.8
191610,39.7,-5.4
191611,31.4,-4.1
191612,24.5,-4.5
191701,16.5,-10.7
191702,26.8,-2.4
191703,27.1,-6.2
191704,37.1,-2.3
191705,42.0,-4.9
191706,57.8,2.5
191707,65.4,2.7
191708,62.1,0.8
191709,55.3,1.0
191710,49.3,4.2
191711,38.9,3.4
191712,34.1,5.1
191801,27.6,0.4
191802,26.8,-2.4
191803,33.2,-0.1
191804,40.2,0.8
191805,44.1,-2.8
191806,62.0,6.7
191807,61.3,-1.4
191808,58.5,-2.8
191809,53.8,-0.5
191810,46.5,1.4
191811,33.1,-2.4
191812,26.1,-2.9
191901,27.6,0.4
191902,25.7,-3.5
191903,30.1,-3.2
191904,41.0,1.6
191905,50.9,4.0
191906,56.2,0.9
191907,64.4,1.7
191908,63.0,1.7
191909,52.8,-1.5
191910,39.3,-5.8
191911,33.8,-1.7
191912,27.0,-2.0
192001,29.1,1.9
192002,29.5,0.3
192003,29.5,-3.8
192004,36.6,-2.8
192005,46.9,0.0
192006,53.9,-1.4
192007,60.1,-2.6
192008,60.6,-0.7
192009,52.5,-1.8
192010,40.0,-5.1
192011,34.1,-1.4
192012,27.7,-1.3
192101,25.9,-1.3
192102,30.9,1.7
192103,37.6,4.3
192104,39.3,-0.1
192105,44.5,-2.4
192106,56.9,1.6
192107,65.0,2.3
192108,60.5,-0.8
192109,53.0,-1.3
192110,46.0,0.9
192111,37.7,2.2
192112,30.9,1.9
192201,19.8,-7.4
192202,24.3,-4.9
192203,30.0,-3.3
192204,37.0,-2.4
192205,47.8,0.9
192206,57.6,2.3
192207,65.4,2.7
192208,60.0,-1.3
192209,57.3,3.0
192210,43.7,-1.4
192211,31.7,-3.8
192212,30.2,1.2
