Date,Value,Anomaly
189501,46.5,-0.4
189502,49.6,0.8
189503,49.8,-0.9
189504,53.2,-0.6
189505,59.1,0.4
189506,64.4,0.3
189507,66.8,-1.8
189508,66.8,-1.5
189509,63.5,-2.5
189510,60.5,0.3
189511,50.0,-2.6
189512,45.2,-2.4
189601,49.2,2.3
189602,49.9,1.1
189603,51.4,0.7
189604,48.6,-5.2
189605,55.7,-3.0
189606,64.6,0.5
189607,66.4,-2.2
189608,66.8,-1.5
189609,61.8,-4.2
189610,60.2,0.0
189611,49.4,-3.2
189612,49.9,2.3
189701,46.4,-0.5
189702,47.2,-1.6
189703,45.9,-4.8
189704,56.0,2.2
189705,60.6,1.9
189706,65.6,1.5
189707,68.7,0.1
189708,69.2,0.9
189709,65.5,-0.5
189710,57.4,-2.8
189711,51.0,-1.6
189712,46.3,-1.3
189801,43.3,-3.6
189802,50.4,1.6
189803,48.5,-2.2
189804,55.4,1.6
189805,56.7,-2.0
189806,65.6,1.5
189807,66.0,-2.6
189808,67.4,-0.9
189809,63.9,-2.1
189810,61.6,1.4
189811,51.8,-0.8
189812,46.4,-1.2
189901,50.2,3.3
189902,48.5,-0.3
189903,50.1,-0.6
189904,54.0,0.2
189905,55.1,-3.6
189906,63.7,-0.4
189907,67.8,-0.8
189908,65.4,-2.9
189909,67.4,1.4
189910,58.1,-2.1
189911,54.5,1.9
189912,48.0,0.4
190001,50.0,3.1
190002,49.5,0.7
190003,54.9,4.2
190004,51.7,-2.1
190005,61.2,2.5
190006,65.9,1.8
190007,68.1,-0.5
190008,66.9,-1.4
190009,64.1,-1.9
190010,59.6,-0.6
190011,56.3,3.7
190012,48.2,0.6
190101,47.6,0.7
190102,49.7,0.9
190103,51.5,0.8
190104,50.9,-2.9
190105,57.9,-0.8
190106,63.8,-0.3
190107,68.6,0.0
190108,69.3,1.0
190109,62.8,-3.2
190110,61.6,1.4
190111,55.2,2.6
190112,46.9,-0.7
190201,44.6,-2.3
190202,49.0,0.2
190203,47.2,-3.5
190204,52.0,-1.8
190205,56.1,-2.6
190206,64.0,-0.1
190207,67.6,-1.0
190208,67.4,-0.9
190209,66.3,0.3
190210,58.9,-1.3
190211,49.8,-2.8
190212,45.7,-1.9
190301,45.7,-1.2
190302,42.5,-6.3
190303,48.9,-1.8
190304,50.2,-3.6
190305,57.4,-1.3
190306,65.8,1.7
190307,65.6,-3.0
190308,68.1,-0.2
190309,64.8,-1.2
190310,61.4,1.2
190311,52.8,0.2
190312,46.0,-1.6
190401,43.8,-3.1
190402,47.8,-1.0
190403,49.1,-1.6
190404,51.9,-1.9
190405,59.3,0.6
190406,63.6,-0.5
190407,66.3,-2.3
190408,67.9,-0.4
190409,67.4,1.4
190410,59.5,-0.7
190411,53.5,0.9
190412,46.7,-0.9
190501,48.4,1.5
190502,49.6,0.8
190503,51.6,0.9
190504,53.9,0.1
190505,54.5,-4.2
190506,61.4,-2.7
190507,69.1,0.5
190508,66.4,-1.9
190509,64.6,-1.4
190510,58.8,-1.4
190511,51.4,-1.2
190512,46.5,-1.1
190601,48.4,1.5
190602,52.0,3.2
190603,49.9,-0.8
190604,51.6,-2.2
190605,54.7,-4.0
190606,61.0,-3.1
190607,71.0,2.4
190608,68.1,-0.2
190609,65.6,-0.4
190610,60.7,0.5
190611,50.2,-2.4
190612,46.0,-1.6
190701,44.0,-2.9
190702,51.2,2.4
190703,48.5,-2.2
190704,55.3,1.5
190705,56.3,-2.4
190706,59.3,-4.8
190707,66.1,-2.5
190708,65.0,-3.3
190709,61.6,-4.4
190710,59.2,-1.0
190711,52.5,-0.1
190712,49.3,1.7
190801,48.1,1.2
190802,45.1,-3.7
190803,47.5,-3.2
190804,51.1,-2.7
190805,53.8,-4.9
190806,60.0,-4.1
190807,69.3,0.7
190808,66.3,-2.0
190809,64.8,-1.2
190810,57.0,-3.2
190811,52.8,0.2
190812,46.1,-1.5
190901,49.6,2.7
190902,48.2,-0.6
190903,45.7,-5.0
190904,52.2,-1.6
190905,54.9,-3.8
190906,61.3,-2.8
190907,65.9,-2.7
190908,66.8,-1.5
190909,64.7,-1.3
190910,59.7,-0.5
190911,49.8,-2.8
190912,44.6,-3.0
191001,42.1,-4.8
191002,45.0,-3.8
191003,52.0,1.3
191004,55.1,1.3
191005,59.4,0.7
191006,60.5,-3.6
191007,67.0,-1.6
191008,65.2,-3.1
191009,62.5,-3.5
191010,60.6,0.4
191011,51.5,-1.1
191012,48.5,0.9
191101,47.9,1.0
191102,44.1,-4.7
191103,50.8,0.1
191104,50.0,-3.8
191105,54.2,-4.5
191106,59.2,-4.9
191107,68.2,-0.4
191108,65.5,-2.8
191109,63.2,-2.8
191110,58.2,-2.0
191111,50.8,-1.8
191112,44.6,-3.0
191201,46.7,-0.2
191202,48.1,-0.7
191203,48.6,-2.1
191204,50.4,-3.4
191205,60.5,1.8
191206,65.3,1.2
191207,67.0,-1.6
191208,67.2,-1.1
191209,66.2,0.2
191210,58.3,-1.9
191211,52.7,0.1
191212,44.2,-3.4
191301,44.3,-2.6
191302,48.7,-0.1
191303,49.5,-1.2
191304,54.3,0.5
191305,59.0,0.3
191306,63.1,-1.0
191307,70.0,1.4
191308,71.7,3.4
191309,69.6,3.6
191310,60.6,0.4
191311,53.2,0.6
191312,48.4,0.8
191401,50.8,3.9
191402,49.0,0.2
191403,53.6,2.9
191404,55.5,1.7
191405,59.7,1.0
191406,63.3,-0.8
191407,67.9,-0.7
191408,66.5,-1.8
191409,62.5,-3.5
191410,60.2,0.0
191411,55.1,2.5
191412,46.0,-1.6
191501,46.7,-0.2
191502,48.1,-0.7
191503,53.3,2.6
191504,52.7,-1.1
191505,56.7,-2.0
191506,63.6,-0.5
191507,68.0,-0.6
191508,69.8,1.5
191509,63.8,-2.2
191510,59.0,-1.2
191511,50.6,-2.0
191512,47.5,-0.1
191601,43.7,-3.2
191602,52.2,3.4
191603,51.8,1.1
191604,53.3,-0.5
191605,55.5,-3.2
191606,61.6,-2.5
191607,68.1,-0.5
191608,67.2,-1.1
191609,64.9,-1.1
191610,54.1,-6.1
191611,48.5,-4.1
191612,44.1,-3.5
191701,42.0,-4.9
191702,46.4,-2.4
191703,46.6,-4.1
191704,51.4,-2.4
191705,52.9,-5.8
191706,63.5,-0.6
191707,70.0,1.4
191708,66.0,-2.3
191709,66.4,0.4
191710,61.1,0.9
191711,53.1,0.5
191712,49.3,1.7
191801,45.6,-1.3
191802,46.2,-2.6
191803,49.2,-1.5
191804,53.3,-0.5
191805,53.6,-5.1
191806,67.0,2.9
191807,67.3,-1.3
191808,67.4,-0.9
191809,64.4,-1.6
191810,60.3,0.1
191811,49.9,-2.7
191812,45.8,-1.8
191901,45.5,-1.4
191902,45.1,-3.7
191903,48.6,-2.1
191904,53.8,0.0
191905,60.5,1.8
191906,64.2,0.1
191907,67.2,-1.4
191908,67.2,-1.1
191909,63.7,-2.3
191910,55.9,-4.3
191911,50.0,-2.6
191912,48.7,1.1
192001,47.5,0.6
192002,47.0,-1.8
192003,47.5,-3.2
192004,52.5,-1.3
192005,58.9,0.2
192006,64.8,0.7
192007,67.1,-1.5
192008,69.5,1.2
192009,65.1,-0.9
192010,58.5,-1.7
192011,52.9,0.3
192012,46.4,-1.2
192101,44.4,-2.5
192102,48.7,-0.1
192103,52.3,1.6
192104,52.1,-1.7
192105,55.4,-3.3
192106,66.0,1.9
192107,68.9,0.3
192108,67.5,-0.8
192109,63.5,-2.5
192110,60.5,0.3
192111,53.8,1.2
192112,49.6,2.0
192201,43.5,-3.4
192202,45.0,-3.8
192203,47.1,-3.6
192204,50.1,-3.7
192205,59.1,0.4
192206,64.5,0.4
192207,68.9,0.3
192208,67.1,-1.2
192209,68.2,2.2
192210,59.0,-1.2
192211,49.4,-3.2
192212,48.2,0.6
192301,45.2,-1.7
192302,45.9,-2.9
192303,49.5,-1.2
192304,52.1,-1.7
192305,58.3,-0.4
192306,58.5,-5.6
192307,67.1,-1.5
192308,68.6,0.3
192309,66.7,0.7
192310,59.0,-1.2
192311,53.7,1.1
192312,46.3,-1.3
192401,45.6,-1.3
192402,52.1,3.3
192403,49.7,-1.0
192404,54.5,0.7
192405,62.0,3.3
192406,65.5,1.4
192407,65.5,-3.1
192408,66.6,-1.7
192409,65.1,-0.9
192410,57.3,-2.9
192411,54.0,1.4
192412,46.2,-1.4
192501,47.5,0.6
192502,50.5,1.7
192503,50.0,-0.7
192504,53.2,-0.6
192505,59.7,1.0
192506,66.1,2.0
192507,70.4,1.8
192508,67.5,-0.8
192509,62.2,-3.8
192510,58.8,-1.4
192511,51.7,-0.9
192512,51.2,3.6
192601,48.4,1.5
192602,50.6,1.8
192603,55.5,4.8
192604,57.9,4.1
192605,60.4,1.7
192606,67.2,3.1
192607,69.0,0.4
192608,68.5,0.2
192609,62.1,-3.9
192610,61.6,1.4
192611,57.6,5.0
192612,45.9,-1.7
192701,46.6,-0.3
192702,49.7,0.9
192703,49.8,-0.9
192704,53.2,-0.6
192705,58.8,0.1
192706,63.2,-0.9
192707,68.3,-0.3
192708,67.0,-1.3
192709,63.3,-2.7
192710,60.4,0.2
192711,53.3,0.7
192712,46.6,-1.0
192801,47.5,0.6
192802,48.7,-0.1
192803,54.4,3.7
192804,54.3,0.5
192805,61.5,2.8
192806,64.8,0.7
192807,67.2,-1.4
192808,67.2,-1.1
192809,66.2,0.2
192810,58.0,-2.2
192811,52.1,-0.5
192812,46.2,-1.4
192901,44.1,-2.8
192902,45.3,-3.5
192903,49.6,-1.1
192904,50.5,-3.3
192905,60.7,2.0
192906,65.5,1.4
