Date,Value,Anomaly
189501,45.1,0.0
189502,50.0,1.6
189503,50.7,-0.4
189504,55.5,0.4
189505,60.9,0.1
189506,68.6,1.3
189507,69.8,-2.0
189508,69.8,-1.2
189509,65.2,-3.2
189510,61.8,0.3
189511,52.3,0.3
189512,44.1,-1.7
189601,49.0,3.9
189602,51.9,3.5
189603,53.1,2.0
189604,51.3,-3.8
189605,58.9,-1.9
189606,68.1,0.8
189607,73.9,2.1
189608,71.3,0.3
189609,67.4,-1.0
189610,62.2,0.7
189611,50.4,-1.6
189612,48.7,2.9
189701,44.8,-0.3
189702,46.8,-1.6
189703,46.2,-4.9
189704,57.3,2.2
189705,64.3,3.5
189706,67.7,0.4
189707,72.5,0.7
189708,70.9,-0.1
189709,67.8,-0.6
189710,60.0,-1.5
189711,50.1,-1.9
189712,45.5,-0.3
189801,41.8,-3.3
189802,49.7,1.3
189803,49.5,-1.6
189804,58.0,2.9
189805,58.8,-2.0
189806,69.0,1.7
189807,72.3,0.5
189808,71.6,0.6
189809,67.5,-0.9
189810,62.1,0.6
189811,51.8,-0.2
189812,44.7,-1.1
189901,48.8,3.7
189902,48.4,0.0
189903,50.9,-0.2
189904,55.9,0.8
189905,57.8,-3.0
189906,67.9,0.6
189907,70.4,-1.4
189908,67.9,-3.1
189909,69.0,0.6
189910,59.0,-2.5
189911,53.9,1.9
189912,45.4,-0.4
190001,47.8,2.7
190002,49.8,1.4
190003,54.3,3.2
190004,54.1,-1.0
190005,62.4,1.6
190006,68.0,0.7
190007,72.0,0.2
190008,69.6,-1.4
190009,67.0,-1.4
190010,59.9,-1.6
190011,54.2,2.2
190012,46.8,1.0
190101,45.5,0.4
190102,49.2,0.8
190103,53.6,2.5
190104,53.1,-2.0
190105,60.3,-0.5
190106,67.0,-0.3
190107,69.2,-2.6
190108,69.7,-1.3
190109,65.6,-2.8
190110,64.4,2.9
190111,55.1,3.1
190112,47.2,1.4
190201,42.5,-2.6
190202,49.8,1.4
190203,49.1,-2.0
190204,53.5,-1.6
190205,58.0,-2.8
190206,68.2,0.9
190207,72.8,1.0
190208,71.5,0.5
190209,69.9,1.5
190210,60.8,-0.7
190211,50.6,-1.4
190212,46.0,0.2
190301,44.2,-0.9
190302,43.9,-4.5
190303,49.2,-1.9
190304,53.3,-1.8
190305,61.9,1.1
190306,69.0,1.7
190307,69.6,-2.2
190308,70.2,-0.8
190309,68.5,0.1
190310,64.3,2.8
190311,52.7,0.7
190312,46.5,0.7
190401,44.4,-0.7
190402,46.4,-2.0
190403,48.3,-2.8
190404,54.4,-0.7
190405,64.5,3.7
190406,68.8,1.5
190407,70.1,-1.7
190408,69.8,-1.2
190409,70.0,1.6
190410,61.7,0.2
190411,53.3,1.3
190412,45.7,-0.1
190501,47.2,2.1
190502,49.9,1.5
190503,53.6,2.5
190504,55.4,0.3
190505,57.5,-3.3
190506,65.4,-1.9
190507,72.1,0.3
190508,70.7,-0.3
190509,68.2,-0.2
190510,60.8,-0.7
190511,51.5,-0.5
190512,43.8,-2.0
190601,46.7,1.6
190602,51.8,3.4
190603,49.9,-1.2
190604,55.6,0.5
190605,58.6,-2.2
190606,65.3,-2.0
190607,74.2,2.4
190608,71.4,0.4
190609,69.2,0.8
190610,63.1,1.6
190611,52.7,0.7
190612,46.8,1.0
190701,44.0,-1.1
190702,52.6,4.2
190703,48.4,-2.7
190704,56.8,1.7
190705,59.6,-1.2
190706,64.4,-2.9
190707,70.1,-1.7
190708,69.8,-1.2
190709,65.5,-2.9
190710,62.3,0.8
190711,53.4,1.4
190712,46.8,1.0
190801,45.6,0.5
190802,45.8,-2.6
190803,51.0,-0.1
190804,56.3,1.2
190805,58.0,-2.8
190806,65.1,-2.2
190807,73.1,1.3
190808,69.7,-1.3
190809,68.9,0.5
190810,59.0,-2.5
190811,51.5,-0.5
190812,42.0,-3.8
190901,48.0,2.9
190902,46.8,-1.6
190903,47.8,-3.3
190904,55.8,0.7
190905,59.0,-1.8
190906,65.8,-1.5
190907,70.0,-1.8
190908,69.2,-1.8
190909,68.0,-0.4
190910,59.2,-2.3
190911,50.6,-1.4
190912,43.3,-2.5
191001,41.4,-3.7
191002,45.0,-3.4
191003,53.5,2.4
191004,55.9,0.8
191005,62.6,1.8
191006,64.6,-2.7
191007,70.4,-1.4
191008,68.8,-2.2
191009,63.9,-4.5
191010,62.4,0.9
191011,51.8,-0.2
191012,47.9,2.1
191101,45.4,0.3
191102,44.3,-4.1
191103,51.5,0.4
191104,51.9,-3.2
191105,56.6,-4.2
191106,64.2,-3.1
191107,70.4,-1.4
191108,66.8,-4.2
191109,63.2,-5.2
191110,59.0,-2.5
191111,51.7,-0.3
191112,45.5,-0.3
191201,47.2,2.1
191202,50.2,1.8
191203,48.2,-2.9
191204,50.9,-4.2
191205,60.3,-0.5
191206,66.5,-0.8
191207,69.5,-2.3
191208,70.0,-1.0
191209,67.1,-1.3
191210,57.6,-3.9
191211,51.0,-1.0
191212,45.5,-0.3
191301,42.8,-2.3
191302,48.0,-0.4
191303,49.3,-1.8
191304,53.5,-1.6
191305,60.8,0.0
191306,65.5,-1.8
191307,73.9,2.1
191308,74.1,3.1
191309,71.0,2.6
191310,63.0,1.5
191311,51.3,-0.7
191312,45.2,-0.6
191401,47.0,1.9
191402,48.9,0.5
191403,55.7,4.6
191404,56.3,1.2
191405,60.4,-0.4
191406,65.2,-2.1
191407,69.6,-2.2
191408,69.3,-1.7
191409,65.3,-3.1
191410,60.6,-0.9
191411,52.7,0.7
191412,43.7,-2.1
191501,45.7,0.6
191502,47.6,-0.8
191503,53.5,2.4
191504,55.7,0.6
191505,57.6,-3.2
191506,67.0,-0.3
191507,72.0,0.2
191508,72.7,1.7
191509,67.3,-1.1
191510,62.4,0.9
191511,51.1,-0.9
191512,46.8,1.0
191601,41.8,-3.3
