Date,Value,Anomaly
189501,36.6,-1.0
189502,43.0,3.3
189503,43.2,0.7
189504,49.1,1.5
189505,55.3,0.9
189506,63.8,1.9
189507,66.8,-2.0
189508,67.2,-0.6
189509,58.2,-4.4
189510,55.1,0.8
189511,44.2,-0.5
189512,37.9,-0.9
189601,42.7,5.1
189602,43.7,4.0
189603,44.2,1.7
189604,42.0,-5.6
189605,50.4,-4.0
189606,64.7,2.8
189607,71.4,2.6
189608,67.0,-0.8
189609,60.8,-1.8
189610,55.5,1.2
189611,44.2,-0.5
189612,43.4,4.6
189701,39.0,1.4
189702,37.4,-2.3
189703,37.2,-5.3
189704,51.8,4.2
189705,60.4,6.0
189706,61.2,-0.7
189707,68.0,-0.8
189708,68.3,0.5
189709,60.5,-2.1
189710,52.0,-2.3
189711,44.3,-0.4
189712,39.2,0.4
189801,33.3,-4.3
189802,43.3,3.6
189803,40.7,-1.8
189804,52.2,4.6
189805,52.4,-2.0
189806,62.4,0.5
189807,69.1,0.3
189808,69.4,1.6
189809,61.3,-1.3
189810,53.4,-0.9
189811,44.2,-0.5
189812,38.4,-0.4
189901,40.8,3.2
189902,40.6,0.9
189903,42.0,-0.5
189904,48.5,0.9
189905,50.4,-4.0
189906,63.1,1.2
189907,67.4,-1.4
189908,62.4,-5.4
189909,63.6,1.0
189910,50.0,-4.3
189911,46.6,1.9
189912,38.7,-0.1
190001,43.8,6.2
190002,43.1,3.4
190003,46.9,4.4
190004,45.6,-2.0
190005,56.2,1.8
190006,64.0,2.1
190007,68.3,-0.5
190008,63.2,-4.6
190009,57.1,-5.5
190010,51.7,-2.6
190011,47.7,3.0
190012,41.4,2.6
190101,39.0,1.4
190102,39.9,0.2
190103,45.2,2.7
190104,47.5,-0.1
190105,55.4,1.0
190106,62.6,0.7
190107,69.4,0.6
190108,69.4,1.6
190109,59.6,-3.0
190110,56.1,1.8
190111,47.0,2.3
190112,41.6,2.8
190201,37.6,0.0
190202,41.0,1.3
190203,40.0,-2.5
190204,46.0,-1.6
190205,51.8,-2.6
190206,63.5,1.6
190207,67.5,-1.3
190208,66.2,-1.6
190209,64.2,1.6
190210,52.6,-1.7
190211,41.9,-2.8
190212,39.3,0.5
190301,39.1,1.5
190302,32.6,-7.1
190303,40.6,-1.9
190304,45.5,-2.1
190305,56.8,2.4
190306,63.9,2.0
190307,64.7,-4.1
190308,67.2,-0.6
190309,61.4,-1.2
190310,57.6,3.3
190311,47.0,2.3
190312,41.1,2.3
190401,38.4,0.8
190402,39.9,0.2
190403,41.2,-1.3
190404,47.7,0.1
190405,58.1,3.7
190406,63.7,1.8
190407,66.5,-2.3
190408,68.9,1.1
190409,62.6,0.0
190410,53.8,-0.5
190411,48.0,3.3
190412,39.5,0.7
190501,42.2,4.6
190502,41.6,1.9
190503,44.7,2.2
190504,49.9,2.3
190505,51.1,-3.3
190506,61.3,-0.6
190507,69.4,0.6
190508,68.2,0.4
190509,62.0,-0.6
190510,53.8,-0.5
190511,44.8,0.1
190512,36.1,-2.7
190601,39.1,1.5
190602,43.2,3.5
190603,41.5,-1.0
190604,48.4,0.8
190605,51.0,-3.4
190606,58.7,-3.2
190607,71.6,2.8
190608,69.0,1.2
190609,62.0,-0.6
190610,54.8,0.5
190611,45.0,0.3
190612,39.5,0.7
190701,35.7,-1.9
190702,46.3,6.6
190703,40.6,-1.9
190704,50.5,2.9
190705,53.0,-1.4
190706,58.0,-3.9
190707,66.2,-2.6
190708,65.4,-2.4
190709,60.2,-2.4
190710,57.3,3.0
190711,47.2,2.5
190712,40.8,2.0
190801,39.6,2.0
190802,40.0,0.3
190803,44.1,1.6
190804,51.8,4.2
190805,50.0,-4.4
190806,58.9,-3.0
190807,72.2,3.4
190808,69.3,1.5
190809,62.1,-0.5
190810,51.4,-2.9
190811,46.5,1.8
190812,36.0,-2.8
190901,40.6,3.0
190902,38.9,-0.8
190903,41.2,-1.3
190904,51.9,4.3
190905,53.8,-0.6
190906,62.5,0.6
190907,67.0,-1.8
190908,67.9,0.1
190909,62.6,0.0
190910,53.5,-0.8
190911,43.6,-1.1
190912,36.2,-2.6
191001,33.8,-3.8
191002,38.0,-1.7
191003,47.8,5.3
191004,53.0,5.4
191005,58.8,4.4
191006,61.2,-0.7
191007,70.6,1.8
191008,68.0,0.2
191009,61.6,-1.0
191010,56.2,1.9
191011,47.6,2.9
191012,42.8,4.0
191101,39.1,1.5
191102,32.8,-6.9
191103,43.4,0.9
191104,45.4,-2.2
191105,50.2,-4.2
191106,61.6,-0.3
191107,70.6,1.8
191108,65.2,-2.6
191109,57.0,-5.6
191110,52.4,-1.9
191111,45.2,0.5
191112,36.6,-2.2
191201,39.3,1.7
191202,42.4,2.7
191203,39.2,-3.3
191204,42.5,-5.1
191205,52.5,-1.9
191206,59.9,-2.0
191207,65.8,-3.0
191208,64.0,-3.8
191209,59.8,-2.8
191210,49.6,-4.7
191211,45.5,0.8
191212,38.1,-0.7
191301,33.0,-4.6
191302,37.5,-2.2
191303,39.5,-3.0
191304,46.1,-1.5
191305,54.4,0.0
191306,58.9,-3.0
191307,67.1,-1.7
191308,69.2,1.4
191309,64.9,2.3
191310,56.7,2.4
191311,44.9,0.2
191312,37.8,-1.0
191401,37.8,0.2
191402,39.5,-0.2
191403,47.8,5.3
191404,48.1,0.5
191405,56.4,2.0
191406,60.0,-1.9
191407,68.4,-0.4
191408,68.8,1.0
191409,60.8,-1.8
191410,53.8,-0.5
191411,48.8,4.1
191412,34.0,-4.8
191501,37.0,-0.6
191502,38.0,-1.7
191503,45.2,2.7
191504,48.6,1.0
191505,49.5,-4.9
191506,60.6,-1.3
191507,67.2,-1.6
191508,69.3,1.5
191509,61.1,-1.5
191510,57.6,3.3
191511,44.0,-0.7
191512,38.7,-0.1
191601,30.6,-7.0
191602,41.6,1.9
191603,45.3,2.8
191604,50.3,2.7
191605,52.1,-2.3
191606,60.4,-1.5
191607,66.7,-2.1
191608,65.8,-2.0
191609,61.9,-0.7
191610,49.8,-4.5
191611,42.5,-2.2
191612,35.8,-3.0
191701,32.2,-5.4
191702,38.0,-1.7
191703,37.2,-5.3
191704,46.0,-1.6
191705,49.7,-4.7
191706,63.1,1.2
191707,71.9,3.1
191708,69.7,1.9
191709,62.3,-0.3
191710,59.7,5.4
191711,46.6,1.9
191712,45.0,6.2
191801,41.2,3.6
191802,38.5,-1.2
191803,41.5,-1.0
191804,48.6,1.0
191805,51.8,-2.6
191806,69.1,7.2
191807,67.4,-1.4
191808,67.3,-0.5
191809,62.7,0.1
191810,56.2,1.9
191811,43.4,-1.3
191812,37.2,-1.6
191901,39.2,1.6
191902,36.1,-3.6
191903,40.3,-2.2
191904,49.0,1.4
191905,58.6,4.2
191906,61.6,-0.3
191907,69.7,0.9
191908,68.3,0.5
191909,61.1,-1.5
191910,49.6,-4.7
191911,43.9,-0.8
191912,38.1,-0.7
192001,42.4,4.8
192002,40.9,1.2
192003,39.7,-2.8
192004,45.5,-2.1
192005,54.9,0.5
192006,60.8,-1.1
192007,66.0,-2.8
192008,68.9,1.1
192009,60.5,-2.1
192010,48.4,-5.9
192011,42.7,-2.0
192012,37.5,-1.3
192101,36.8,-0.8
192102,41.1,1.4
192103,44.4,1.9
192104,46.4,-1.2
192105,51.0,-3.4
192106,62.3,0.4
192107,69.3,0.5
192108,66.6,-1.2
192109,61.0,-1.6
192110,55.7,1.4
192111,46.8,2.1
192112,40.7,1.9
192201,33.3,-4.3
192202,34.9,-4.8
192203,38.3,-4.2
192204,44.4,-3.2
192205,55.4,1.0
192206,63.1,1.2
192207,70.5,1.7
192208,65.7,-2.1
192209,65.1,2.5
192210,52.6,-1.7
192211,41.7,-3.0
192212,39.9,1.1
192301,37.6,0.0
192302,38.4,-1.3
192303,45.0,2.5
192304,46.2,-1.4
192305,54.5,0.1
192306,56.4,-5.5
192307,67.4,-1.4
192308,66.5,-1.3
192309,63.7,1.1
192310,52.9,-1.4
192311,48.7,4.0
192312,38.8,0.0
192401,36.9,-0.7
192402,45.6,5.9
192403,40.3,-2.2
192404,49.5,1.9
192405,59.5,5.1
192406,62.6,0.7
192407,67.6,-1.2
192408,66.2,-1.6
192409,63.0,0.4
192410,50.2,-4.1
192411,45.4,0.7
192412,37.7,-1.1
192501,39.4,1.8
192502,42.1,2.4
192503,44.7,2.2
192504,47.7,0.1
192505,54.9,0.5
192506,62.7,0.8
192507,70.6,1.8
192508,65.8,-2.0
192509,56.9,-5.7
192510,52.1,-2.2
192511,43.3,-1.4
192512,42.8,4.0
192601,38.7,1.1
192602,41.9,2.2
192603,49.6,7.1
192604,52.2,4.6
192605,55.6,1.2
192606,67.8,5.9
192607,70.1,1.3
192608,66.9,-0.9
192609,59.1,-3.5
192610,56.0,1.7
192611,48.9,4.2
192612,38.0,-0.8
192701,38.8,1.2
192702,39.7,0.0
192703,42.4,-0.1
192704,46.4,-1.2
192705,52.7,-1.7
192706,62.4,0.5
192707,69.4,0.6
192708,65.8,-2.0
192709,58.4,-4.2
192710,55.6,1.3
192711,46.7,2.0
192712,38.1,-0.7
192801,40.1,2.5
192802,41.3,1.6
192803,45.4,2.9
192804,46.7,-0.9
192805,59.6,5.2
192806,61.7,-0.2
192807,68.9,0.1
192808,68.0,0.2
192809,63.0,0.4
192810,53.4,-0.9
192811,44.2,-0.5
192812,37.1,-1.7
192901,36.7,-0.9
192902,36.7,-3.0
192903,42.8,0.3
192904,42.8,-4.8
192905,56.1,1.7
192906,59.7,-2.2
192907,68.6,-0.2
192908,70.0,2.2
192909,61.4,-1.2
192910,57.1,2.8
192911,49.6,4.9
192912,45.7,6.9
193001,34.1,-3.5
193002,43.3,3.6
193003,44.9,2.4
193004,48.7,1.1
193005,50.0,-4.4
193006,63.7,1.8
193007,69.6,0.8
193008,67.1,-0.7
193009,59.0,-3.6
193010,53.5,-0.8
193011,46.6,1.9
193012,39.9,1.1
193101,39.9,2.3
193102,42.1,2.4
193103,46.2,3.7
193104,52.2,4.6
193105,60.7,6.3
193106,60.8,-1.1
193107,74.1,5.3
193108,71.3,3.5
193109,60.6,-2.0
