Date,Value,Anomaly
189501,51.9,-2.1
189502,56.0,1.0
189503,55.7,-0.7
189504,58.8,-0.5
189505,65.4,3.1
189506,66.7,0.1
189507,69.1,-2.1
189508,69.9,-2.5
189509,69.2,-1.2
189510,65.9,0.4
189511,59.8,-0.2
189512,53.7,-1.4
189601,56.4,2.4
189602,57.3,2.3
189603,57.6,1.2
189604,55.4,-3.9
189605,62.9,0.6
189606,70.3,3.7
189607,71.8,0.6
189608,71.7,-0.7
189609,68.3,-2.1
189610,65.6,0.1
189611,58.2,-1.8
189612,56.3,1.2
189701,53.0,-1.0
189702,51.1,-3.9
189703,52.6,-3.8
189704,62.1,2.8
189705,64.0,1.7
189706,67.0,0.4
189707,70.8,-0.4
189708,73.2,0.8
189709,70.0,-0.4
189710,60.8,-4.7
189711,59.6,-0.4
189712,52.6,-2.5
189801,49.6,-4.4
189802,56.8,1.8
189803,52.7,-3.7
189804,63.6,4.3
189805,60.4,-1.9
189806,67.0,0.4
189807,71.2,0.0
189808,74.9,2.5
189809,71.7,1.3
189810,66.3,0.8
189811,59.3,-0.7
189812,53.9,-1.2
189901,54.2,0.2
189902,53.6,-1.4
189903,54.8,-1.6
189904,60.6,1.3
189905,59.5,-2.8
189906,66.4,-0.2
189907,70.6,-0.6
189908,67.8,-4.6
189909,73.2,2.8
189910,61.8,-3.7
189911,60.3,0.3
189912,55.9,0.8
190001,56.9,2.9
190002,57.3,2.3
190003,60.1,3.7
190004,55.4,-3.9
190005,63.6,1.3
190006,66.8,0.2
190007,70.0,-1.2
190008,66.6,-5.8
190009,63.6,-6.8
190010,63.6,-1.9
190011,63.2,3.2
190012,56.6,1.5
190101,52.8,-1.2
190102,55.5,0.5
190103,58.0,1.6
190104,56.9,-2.4
190105,60.6,-1.7
190106,66.4,-0.2
190107,71.6,0.4
190108,73.5,1.1
190109,65.6,-4.8
190110,65.6,0.1
190111,60.8,0.8
190112,57.3,2.2
190201,54.8,0.8
190202,54.5,-0.5
190203,53.6,-2.8
190204,58.2,-1.1
190205,60.5,-1.8
190206,67.2,0.6
190207,68.5,-2.7
190208,68.7,-3.7
190209,70.3,-0.1
190210,63.5,-2.0
190211,56.7,-3.3
190212,54.2,-0.9
190301,55.4,1.4
190302,50.0,-5.0
190303,54.4,-2.0
190304,58.0,-1.3
190305,60.7,-1.6
190306,65.8,-0.8
190307,68.4,-2.8
190308,71.2,-1.2
190309,68.3,-2.1
190310,66.8,1.3
190311,62.0,2.0
190312,55.2,0.1
190401,52.4,-1.6
190402,55.4,0.4
190403,56.0,-0.4
190404,58.7,-0.6
190405,62.6,0.3
190406,67.5,0.9
190407,69.6,-1.6
190408,73.4,1.0
190409,71.0,0.6
190410,65.4,-0.1
190411,62.9,2.9
190412,56.1,1.0
190501,57.9,3.9
190502,57.8,2.8
190503,58.6,2.2
190504,59.1,-0.2
190505,59.1,-3.2
190506,63.6,-3.0
190507,69.4,-1.8
190508,71.5,-0.9
190509,69.4,-1.0
190510,65.6,0.1
190511,58.3,-1.7
190512,54.3,-0.8
190601,54.2,0.2
190602,57.9,2.9
190603,55.8,-0.6
190604,57.6,-1.7
190605,59.0,-3.3
190606,66.3,-0.3
190607,73.5,2.3
190608,70.6,-1.8
190609,70.4,0.0
190610,67.3,1.8
190611,56.2,-3.8
190612,55.0,-0.1
190701,50.3,-3.7
190702,60.3,5.3
190703,54.1,-2.3
190704,60.0,0.7
190705,60.9,-1.4
190706,64.2,-2.4
190707,70.8,-0.4
190708,67.5,-4.9
190709,66.9,-3.5
190710,65.2,-0.3
190711,60.7,0.7
190712,56.3,1.2
190801,54.4,0.4
190802,52.6,-2.4
190803,57.2,0.8
190804,61.1,1.8
190805,58.7,-3.6
190806,63.9,-2.7
190807,72.2,1.0
190808,70.6,-1.8
190809,69.5,-0.9
190810,61.6,-3.9
190811,58.2,-1.8
190812,52.5,-2.6
190901,53.7,-0.3
190902,52.0,-3.0
190903,52.6,-3.8
190904,59.2,-0.1
190905,59.5,-2.8
190906,65.4,-1.2
190907,68.3,-2.9
190908,71.9,-0.5
190909,68.0,-2.4
190910,63.8,-1.7
190911,57.7,-2.3
190912,51.2,-3.9
191001,51.3,-2.7
191002,53.2,-1.8
191003,58.4,2.0
191004,61.9,2.6
191005,64.2,1.9
191006,64.4,-2.2
191007,71.1,-0.1
191008,70.9,-1.5
191009,70.8,0.4
191010,65.8,0.3
191011,59.2,-0.8
191012,56.7,1.6
191101,54.9,0.9
191102,49.6,-5.4
191103,57.2,0.8
191104,56.7,-2.6
191105,59.5,-2.8
191106,63.3,-3.3
191107,69.8,-1.4
191108,69.6,-2.8
191109,66.6,-3.8
