Date,Value,Anomaly
189501,37.8,-0.9
189502,43.6,2.5
189503,44.0,0.1
189504,49.7,0.7
189505,56.0,0.3
189506,64.5,1.2
189507,67.4,-2.7
189508,68.0,-1.1
189509,59.7,-4.4
189510,56.2,0.5
189511,45.3,-0.7
189512,38.8,-1.1
189601,43.7,5.0
189602,44.7,3.6
189603,45.2,1.3
189604,43.2,-5.8
189605,51.6,-4.1
189606,65.4,2.1
189607,72.0,1.9
189608,67.9,-1.2
189609,62.0,-2.1
189610,56.7,1.0
189611,45.3,-0.7
189612,44.1,4.2
189701,39.6,0.9
189702,38.4,-2.7
189703,38.3,-5.6
189704,52.4,3.4
189705,60.7,5.0
189706,62.3,-1.0
189707,69.0,-1.1
189708,69.1,0.0
189709,61.8,-2.3
189710,53.1,-2.6
189711,45.4,-0.6
189712,39.9,0.0
189801,34.2,-4.5
189802,44.4,3.3
189803,41.7,-2.2
189804,53.0,4.0
189805,53.2,-2.5
189806,63.4,0.1
189807,70.0,-0.1
189808,70.3,1.2
189809,62.8,-1.3
189810,54.8,-0.9
189811,45.4,-0.6
189812,39.0,-0.9
189901,42.0,3.3
189902,42.2,1.1
189903,43.2,-0.7
189904,49.7,0.7
189905,51.4,-4.3
189906,64.2,0.9
189907,68.4,-1.7
189908,63.5,-5.6
189909,65.1,1.0
189910,51.6,-4.1
189911,47.8,1.8
189912,39.4,-0.5
190001,44.2,5.5
190002,44.1,3.0
190003,48.0,4.1
190004,46.6,-2.4
190005,57.1,1.4
190006,64.9,1.6
190007,69.4,-0.7
190008,64.5,-4.6
190009,59.0,-5.1
190010,53.2,-2.5
190011,48.7,2.7
190012,42.0,2.1
190101,40.0,1.3
190102,41.1,0.0
190103,46.2,2.3
190104,48.2,-0.8
190105,55.9,0.2
190106,63.4,0.1
190107,69.9,-0.2
190108,70.0,0.9
190109,60.9,-3.2
190110,57.6,1.9
190111,48.5,2.5
190112,42.3,2.4
190201,38.3,-0.4
190202,42.7,1.6
190203,41.1,-2.8
190204,47.1,-1.9
190205,52.8,-2.9
190206,64.4,1.1
190207,68.3,-1.8
190208,67.2,-1.9
190209,65.1,1.0
190210,54.0,-1.7
190211,43.4,-2.6
190212,40.6,0.7
190301,39.8,1.1
190302,33.8,-7.3
190303,42.1,-1.8
190304,46.5,-2.5
190305,57.5,1.8
190306,64.8,1.5
190307,65.5,-4.6
190308,67.9,-1.2
190309,62.8,-1.3
190310,58.6,2.9
190311,48.3,2.3
190312,41.6,1.7
190401,39.3,0.6
190402,41.4,0.3
190403,42.5,-1.4
190404,48.6,-0.4
190405,58.9,3.2
190406,64.6,1.3
190407,67.3,-2.8
190408,69.4,0.3
190409,63.9,-0.2
190410,54.8,-0.9
190411,49.0,3.0
190412,40.2,0.3
190501,43.0,4.3
190502,42.4,1.3
190503,46.0,2.1
190504,50.8,1.8
190505,52.1,-3.6
190506,62.4,-0.9
190507,70.2,0.1
190508,69.3,0.2
190509,63.0,-1.1
190510,55.3,-0.4
190511,45.7,-0.3
190512,36.8,-3.1
190601,40.0,1.3
190602,44.5,3.4
190603,43.4,-0.5
190604,49.6,0.6
190605,52.1,-3.6
190606,60.0,-3.3
190607,72.5,2.4
190608,69.9,0.8
190609,63.5,-0.6
190610,56.2,0.5
190611,47.0,1.0
190612,40.8,0.9
190701,37.5,-1.2
190702,47.6,6.5
190703,42.5,-1.4
190704,51.9,2.9
190705,54.2,-1.5
190706,59.1,-4.2
190707,67.1,-3.0
190708,66.6,-2.5
190709,61.2,-2.9
190710,58.5,2.8
190711,48.8,2.8
190712,42.0,2.1
190801,41.0,2.3
190802,41.5,0.4
190803,45.6,1.7
190804,52.9,3.9
190805,51.6,-4.1
190806,60.4,-2.9
190807,73.6,3.5
190808,70.1,1.0
190809,63.3,-0.8
190810,53.0,-2.7
