Date,Value,Anomaly
189501,29.8,-1.6
189502,35.8,1.9
189503,38.0,0.4
189504,44.0,0.8
189505,50.6,0.3
189506,59.0,1.2
189507,64.1,-0.8
189508,64.4,0.6
189509,53.7,-4.3
189510,50.3,1.2
189511,37.2,-1.8
189512,30.7,-2.0
189601,36.5,5.1
189602,37.1,3.2
189603,38.5,0.9
189604,36.5,-6.7
189605,45.7,-4.6
189606,60.7,2.9
189607,68.3,3.4
189608,63.6,-0.2
189609,57.6,-0.4
189610,50.9,1.8
189611,39.2,0.2
189612,36.9,4.2
189701,32.7,1.3
189702,30.6,-3.3
189703,31.0,-6.6
189704,46.2,3.0
189705,56.9,6.6
189706,56.6,-1.2
189707,63.1,-1.8
189708,65.4,1.6
189709,56.3,-1.7
189710,47.3,-1.8
189711,38.7,-0.3
189712,32.3,-0.4
189801,25.6,-5.8
189802,35.8,1.9
189803,34.3,-3.3
189804,45.7,2.5
189805,48.4,-1.9
189806,57.8,0.0
189807,63.7,-1.2
189808,65.4,1.6
189809,56.5,-1.5
189810,47.6,-1.5
189811,37.5,-1.5
189812,30.6,-2.1
189901,33.2,1.8
189902,32.9,-1.0
189903,35.6,-2.0
189904,43.5,0.3
189905,45.2,-5.1
189906,57.9,0.1
189907,63.1,-1.8
189908,57.7,-6.1
189909,58.0,0.0
189910,44.0,-5.1
189911,40.4,1.4
189912,31.5,-1.2
190001,37.4,6.0
190002,36.7,2.8
190003,41.5,3.9
190004,41.6,-1.6
190005,51.8,1.5
190006,60.3,2.5
190007,63.9,-1.0
190008,59.2,-4.6
190009,51.9,-6.1
190010,46.2,-2.9
190011,40.5,1.5
190012,33.5,0.8
190101,30.3,-1.1
190102,32.0,-1.9
190103,38.2,0.6
190104,41.7,-1.5
190105,51.4,1.1
190106,57.5,-0.3
190107,65.2,0.3
190108,65.7,1.9
190109,54.6,-3.4
190110,50.9,1.8
190111,41.9,2.9
190112,34.6,1.9
190201,30.8,-0.6
190202,36.3,2.4
190203,34.0,-3.6
190204,41.7,-1.5
190205,48.4,-1.9
190206,59.3,1.5
190207,62.3,-2.6
190208,62.5,-1.3
190209,58.4,0.4
190210,47.3,-1.8
190211,36.6,-2.4
190212,33.0,0.3
190301,32.6,1.2
190302,22.3,-11.6
190303,35.3,-2.3
190304,40.8,-2.4
190305,52.0,1.7
190306,60.1,2.3
190307,60.4,-4.5
190308,62.4,-1.4
190309,55.7,-2.3
190310,50.4,1.3
190311,41.1,2.1
190312,33.2,0.5
190401,29.9,-1.5
190402,33.4,-0.5
190403,35.5,-2.1
190404,42.9,-0.3
190405,53.5,3.2
190406,58.5,0.7
190407,63.2,-1.7
190408,65.7,1.9
190409,58.3,0.3
190410,47.7,-1.4
190411,40.4,1.4
190412,32.6,-0.1
190501,35.8,4.4
190502,35.3,1.4
190503,39.8,2.2
190504,45.1,1.9
190505,46.8,-3.5
190506,56.3,-1.5
190507,65.4,0.5
190508,63.6,-0.2
190509,57.0,-1.0
190510,46.3,-2.8
190511,37.2,-1.8
190512,26.9,-5.8
190601,32.1,0.7
190602,36.5,2.6
190603,35.5,-2.1
190604,43.7,0.5
190605,47.2,-3.1
190606,54.0,-3.8
190607,67.3,2.4
190608,65.0,1.2
190609,56.5,-1.5
190610,48.4,-0.7
190611,37.0,-2.0
190612,33.1,0.4
190701,28.7,-2.7
190702,38.8,4.9
190703,33.1,-4.5
190704,45.3,2.1
190705,49.1,-1.2
190706,54.1,-3.7
190707,62.1,-2.8
190708,60.8,-3.0
190709,55.6,-2.4
190710,52.6,3.5
190711,39.5,0.5
190712,35.5,2.8
190801,33.7,2.3
190802,33.0,-0.9
190803,36.4,-1.2
190804,46.1,2.9
190805,44.2,-6.1
190806,54.2,-3.6
190807,67.3,2.4
190808,64.2,0.4
190809,56.3,-1.7
190810,45.5,-3.6
190811,39.2,0.2
190812,29.8,-2.9
190901,35.1,3.7
190902,33.6,-0.3
190903,36.1,-1.5
190904,45.0,1.8
190905,48.9,-1.4
190906,57.8,0.0
190907,61.8,-3.1
190908,63.1,-0.7
190909,57.6,-0.4
190910,47.3,-1.8
190911,38.3,-0.7
190912,29.7,-3.0
191001,25.8,-5.6
191002,30.4,-3.5
191003,42.0,4.4
191004,47.9,4.7
191005,54.6,4.3
191006,57.1,-0.7
191007,66.5,1.6
191008,63.4,-0.4
191009,57.0,-1.0
191010,50.5,1.4
191011,41.6,2.6
191012,37.4,4.7
191101,32.3,0.9
191102,25.3,-8.6
191103,37.0,-0.6
191104,41.8,-1.4
191105,46.5,-3.8
191106,57.7,-0.1
191107,66.3,1.4
191108,60.9,-2.9
191109,52.5,-5.5
191110,46.5,-2.6
191111,38.1,-0.9
191112,30.1,-2.6
191201,33.2,1.8
191202,36.2,2.3
191203,35.4,-2.2
191204,39.0,-4.2
191205,49.0,-1.3
191206,55.9,-1.9
191207,61.4,-3.5
191208,60.7,-3.1
191209,54.5,-3.5
191210,44.5,-4.6
191211,39.6,0.6
191212,32.8,0.1
191301,27.6,-3.8
191302,31.3,-2.6
191303,34.4,-3.2
191304,43.2,0.0
191305,51.3,1.0
191306,56.2,-1.6
191307,64.4,-0.5
191308,66.2,2.4
191309,59.9,1.9
191310,50.2,1.1
191311,39.9,0.9
191312,33.4,0.7
191401,33.7,2.3
191402,34.4,0.5
191403,43.2,5.6
191404,44.2,1.0
191405,53.0,2.7
191406,57.0,-0.8
191407,64.5,-0.4
191408,65.6,1.8
191409,56.5,-1.5
191410,49.0,-0.1
191411,42.0,3.0
191412,26.1,-6.6
191501,30.1,-1.3
191502,34.1,0.2
191503,40.5,2.9
191504,45.2,2.0
191505,46.4,-3.9
191506,56.1,-1.7
191507,63.5,-1.4
191508,65.6,1.8
191509,56.4,-1.6
191510,51.6,2.5
191511,38.8,-0.2
191512,34.4,1.7
191601,26.3,-5.1
191602,36.6,2.7
191603,40.8,3.2
191604,46.8,3.6
191605,48.1,-2.2
191606,56.3,-1.5
191607,63.6,-1.3
191608,62.2,-1.6
191609,57.5,-0.5
191610,44.7,-4.4
191611,36.7,-2.3
191612,30.6,-2.1
191701,23.2,-8.2
191702,31.5,-2.4
191703,32.0,-5.6
