Date,Value,Anomaly
189501,48.7,-1.7
189502,55.4,1.7
189503,57.9,0.4
189504,63.8,0.1
189505,72.7,2.1
189506,78.7,-0.1
189507,82.3,-2.9
189508,82.2,-2.2
189509,77.0,-1.8
189510,69.2,0.5
189511,57.2,-1.0
189512,49.5,-1.8
189601,54.0,3.6
189602,55.1,1.4
189603,59.6,2.1
189604,60.6,-3.1
189605,73.0,2.4
189606,84.0,5.2
189607,86.4,1.2
189608,84.0,-0.4
189609,76.8,-2.0
189610,69.3,0.6
189611,56.4,-1.8
189612,52.4,1.1
189701,49.8,-0.6
189702,50.4,-3.3
189703,53.4,-4.1
189704,66.3,2.6
189705,73.0,2.4
189706,78.7,-0.1
189707,85.0,-0.2
189708,85.5,1.1
189709,77.6,-1.2
189710,63.7,-5.0
189711,57.2,-1.0
189712,48.0,-3.3
189801,45.3,-5.1
189802,55.8,2.1
189803,54.4,-3.1
189804,68.3,4.6
189805,69.4,-1.2
189806,79.7,0.9
189807,85.6,0.4
189808,86.3,1.9
189809,79.8,1.0
189810,68.6,-0.1
189811,56.8,-1.4
189812,49.2,-2.1
189901,50.6,0.2
189902,52.7,-1.0
189903,56.8,-0.7
189904,65.7,2.0
189905,67.4,-3.2
189906,79.1,0.3
189907,84.3,-0.9
189908,79.4,-5.0
189909,82.2,3.4
189910,64.7,-4.0
189911,58.3,0.1
189912,52.1,0.8
190001,53.2,2.8
190002,56.0,2.3
190003,62.2,4.7
190004,59.4,-4.3
190005,72.6,2.0
190006,80.0,1.2
190007,84.9,-0.3
190008,79.7,-4.7
190009,71.9,-6.9
190010,67.2,-1.5
190011,61.3,3.1
190012,52.6,1.3
190101,49.4,-1.0
190102,55.0,1.3
190103,59.2,1.7
190104,61.9,-1.8
190105,70.0,-0.6
190106,78.2,-0.6
190107,86.6,1.4
190108,86.0,1.6
190109,74.8,-4.0
190110,69.4,0.7
190111,60.0,1.8
190112,53.2,1.9
190201,51.1,0.7
190202,53.6,-0.1
190203,55.0,-2.5
190204,63.6,-0.1
190205,70.1,-0.5
190206,79.7,0.9
190207,82.2,-3.0
