Date,Value,Anomaly
189501,46.2,0.4
189502,53.1,2.3
189503,53.8,-0.5
189504,59.0,-0.1
189505,64.9,-0.3
189506,73.4,1.8
189507,73.4,-2.6
189508,73.7,-1.2
189509,68.0,-3.5
189510,64.8,0.9
189511,53.8,0.1
189512,45.3,-1.2
189601,50.1,4.3
189602,54.1,3.3
189603,55.8,1.5
189604,54.3,-4.8
189605,61.9,-3.3
189606,72.7,1.1
189607,78.1,2.1
189608,73.8,-1.1
189609,69.4,-2.1
189610,65.2,1.3
189611,53.0,-0.7
189612,50.2,3.7
189701,45.1,-0.7
189702,48.7,-2.1
189703,49.2,-5.1
189704,62.0,2.9
189705,68.2,3.0
189706,71.4,-0.2
189707,76.3,0.3
189708,74.5,-0.4
189709,70.0,-1.5
189710,61.7,-2.2
189711,51.9,-1.8
189712,46.3,-0.2
189801,42.3,-3.5
189802,52.9,2.1
189803,52.5,-1.8
189804,62.2,3.1
189805,62.1,-3.1
189806,72.0,0.4
189807,76.5,0.5
189808,75.7,0.8
189809,70.5,-1.0
189810,64.2,0.3
189811,54.1,0.4
189812,45.2,-1.3
189901,49.6,3.8
189902,51.7,0.9
189903,53.4,-0.9
189904,59.8,0.7
189905,61.1,-4.1
189906,73.0,1.4
189907,74.7,-1.3
189908,70.4,-4.5
189909,73.1,1.6
189910,61.2,-2.7
189911,55.7,2.0
189912,45.6,-0.9
190001,48.6,2.8
190002,52.2,1.4
190003,57.6,3.3
190004,57.2,-1.9
190005,66.2,1.0
190006,72.0,0.4
190007,76.0,0.0
190008,72.1,-2.8
190009,68.7,-2.8
190010,62.0,-1.9
190011,56.6,2.9
190012,47.4,0.9
190101,46.1,0.3
190102,51.4,0.6
190103,56.4,2.1
190104,57.3,-1.8
190105,63.7,-1.5
190106,71.5,-0.1
190107,74.8,-1.2
190108,74.7,-0.2
190109,68.7,-2.8
190110,66.8,2.9
190111,56.8,3.1
190112,47.5,1.0
190201,43.3,-2.5
190202,52.2,1.4
190203,51.7,-2.6
190204,56.9,-2.2
190205,61.5,-3.7
190206,72.2,0.6
190207,75.0,-1.0
190208,73.2,-1.7
190209,72.1,0.6
190210,62.8,-1.1
190211,52.3,-1.4
190212,47.6,1.1
190301,44.5,-1.3
190302,45.9,-4.9
190303,52.8,-1.5
190304,56.7,-2.4
190305,66.4,1.2
190306,72.7,1.1
190307,71.7,-4.3
190308,73.3,-1.6
190309,71.3,-0.2
190310,66.4,2.5
190311,55.8,2.1
190312,47.7,1.2
190401,45.6,-0.2
190402,50.1,-0.7
190403,52.8,-1.5
190404,58.5,-0.6
190405,68.4,3.2
190406,73.1,1.5
190407,73.4,-2.6
190408,73.8,-1.1
190409,72.8,1.3
190410,63.3,-0.6
190411,55.2,1.5
190412,46.3,-0.2
190501,48.5,2.7
190502,52.5,1.7
190503,56.6,2.3
190504,60.0,0.9
190505,61.6,-3.6
190506,69.2,-2.4
190507,75.1,-0.9
190508,74.1,-0.8
190509,69.9,-1.6
190510,62.9,-1.0
190511,53.4,-0.3
190512,44.9,-1.6
190601,48.3,2.5
190602,54.6,3.8
190603,53.7,-0.6
190604,59.2,0.1
190605,62.1,-3.1
190606,68.2,-3.4
190607,78.6,2.6
190608,75.1,0.2
190609,71.1,-0.4
190610,65.4,1.5
190611,54.6,0.9
190612,48.4,1.9
190701,46.4,0.6
190702,55.4,4.6
190703,51.9,-2.4
190704,61.0,1.9
190705,64.4,-0.8
190706,68.2,-3.4
190707,73.1,-2.9
190708,72.7,-2.2
190709,67.5,-4.0
190710,65.3,1.4
190711,56.2,2.5
190712,49.1,2.6
190801,48.6,2.8
190802,50.1,-0.7
190803,55.2,0.9
190804,61.4,2.3
190805,61.9,-3.3
190806,68.7,-2.9
190807,78.5,2.5
190808,73.8,-1.1
190809,71.6,0.1
190810,61.5,-2.4
190811,54.9,1.2
190812,44.3,-2.2
190901,51.3,5.5
190902,50.5,-0.3
190903,52.0,-2.3
190904,61.0,1.9
190905,64.5,-0.7
190906,70.9,-0.7
190907,74.2,-1.8
190908,74.0,-0.9
190909,71.4,-0.1
190910,62.6,-1.3
190911,54.4,0.7
190912,45.6,-0.9
191001,44.0,-1.8
191002,48.7,-2.1
191003,57.7,3.4
191004,61.9,2.8
191005,67.9,2.7
191006,68.8,-2.8
191007,75.6,-0.4
191008,74.4,-0.5
191009,68.9,-2.6
191010,65.0,1.1
191011,55.0,1.3
191012,49.6,3.1
191101,47.7,1.9
191102,47.4,-3.4
191103,55.9,1.6
191104,57.1,-2.0
191105,61.9,-3.3
191106,69.8,-1.8
191107,76.5,0.5
191108,70.8,-4.1
191109,67.1,-4.4
191110,62.3,-1.6
191111,54.6,0.9
191112,46.4,-0.1
191201,48.2,2.4
191202,53.1,2.3
191203,52.2,-2.1
191204,54.9,-4.2
191205,64.6,-0.6
191206,70.9,-0.7
191207,74.1,-1.9
191208,73.2,-1.7
191209,70.5,-1.0
191210,61.0,-2.9
191211,53.4,-0.3
191212,47.3,0.8
191301,44.3,-1.5
191302,50.9,0.1
191303,53.5,-0.8
191304,59.1,0.0
191305,66.5,1.3
191306,68.9,-2.7
191307,76.6,0.6
191308,78.1,3.2
191309,74.3,2.8
191310,66.7,2.8
191311,54.7,1.0
191312,46.8,0.3
191401,49.1,3.3
191402,51.7,0.9
191403,59.0,4.7
191404,59.8,0.7
191405,65.1,-0.1
191406,69.0,-2.6
191407,73.8,-2.2
191408,74.0,-0.9
191409,69.0,-2.5
191410,63.7,-0.2
191411,56.4,2.7
191412,45.3,-1.2
191501,46.9,1.1
191502,51.4,0.6
191503,57.8,3.5
191504,59.2,0.1
191505,60.7,-4.5
191506,71.2,-0.4
191507,75.1,-0.9
191508,76.7,1.8
191509,70.5,-1.0
191510,66.0,2.1
191511,54.0,0.3
191512,48.1,1.6
191601,43.6,-2.2
191602,54.6,3.8
191603,57.2,2.9
191604,62.0,2.9
191605,63.1,-2.1
191606,70.2,-1.4
191607,75.6,-0.4
191608,74.0,-0.9
191609,71.3,-0.2
191610,59.3,-4.6
191611,51.4,-2.3
191612,45.0,-1.5
191701,43.2,-2.6
191702,51.1,0.3
191703,51.6,-2.7
191704,58.5,-0.6
191705,60.4,-4.8
191706,73.3,1.7
191707,79.5,3.5
191708,74.5,-0.4
191709,72.0,0.5
191710,68.2,4.3
191711,55.4,1.7
191712,50.5,4.0
191801,48.2,2.4
191802,50.3,-0.5
191803,54.4,0.1
191804,60.2,1.1
191805,63.1,-2.1
191806,77.8,6.2
191807,74.7,-1.3
191808,75.6,0.7
191809,69.5,-2.0
191810,65.1,1.2
191811,52.0,-1.7
191812,44.8,-1.7
191901,46.8,1.0
