Date,Value,Anomaly
189501,44.2,-0.7
189502,47.2,0.3
189503,48.3,-1.1
189504,51.9,-1.5
189505,59.3,-0.3
189506,66.2,-0.1
189507,69.8,-2.2
189508,69.3,-2.1
189509,64.6,-3.1
189510,60.2,-0.2
189511,48.6,-2.7
189512,43.0,-2.7
189601,47.3,2.4
189602,47.8,0.9
189603,49.7,0.3
189604,47.5,-5.9
189605,56.3,-3.3
189606,65.7,-0.6
189607,69.8,-2.2
189608,68.5,-2.9
189609,62.6,-5.1
189610,58.6,-1.8
189611,48.2,-3.1
189612,47.8,2.1
189701,43.4,-1.5
189702,44.4,-2.5
189703,43.6,-5.8
189704,54.3,0.9
189705,61.0,1.4
189706,66.6,0.3
189707,71.3,-0.7
189708,71.1,-0.3
189709,66.3,-1.4
189710,56.8,-3.6
189711,48.7,-2.6
189712,43.9,-1.8
189801,40.4,-4.5
189802,47.9,1.0
189803,46.7,-2.7
189804,54.7,1.3
189805,56.6,-3.0
189806,67.1,0.8
189807,69.2,-2.8
189808,70.4,-1.0
189809,65.5,-2.2
189810,61.1,0.7
189811,50.1,-1.2
189812,43.8,-1.9
189901,47.6,2.7
189902,45.8,-1.1
189903,48.1,-1.3
189904,52.6,-0.8
189905,55.4,-4.2
189906,66.6,0.3
189907,70.8,-1.2
189908,68.0,-3.4
189909,68.7,1.0
189910,57.6,-2.8
189911,52.3,1.0
189912,44.9,-0.8
190001,47.2,2.3
190002,46.7,-0.2
190003,52.8,3.4
190004,50.4,-3.0
190005,60.9,1.3
190006,67.4,1.1
190007,71.0,-1.0
190008,69.4,-2.0
190009,65.6,-2.1
190010,59.0,-1.4
190011,54.2,2.9
190012,45.9,0.2
190101,45.3,0.4
190102,46.9,0.0
190103,49.4,0.0
190104,49.2,-4.2
190105,58.0,-1.6
190106,65.0,-1.3
190107,70.3,-1.7
190108,71.6,0.2
190109,64.2,-3.5
190110,62.1,1.7
190111,53.4,2.1
190112,44.9,-0.8
190201,41.9,-3.0
190202,47.1,0.2
190203,45.6,-3.8
190204,51.2,-2.2
190205,56.8,-2.8
190206,66.5,0.2
190207,71.2,-0.8
190208,70.6,-0.8
190209,68.1,0.4
190210,59.2,-1.2
190211,48.6,-2.7
190212,44.2,-1.5
190301,43.5,-1.4
190302,40.4,-6.5
190303,47.8,-1.6
190304,50.0,-3.4
190305,58.9,-0.7
190306,68.3,2.0
190307,69.2,-2.8
190308,71.4,0.0
190309,66.7,-1.0
190310,61.7,1.3
190311,51.6,0.3
190312,44.6,-1.1
190401,42.7,-2.2
190402,46.0,-0.9
190403,48.4,-1.0
190404,51.7,-1.7
190405,60.9,1.3
190406,66.6,0.3
190407,70.2,-1.8
190408,71.6,0.2
190409,69.2,1.5
190410,59.8,-0.6
190411,52.5,1.2
190412,45.0,-0.7
190501,47.0,2.1
190502,47.9,1.0
190503,50.8,1.4
190504,53.5,0.1
190505,56.2,-3.4
190506,64.2,-2.1
190507,72.6,0.6
190508,70.0,-1.4
190509,66.6,-1.1
190510,59.4,-1.0
190511,50.1,-1.2
190512,44.0,-1.7
190601,46.8,1.9
190602,49.9,3.0
190603,48.8,-0.6
190604,51.4,-2.0
190605,56.5,-3.1
190606,63.9,-2.4
190607,75.0,3.0
190608,71.9,0.5
190609,67.5,-0.2
190610,61.3,0.9
190611,49.2,-2.1
190612,44.8,-0.9
190701,43.0,-1.9
190702,49.6,2.7
