Date,Value,Anomaly
189501,44.1,-2.5
189502,51.9,1.3
189503,55.2,-0.2
189504,62.2,-0.2
189505,71.6,1.3
189506,78.9,-0.4
189507,82.7,-3.3
189508,81.8,-2.5
189509,75.6,-1.9
189510,66.6,0.2
189511,53.5,-1.3
189512,44.9,-2.2
189601,49.8,3.2
189602,52.0,1.4
189603,57.4,2.0
189604,59.1,-3.3
189605,72.9,2.6
189606,84.7,5.4
189607,87.0,1.0
189608,83.6,-0.7
189609,75.8,-1.7
189610,67.2,0.8
189611,53.1,-1.7
189612,48.6,1.5
189701,46.2,-0.4
189702,47.2,-3.4
189703,50.9,-4.5
189704,64.6,2.2
189705,72.5,2.2
189706,79.0,-0.3
189707,85.3,-0.7
189708,85.3,1.0
189709,76.9,-0.6
189710,61.6,-4.8
189711,54.0,-0.8
189712,44.2,-2.9
189801,41.7,-4.9
189802,53.0,2.4
189803,52.4,-3.0
189804,67.0,4.6
189805,69.0,-1.3
189806,80.3,1.0
189807,86.2,0.2
189808,86.6,2.3
189809,78.8,1.3
189810,66.4,0.0
189811,53.7,-1.1
189812,45.0,-2.1
189901,47.2,0.6
189902,50.0,-0.6
189903,54.8,-0.6
189904,64.2,1.8
189905,66.9,-3.4
189906,79.5,0.2
189907,85.1,-0.9
189908,79.2,-5.1
189909,80.8,3.3
189910,62.7,-3.7
189911,55.1,0.3
189912,47.6,0.5
190001,49.7,3.1
190002,53.0,2.4
190003,60.2,4.8
190004,58.0,-4.4
190005,72.4,2.1
190006,80.6,1.3
190007,85.2,-0.8
190008,78.9,-5.4
190009,70.8,-6.7
190010,64.6,-1.8
190011,57.9,3.1
190012,48.4,1.3
190101,45.6,-1.0
190102,52.1,1.5
190103,57.0,1.6
190104,60.2,-2.2
190105,69.5,-0.8
190106,78.5,-0.8
190107,87.3,1.3
190108,85.8,1.5
190109,73.6,-3.9
190110,67.4,1.0
190111,57.1,2.3
190112,49.9,2.8
190201,47.6,1.0
190202,50.4,-0.2
190203,52.6,-2.8
190204,62.2,-0.2
190205,69.1,-1.2
190206,80.6,1.3
190207,83.2,-2.8
190208,81.8,-2.5
190209,77.7,0.2
190210,65.0,-1.4
190211,53.2,-1.6
190212,45.4,-1.7
190301,47.0,0.4
190302,43.6,-7.0
190303,52.5,-2.9
190304,59.3,-3.1
190305,68.9,-1.4
190306,79.2,-0.1
190307,82.7,-3.3
190308,84.6,0.3
190309,74.8,-2.7
190310,66.8,0.4
190311,56.8,2.0
190312,47.4,0.3
190401,46.4,-0.2
190402,52.3,1.7
190403,56.0,0.6
190404,63.3,0.9
190405,72.1,1.8
190406,80.2,0.9
190407,83.3,-2.7
190408,84.0,-0.3
190409,75.3,-2.2
190410,64.3,-2.1
190411,56.2,1.4
190412,46.9,-0.2
190501,49.5,2.9
190502,51.5,0.9
190503,56.8,1.4
190504,61.5,-0.9
190505,66.0,-4.3
190506,76.2,-3.1
190507,84.8,-1.2
190508,84.4,0.1
190509,77.3,-0.2
190510,65.4,-1.0
190511,53.3,-1.5
190512,45.0,-2.1
190601,47.3,0.7
190602,54.9,4.3
190603,56.2,0.8
190604,59.1,-3.3
190605,66.3,-4.0
190606,78.4,-0.9
190607,88.2,2.2
190608,82.5,-1.8
190609,76.6,-0.9
190610,67.7,1.3
190611,52.8,-2.0
190612,47.0,-0.1
190701,44.3,-2.3
190702,54.8,4.2
190703,53.0,-2.4
190704,63.1,0.7
190705,67.4,-2.9
190706,76.0,-3.3
190707,84.8,-1.2
190708,81.4,-2.9
190709,74.5,-3.0
190710,65.1,-1.3
190711,54.4,-0.4
190712,48.4,1.3
190801,46.8,0.2
190802,47.5,-3.1
190803,55.2,-0.2
190804,63.1,0.7
190805,65.7,-4.6
190806,75.4,-3.9
190807,86.2,0.2
190808,82.9,-1.4
190809,74.2,-3.3
190810,60.8,-5.6
190811,54.3,-0.5
190812,44.4,-2.7
190901,48.0,1.4
190902,48.2,-2.4
190903,51.8,-3.6
190904,62.0,-0.4
190905,67.4,-2.9
190906,79.5,0.2
190907,83.8,-2.2
190908,83.8,-0.5
190909,74.9,-2.6
190910,64.2,-2.2
190911,52.9,-1.9
190912,41.8,-5.3
191001,43.7,-2.9
191002,48.6,-2.0
191003,58.8,3.4
191004,65.5,3.1
191005,73.7,3.4
191006,78.6,-0.7
191007,86.2,0.2
191008,84.5,0.2
191009,78.5,1.0
191010,66.9,0.5
191011,55.4,0.6
191012,48.8,1.7
191101,48.0,1.4
191102,46.1,-4.5
191103,56.5,1.1
191104,59.7,-2.7
191105,67.5,-2.8
191106,77.5,-1.8
191107,85.3,-0.7
191108,82.6,-1.7
191109,74.4,-3.1
191110,63.6,-2.8
191111,52.6,-2.2
191112,42.4,-4.7
191201,48.0,1.4
191202,51.2,0.6
191203,51.1,-4.3
191204,57.8,-4.6
191205,69.0,-1.3
191206,79.2,-0.1
191207,82.1,-3.9
191208,80.5,-3.8
191209,73.4,-4.1
191210,61.5,-4.9
191211,54.7,-0.1
191212,44.2,-2.9
191301,43.0,-3.6
191302,48.1,-2.5
191303,52.7,-2.7
191304,60.7,-1.7
191305,67.0,-3.3
191306,74.9,-4.4
191307,83.2,-2.8
191308,84.1,-0.2
191309,78.5,1.0
191310,65.2,-1.2
191311,56.0,1.2
191312,46.0,-1.1
191401,47.9,1.3
191402,50.3,-0.3
191403,58.2,2.8
191404,62.4,0.0
191405,69.7,-0.6
191406,77.7,-1.6
191407,84.3,-1.7
191408,83.8,-0.5
191409,76.3,-1.2
191410,66.4,0.0
191411,58.0,3.2
191412,42.0,-5.1
191501,43.8,-2.8
191502,47.7,-2.9
191503,55.9,0.5
191504,61.8,-0.6
191505,66.3,-4.0
191506,78.3,-1.0
191507,83.6,-2.4
191508,84.4,0.1
191509,75.2,-2.3
191510,67.3,0.9
191511,53.4,-1.4
191512,46.4,-0.7
191601,42.6,-4.0
191602,52.0,1.4
191603,59.2,3.8
191604,63.8,1.4
191605,67.2,-3.1
191606,78.2,-1.1
191607,83.7,-2.3
191608,80.7,-3.6
191609,74.0,-3.5
191610,59.4,-7.0
191611,51.4,-3.4
191612,42.1,-5.0
191701,41.0,-5.6
191702,47.8,-2.8
191703,49.8,-5.6
191704,59.1,-3.3
191705,64.2,-6.1
191706,80.9,1.6
191707,87.5,1.5
191708,83.9,-0.4
191709,77.1,-0.4
191710,68.6,2.2
191711,55.4,0.6
191712,50.6,3.5
191801,45.6,-1.0
191802,48.2,-2.4
191803,54.6,-0.8
191804,60.5,-1.9
191805,65.7,-4.6
191806,84.3,5.0
191807,83.7,-2.3
191808,81.4,-2.9
191809,76.8,-0.7
191810,66.9,0.5
191811,51.3,-3.5
191812,43.6,-3.5
191901,45.3,-1.3
191902,46.2,-4.4
191903,50.7,-4.7
191904,63.0,0.6
191905,72.2,1.9
191906,80.1,0.8
191907,85.9,-0.1
191908,84.5,0.2
191909,75.8,-1.7
191910,60.1,-6.3
191911,51.2,-3.6
191912,45.8,-1.3
192001,47.6,1.0
192002,50.3,-0.3
192003,52.1,-3.3
192004,59.7,-2.7
192005,70.2,-0.1
192006,77.8,-1.5
192007,86.1,0.1
192008,83.2,-1.1
192009,74.3,-3.2
192010,60.9,-5.5
192011,52.2,-2.6
192012,44.3,-2.8
192101,44.4,-2.2
192102,51.0,0.4
192103,57.1,1.7
192104,59.9,-2.5
192105,65.6,-4.7
192106,79.9,0.6
192107,86.9,0.9
192108,83.4,-0.9
192109,76.2,-1.3
192110,68.0,1.6
192111,55.9,1.1
192112,49.5,2.4
192201,41.8,-4.8
192202,46.6,-4.0
192203,51.4,-4.0
192204,57.6,-4.8
192205,70.6,0.3
192206,81.1,1.8
192207,86.2,0.2
192208,84.4,0.1
192209,81.0,3.5
192210,65.4,-1.0
192211,50.7,-4.1
192212,48.9,1.8
192301,48.1,1.5
192302,48.7,-1.9
192303,54.2,-1.2
192304,60.0,-2.4
192305,72.3,2.0
192306,74.4,-4.9
192307,84.8,-1.2
192308,82.5,-1.8
192309,75.8,-1.7
192310,62.9,-3.5
192311,55.2,0.4
192312,45.8,-1.3
192401,45.0,-1.6
192402,54.3,3.7
192403,52.4,-3.0
192404,60.9,-1.5
192405,73.5,3.2
192406,82.2,2.9
192407,84.3,-1.7
192408,83.5,-0.8
192409,77.7,0.2
192410,62.5,-3.9
192411,55.6,0.8
192412,43.8,-3.3
192501,44.9,-1.7
192502,53.3,2.7
192503,56.4,1.0
192504,62.0,-0.4
192505,71.6,1.3
192506,78.6,-0.7
192507,87.5,1.5
192508,82.2,-2.1
192509,73.0,-4.5
192510,62.0,-4.4
192511,52.2,-2.6
192512,49.2,2.1
192601,45.4,-1.2
192602,52.4,1.8
192603,58.4,3.0
192604,63.6,1.2
192605,71.0,0.7
192606,82.0,2.7
192607,85.4,-0.6
192608,83.8,-0.5
192609,74.9,-2.6
192610,67.9,1.5
192611,57.4,2.6
192612,44.5,-2.6
192701,48.1,1.5
192702,51.4,0.8
192703,54.4,-1.0
192704,61.7,-0.7
192705,70.0,-0.3
192706,78.8,-0.5
192707,86.2,0.2
192708,83.1,-1.2
192709,75.1,-2.4
192710,67.0,0.6
192711,57.6,2.8
192712,44.8,-2.3
192801,47.9,1.3
192802,50.9,0.3
192803,58.3,2.9
192804,62.5,0.1
192805,72.5,2.2
192806,78.9,-0.4
192807,85.4,-0.6
192808,83.2,-1.1
192809,78.0,0.5
192810,64.7,-1.7
192811,54.2,-0.6
192812,45.3,-1.8
192901,44.4,-2.2
192902,46.4,-4.2
192903,55.3,-0.1
192904,59.3,-3.1
192905,71.8,1.5
192906,78.4,-0.9
192907,85.5,-0.5
192908,86.2,1.9
192909,75.7,-1.8
192910,68.2,1.8
192911,55.9,1.1
192912,51.5,4.4
193001,44.0,-2.6
193002,54.7,4.1
193003,56.5,1.1
193004,65.2,2.8
193005,65.7,-4.6
193006,79.4,0.1
193007,86.0,0.0
193008,83.9,-0.4
193009,73.8,-3.7
193010,63.9,-2.5
193011,54.7,-0.1
193012,43.8,-3.3
193101,47.4,0.8
193102,51.3,0.7
193103,57.7,2.3
193104,65.1,2.7
193105,73.6,3.3
193106,78.8,-0.5
193107,90.4,4.4
193108,84.9,0.6
193109,75.7,-1.8
193110,65.8,-0.6
193111,50.5,-4.3
193112,42.8,-4.3
193201,42.2,-4.4
193202,48.5,-2.1
193203,57.0,1.6
193204,62.1,-0.3
193205,69.4,-0.9
193206,78.0,-1.3
193207,84.9,-1.1
193208,84.2,-0.1
193209,79.5,2.0
193210,65.5,-0.9
193211,58.3,3.5
193212,42.6,-4.5
193301,42.8,-3.8
193302,45.0,-5.6
193303,56.3,0.9
193304,59.1,-3.3
193305,64.6,-5.7
193306,78.2,-1.1
193307,88.3,2.3
193308,84.9,0.6
193309,77.7,0.2
193310,71.4,5.0
193311,57.6,2.8
193312,48.7,1.6
193401,49.4,2.8
193402,54.2,3.6
193403,65.0,9.6
193404,68.6,6.2
193405,75.2,4.9
193406,75.2,-4.1
193407,87.1,1.1
193408,85.2,0.9
193409,77.6,0.1
193410,67.9,1.5
193411,56.3,1.5
193412,48.8,1.7
193501,46.2,-0.4
193502,52.0,1.4
193503,51.5,-3.9
193504,62.2,-0.2
193505,67.8,-2.5
193506,82.3,3.0
193507,84.5,-1.5
193508,84.8,0.5
193509,78.9,1.4
193510,64.8,-1.6
193511,51.5,-3.3
193512,47.5,0.4
193601,48.0,1.4
193602,48.9,-1.7
193603,58.7,3.3
193604,65.8,3.4
193605,73.6,3.3
193606,81.8,2.5
193607,87.4,1.4
193608,85.9,1.6
193609,77.3,-0.2
193610,66.4,0.0
193611,55.9,1.1
193612,45.9,-1.2
193701,34.6,-12.0
193702,47.7,-2.9
193703,54.0,-1.4
193704,62.0,-0.4
193705,72.7,2.4
193706,80.0,0.7
193707,87.1,1.1
193708,87.2,2.9
193709,81.2,3.7
