Date,Value,Anomaly
189501,48.3,-1.2
189502,53.3,2.0
189503,54.5,1.1
189504,58.1,0.6
189505,67.3,4.8
189506,71.4,2.8
189507,74.6,-0.2
189508,74.7,-0.4
189509,71.3,0.0
189510,64.7,0.9
189511,56.9,0.7
189512,49.9,-0.8
189601,52.8,3.3
189602,54.0,2.7
189603,56.4,3.0
189604,55.6,-1.9
189605,63.6,1.1
189606,73.1,4.5
189607,77.0,2.2
189608,75.6,0.5
189609,70.1,-1.2
189610,64.4,0.6
189611,55.0,-1.2
189612,51.7,1.0
189701,48.5,-1.0
189702,48.4,-2.9
189703,50.0,-3.4
189704,60.1,2.6
189705,65.5,3.0
189706,70.5,1.9
189707,75.8,1.0
189708,77.2,2.1
189709,71.2,-0.1
189710,59.4,-4.4
189711,55.0,-1.2
189712,46.6,-4.1
189801,44.0,-5.5
189802,52.5,1.2
189803,50.3,-3.1
189804,61.5,4.0
189805,61.8,-0.7
189806,70.7,2.1
189807,76.2,1.4
189808,77.7,2.6
189809,72.3,1.0
189810,63.2,-0.6
189811,54.3,-1.9
189812,49.1,-1.6
189901,49.0,-0.5
189902,49.6,-1.7
189903,52.2,-1.2
189904,59.4,1.9
189905,59.5,-3.0
189906,69.1,0.5
189907,74.0,-0.8
189908,70.2,-4.9
189909,74.5,3.2
189910,59.8,-4.0
189911,56.3,0.1
189912,51.8,1.1
190001,52.0,2.5
190002,53.2,1.9
190003,57.0,3.6
190004,52.6,-4.9
190005,63.7,1.2
190006,69.7,1.1
190007,74.5,-0.3
190008,72.2,-2.9
190009,64.4,-6.9
190010,62.4,-1.4
190011,58.6,2.4
190012,51.8,1.1
190101,48.4,-1.1
190102,52.0,0.7
190103,55.5,2.1
190104,56.2,-1.3
190105,62.8,0.3
190106,69.8,1.2
190107,76.0,1.2
190108,77.1,2.0
190109,67.6,-3.7
190110,64.3,0.5
190111,57.3,1.1
190112,52.2,1.5
190201,49.7,0.2
190202,50.9,-0.4
190203,50.5,-2.9
190204,56.8,-0.7
190205,61.5,-1.0
190206,69.9,1.3
190207,71.4,-3.4
190208,71.9,-3.2
190209,70.4,-0.9
190210,61.6,-2.2
190211,52.9,-3.3
190212,49.0,-1.7
190301,49.9,0.4
190302,45.4,-5.9
190303,52.6,-0.8
190304,55.9,-1.6
190305,62.7,0.2
190306,68.3,-0.3
190307,72.3,-2.5
190308,73.8,-1.3
190309,68.4,-2.9
190310,62.7,-1.1
190311,56.9,0.7
190312,48.6,-2.1
190401,47.4,-2.1
190402,51.6,0.3
190403,53.8,0.4
190404,55.8,-1.7
190405,62.9,0.4
190406,69.3,0.7
190407,72.1,-2.7
190408,74.9,-0.2
190409,69.2,-2.1
190410,60.8,-3.0
190411,56.8,0.6
190412,49.5,-1.2
190501,51.1,1.6
190502,52.1,0.8
190503,55.0,1.6
190504,57.6,0.1
190505,59.5,-3.0
190506,66.8,-1.8
190507,74.0,-0.8
190508,74.6,-0.5
190509,70.1,-1.2
190510,64.1,0.3
190511,53.3,-2.9
190512,48.3,-2.4
190601,49.0,-0.5
190602,53.7,2.4
190603,51.8,-1.6
190604,55.5,-2.0
190605,59.5,-3.0
190606,68.3,-0.3
190607,76.7,1.9
190608,73.1,-2.0
190609,69.8,-1.5
190610,65.6,1.8
190611,52.9,-3.3
190612,50.5,-0.2
190701,46.3,-3.2
190702,56.0,4.7
190703,51.2,-2.2
190704,57.7,0.2
190705,60.0,-2.5
190706,64.9,-3.7
190707,73.0,-1.8
190708,71.1,-4.0
