Date,Value,Anomaly
189501,46.6,-1.6
189502,51.4,0.3
189503,50.7,-1.9
189504,53.6,-0.8
189505,56.8,0.1
189506,60.1,0.7
189507,59.8,-0.9
189508,60.3,-1.0
189509,59.0,-2.9
189510,58.0,-1.5
189511,52.8,-1.3
189512,46.3,-2.9
189601,50.6,2.4
189602,52.8,1.7
189603,52.9,0.3
189604,49.9,-4.5
189605,54.7,-2.0
189606,59.6,0.2
189607,62.8,2.1
189608,61.6,0.3
189609,59.5,-2.4
189610,58.5,-1.0
189611,50.7,-3.4
189612,50.7,1.5
189701,46.3,-1.9
189702,48.1,-3.0
189703,46.6,-6.0
189704,56.1,1.7
189705,58.7,2.0
189706,59.8,0.4
189707,61.2,0.5
189708,60.3,-1.0
189709,61.0,-0.9
189710,56.7,-2.8
189711,50.4,-3.7
189712,47.5,-1.7
189801,43.9,-4.3
189802,51.1,0.0
189803,49.3,-3.3
189804,55.7,1.3
189805,53.4,-3.3
189806,60.8,1.4
189807,60.6,-0.1
189808,61.2,-0.1
189809,60.3,-1.6
189810,59.4,-0.1
189811,52.8,-1.3
189812,47.1,-2.1
189901,51.1,2.9
189902,50.0,-1.1
189903,50.9,-1.7
189904,54.2,-0.2
189905,53.4,-3.3
189906,59.1,-0.3
189907,59.1,-1.6
189908,59.3,-2.0
189909,60.3,-1.6
189910,56.6,-2.9
189911,54.6,0.5
189912,47.8,-1.4
190001,49.2,1.0
190002,50.9,-0.2
190003,53.9,1.3
190004,52.8,-1.6
190005,58.2,1.5
190006,59.9,0.5
190007,61.4,0.7
190008,60.9,-0.4
190009,61.6,-0.3
190010,58.6,-0.9
190011,55.4,1.3
190012,49.6,0.4
190101,47.9,-0.3
190102,51.6,0.5
190103,53.7,1.1
190104,51.5,-2.9
190105,54.9,-1.8
190106,58.6,-0.8
190107,58.9,-1.8
190108,60.1,-1.2
190109,58.8,-3.1
190110,61.0,1.5
190111,55.8,1.7
190112,49.3,0.1
190201,45.2,-3.0
190202,52.3,1.2
190203,50.4,-2.2
190204,53.1,-1.3
190205,53.9,-2.8
190206,59.7,0.3
190207,61.0,0.3
190208,61.2,-0.1
190209,62.0,0.1
190210,58.8,-0.7
190211,53.1,-1.0
190212,49.9,0.7
190301,47.8,-0.4
190302,46.5,-4.6
190303,50.6,-2.0
190304,53.1,-1.3
190305,56.7,0.0
190306,60.4,1.0
190307,58.0,-2.7
190308,59.7,-1.6
190309,61.0,-0.9
190310,61.2,1.7
190311,55.4,1.3
190312,49.7,0.5
190401,47.4,-0.8
190402,49.6,-1.5
190403,51.4,-1.2
190404,54.0,-0.4
190405,58.6,1.9
190406,60.4,1.0
190407,58.8,-1.9
190408,59.9,-1.4
190409,63.3,1.4
190410,59.1,-0.4
190411,55.4,1.3
190412,48.9,-0.3
190501,49.8,1.6
190502,51.6,0.5
190503,54.7,2.1
190504,54.7,0.3
190505,53.5,-3.2
190506,56.7,-2.7
190507,60.7,0.0
190508,59.9,-1.4
190509,60.5,-1.4
190510,57.6,-1.9
190511,53.3,-0.8
190512,47.4,-1.8
190601,49.4,1.2
190602,54.1,3.0
190603,51.6,-1.0
190604,55.0,0.6
190605,55.0,-1.7
190606,58.6,-0.8
190607,62.7,2.0
190608,61.2,-0.1
190609,61.6,-0.3
190610,60.0,0.5
190611,53.3,-0.8
190612,48.9,-0.3
190701,46.6,-1.6
190702,54.7,3.6
190703,49.2,-3.4
190704,55.8,1.4
190705,55.8,-0.9
190706,57.0,-2.4
190707,59.0,-1.7
190708,60.0,-1.3
190709,58.5,-3.4
190710,59.1,-0.4
190711,55.2,1.1
190712,51.0,1.8
190801,48.8,0.6
190802,48.8,-2.3
190803,51.6,-1.0
190804,55.4,1.0
190805,54.1,-2.6
190806,56.4,-3.0
190807,61.1,0.4
190808,59.4,-1.9
190809,60.8,-1.1
190810,56.3,-3.2
190811,53.1,-1.0
190812,45.1,-4.1
190901,50.8,2.6
190902,49.7,-1.4
190903,49.3,-3.3
190904,55.3,0.9
190905,54.3,-2.4
190906,57.6,-1.8
190907,59.4,-1.3
190908,59.2,-2.1
190909,60.7,-1.2
190910,57.1,-2.4
190911,52.5,-1.6
190912,46.8,-2.4
191001,44.6,-3.6
191002,48.0,-3.1
191003,53.7,1.1
191004,55.5,1.1
191005,58.3,1.6
191006,56.2,-3.2
191007,58.8,-1.9
191008,57.9,-3.4
191009,56.9,-5.0
191010,58.8,-0.7
191011,52.4,-1.7
191012,49.8,0.6
191101,48.1,-0.1
191102,46.7,-4.4
191103,51.9,-0.7
191104,51.6,-2.8
191105,53.4,-3.3
191106,55.8,-3.6
191107,59.3,-1.4
191108,57.3,-4.0
191109,57.3,-4.6
191110,57.0,-2.5
191111,52.8,-1.3
191112,47.9,-1.3
191201,49.3,1.1
191202,51.8,0.7
191203,49.2,-3.4
191204,50.3,-4.1
191205,56.1,-0.6
191206,59.7,0.3
191207,58.7,-2.0
191208,60.5,-0.8
191209,61.8,-0.1
191210,56.5,-3.0
191211,53.6,-0.5
191212,49.0,-0.2
191301,45.6,-2.6
191302,50.2,-0.9
191303,50.8,-1.8
191304,53.2,-1.2
191305,57.0,0.3
191306,58.6,-0.8
191307,63.0,2.3
191308,64.5,3.2
191309,64.8,2.9
191310,60.9,1.4
191311,53.7,-0.4
191312,48.4,-0.8
191401,49.8,1.6
191402,51.0,-0.1
191403,56.2,3.6
191404,55.8,1.4
191405,56.1,-0.6
191406,57.2,-2.2
191407,59.0,-1.7
191408,59.5,-1.8
191409,59.4,-2.5
191410,59.0,-0.5
191411,55.1,1.0
191412,46.2,-3.0
191501,48.0,-0.2
191502,50.2,-0.9
191503,54.6,2.0
191504,55.2,0.8
191505,54.0,-2.7
191506,58.4,-1.0
191507,61.0,0.3
191508,62.1,0.8
191509,60.1,-1.8
191510,59.5,0.0
191511,53.2,-0.9
191512,49.6,0.4
191601,44.0,-4.2
191602,53.0,1.9
191603,53.2,0.6
191604,55.4,1.0
191605,54.7,-2.0
191606,57.1,-2.3
191607,60.7,0.0
191608,59.6,-1.7
191609,61.0,-0.9
191610,54.3,-5.2
191611,50.8,-3.3
191612,47.0,-2.2
191701,44.2,-4.0
191702,49.4,-1.7
191703,48.1,-4.5
191704,53.1,-1.3
191705,52.6,-4.1
191706,59.1,-0.3
191707,62.6,1.9
191708,59.0,-2.3
191709,62.8,0.9
191710,60.8,1.3
191711,55.6,1.5
191712,52.6,3.4
191801,49.8,1.6
191802,49.2,-1.9
191803,51.7,-0.9
191804,54.4,0.0
191805,53.6,-3.1
191806,62.2,2.8
191807,59.4,-1.3
191808,61.5,0.2
191809,60.6,-1.3
191810,60.2,0.7
191811,51.2,-2.9
191812,45.9,-3.3
191901,48.3,0.1
191902,48.4,-2.7
191903,49.5,-3.1
191904,54.3,-0.1
191905,56.7,0.0
191906,57.7,-1.7
191907,58.5,-2.2
191908,60.2,-1.1
191909,60.8,-1.1
191910,56.4,-3.1
191911,52.7,-1.4
191912,47.2,-2.0
192001,49.3,1.1
192002,49.7,-1.4
192003,49.1,-3.5
192004,52.1,-2.3
192005,55.4,-1.3
192006,59.2,-0.2
192007,58.7,-2.0
192008,61.7,0.4
192009,59.4,-2.5
192010,56.1,-3.4
192011,52.3,-1.8
192012,49.0,-0.2
192101,47.0,-1.2
192102,50.4,-0.7
192103,52.0,-0.6
192104,53.2,-1.2
192105,52.7,-4.0
192106,60.7,1.3
192107,60.3,-0.4
192108,60.0,-1.3
192109,61.5,-0.4
192110,59.2,-0.3
192111,54.3,0.2
192112,49.8,0.6
192201,42.6,-5.6
192202,46.7,-4.4
192203,49.2,-3.4
192204,50.7,-3.7
192205,56.5,-0.2
192206,59.3,-0.1
192207,60.6,-0.1
192208,60.5,-0.8
192209,62.9,1.0
192210,57.5,-2.0
192211,50.5,-3.6
192212,48.1,-1.1
192301,45.1,-3.1
192302,49.1,-2.0
192303,53.9,1.3
192304,53.4,-1.0
192305,55.9,-0.8
192306,56.1,-3.3
192307,60.1,-0.6
192308,61.2,-0.1
192309,62.6,0.7
192310,59.3,-0.2
192311,57.5,3.4
192312,48.1,-1.1
192401,47.2,-1.0
192402,54.2,3.1
192403,51.4,-1.2
192404,55.1,0.7
192405,58.1,1.4
192406,59.0,-0.4
192407,58.6,-2.1
192408,59.4,-1.9
192409,60.9,-1.0
