Date,Value,Anomaly
189501,45.6,0.1
189502,51.8,1.4
189503,53.2,-0.8
189504,58.2,-0.7
189505,64.2,-0.7
189506,72.4,1.1
189507,73.5,-2.2
189508,73.0,-1.5
189509,67.6,-3.4
189510,63.8,0.3
189511,52.3,-1.0
189512,44.5,-1.5
189601,49.4,3.9
189602,52.8,2.4
189603,55.2,1.2
189604,54.0,-4.9
189605,61.7,-3.2
189606,72.0,0.7
189607,77.9,2.2
189608,73.4,-1.1
189609,68.6,-2.4
189610,64.0,0.5
189611,52.0,-1.3
189612,49.4,3.4
189701,44.3,-1.2
189702,47.6,-2.8
189703,48.3,-5.7
189704,60.8,1.9
189705,67.3,2.4
189706,71.1,-0.2
189707,75.6,-0.1
189708,73.9,-0.6
189709,69.9,-1.1
189710,61.4,-2.1
189711,51.6,-1.7
189712,45.8,-0.2
189801,42.1,-3.4
189802,52.6,2.2
189803,52.4,-1.6
189804,61.4,2.5
189805,62.0,-2.9
189806,72.2,0.9
189807,76.6,0.9
189808,75.5,1.0
189809,70.4,-0.6
189810,64.3,0.8
189811,53.9,0.6
189812,44.7,-1.3
189901,49.6,4.1
189902,51.1,0.7
189903,53.3,-0.7
189904,59.5,0.6
189905,61.6,-3.3
189906,73.2,1.9
189907,75.4,-0.3
189908,71.0,-3.5
189909,72.2,1.2
189910,61.1,-2.4
189911,55.3,2.0
189912,45.3,-0.7
190001,48.3,2.8
190002,51.2,0.8
190003,57.1,3.1
190004,57.0,-1.9
190005,66.2,1.3
190006,72.3,1.0
190007,76.6,0.9
190008,72.6,-1.9
190009,69.5,-1.5
190010,62.3,-1.2
190011,56.8,3.5
190012,47.6,1.6
190101,46.2,0.7
190102,51.6,1.2
190103,55.8,1.8
190104,56.9,-2.0
190105,63.5,-1.4
190106,71.3,0.0
190107,75.0,-0.7
190108,75.1,0.6
190109,68.4,-2.6
190110,66.5,3.0
190111,55.8,2.5
190112,45.8,-0.2
190201,42.0,-3.5
190202,51.0,0.6
190203,50.4,-3.6
190204,56.3,-2.6
190205,60.9,-4.0
190206,71.9,0.6
190207,75.1,-0.6
190208,73.6,-0.9
190209,71.8,0.8
