Date,Value,Anomaly
189501,45.8,-1.1
189502,49.6,1.0
189503,49.3,-1.5
189504,54.1,-0.2
189505,60.5,1.0
189506,66.0,0.3
189507,68.9,-2.1
189508,69.2,-1.6
189509,65.4,-1.9
189510,61.2,0.7
189511,50.7,-2.1
189512,45.3,-2.2
189601,48.8,1.9
189602,50.0,1.4
189603,51.9,1.1
189604,49.6,-4.7
189605,57.9,-1.6
189606,68.5,2.8
189607,68.5,-2.5
189608,70.8,0.0
189609,64.3,-3.0
189610,62.7,2.2
189611,49.5,-3.3
189612,49.6,2.1
189701,47.5,0.6
189702,47.6,-1.0
189703,47.2,-3.6
189704,57.2,2.9
189705,60.8,1.3
189706,68.4,2.7
189707,72.1,1.1
189708,73.8,3.0
189709,68.0,0.7
189710,58.3,-2.2
189711,52.6,-0.2
189712,46.5,-1.0
189801,43.9,-3.0
189802,50.7,2.1
189803,48.8,-2.0
189804,55.5,1.2
189805,58.6,-0.9
189806,67.5,1.8
189807,67.9,-3.1
189808,69.4,-1.4
189809,64.6,-2.7
189810,61.8,1.3
189811,52.3,-0.5
189812,47.4,-0.1
189901,50.2,3.3
189902,48.8,0.2
189903,51.4,0.6
189904,55.2,0.9
189905,56.4,-3.1
189906,64.1,-1.6
189907,71.2,0.2
189908,67.6,-3.2
189909,69.4,2.1
189910,59.3,-1.2
189911,55.3,2.5
189912,49.3,1.8
190001,51.0,4.1
190002,50.9,2.3
190003,55.9,5.1
190004,52.7,-1.6
190005,63.2,3.7
190006,69.2,3.5
190007,71.3,0.3
190008,69.4,-1.4
190009,65.0,-2.3
190010,61.7,1.2
190011,58.8,6.0
190012,49.0,1.5
190101,48.0,1.1
190102,50.5,1.9
190103,52.6,1.8
190104,52.5,-1.8
190105,59.4,-0.1
190106,66.5,0.8
190107,73.4,2.4
190108,72.9,2.1
190109,63.8,-3.5
190110,60.5,0.0
190111,55.7,2.9
190112,47.6,0.1
190201,46.6,-0.3
190202,48.9,0.3
190203,47.4,-3.4
190204,52.6,-1.7
190205,56.3,-3.2
190206,65.6,-0.1
190207,70.0,-1.0
190208,68.8,-2.0
190209,68.9,1.6
190210,59.0,-1.5
190211,49.7,-3.1
190212,46.2,-1.3
190301,46.5,-0.4
190302,42.8,-5.8
190303,48.6,-2.2
190304,52.7,-1.6
190305,58.1,-1.4
190306,67.1,1.4
190307,67.7,-3.3
190308,69.7,-1.1
190309,66.2,-1.1
190310,61.5,1.0
190311,53.8,1.0
190312,46.7,-0.8
190401,45.0,-1.9
190402,48.3,-0.3
190403,48.9,-1.9
190404,52.7,-1.6
190405,60.1,0.6
190406,66.1,0.4
190407,68.8,-2.2
190408,72.2,1.4
190409,69.4,2.1
190410,59.7,-0.8
190411,54.5,1.7
190412,47.9,0.4
190501,49.7,2.8
190502,50.3,1.7
190503,52.5,1.7
190504,54.4,0.1
190505,55.8,-3.7
190506,63.4,-2.3
190507,70.8,-0.2
190508,69.4,-1.4
190509,66.4,-0.9
190510,59.1,-1.4
190511,52.0,-0.8
190512,46.2,-1.3
190601,48.3,1.4
190602,52.0,3.4
190603,49.9,-0.9
190604,51.4,-2.9
190605,54.9,-4.6
190606,62.6,-3.1
190607,73.3,2.3
190608,70.2,-0.6
190609,66.8,-0.5
190610,60.9,0.4
190611,49.9,-2.9
190612,45.6,-1.9
190701,43.3,-3.6
190702,51.0,2.4
190703,48.7,-2.1
190704,54.5,0.2
190705,56.4,-3.1
190706,60.8,-4.9
190707,68.9,-2.1
190708,67.2,-3.6
190709,62.1,-5.2
190710,58.7,-1.8
190711,52.0,-0.8
190712,48.2,0.7
190801,47.6,0.7
190802,44.2,-4.4
190803,47.9,-2.9
190804,51.8,-2.5
190805,53.8,-5.7
190806,60.3,-5.4
190807,71.8,0.8
190808,70.2,-0.6
190809,66.2,-1.1
190810,57.3,-3.2
190811,53.4,0.6
190812,46.4,-1.1
190901,49.6,2.7
190902,47.3,-1.3
190903,45.3,-5.5
190904,52.2,-2.1
190905,55.5,-4.0
190906,63.6,-2.1
190907,68.9,-2.1
190908,70.6,-0.2
190909,66.2,-1.1
190910,59.9,-0.6
190911,49.4,-3.4
190912,46.7,-0.8
191001,43.9,-3.0
191002,44.4,-4.2
191003,53.0,2.2
191004,57.1,2.8
191005,61.6,2.1
191006,64.0,-1.7
191007,70.0,-1.0
191008,68.8,-2.0
191009,66.2,-1.1
191010,61.2,0.7
191011,52.2,-0.6
191012,49.3,1.8
191101,48.7,1.8
191102,44.8,-3.8
191103,51.8,1.0
191104,52.0,-2.3
191105,55.9,-3.6
191106,62.8,-2.9
191107,71.2,0.2
191108,68.4,-2.4
191109,64.1,-3.2
191110,58.8,-1.7
191111,51.5,-1.3
191112,44.8,-2.7
191201,49.1,2.2
191202,50.5,1.9
191203,48.2,-2.6
191204,50.0,-4.3
191205,59.4,-0.1
191206,65.2,-0.5
191207,68.5,-2.5
191208,68.3,-2.5
191209,66.1,-1.2
191210,57.3,-3.2
191211,53.2,0.4
191212,44.3,-3.2
191301,44.8,-2.1
191302,47.9,-0.7
191303,49.2,-1.6
191304,53.9,-0.4
191305,59.5,0.0
191306,63.9,-1.8
191307,71.5,0.5
191308,73.3,2.5
191309,69.6,2.3
191310,60.6,0.1
191311,54.6,1.8
191312,47.3,-0.2
191401,50.5,3.6
191402,49.6,1.0
191403,54.4,3.6
191404,55.7,1.4
191405,59.3,-0.2
191406,64.9,-0.8
191407,70.1,-0.9
191408,69.4,-1.4
191409,64.9,-2.4
191410,60.5,0.0
191411,55.8,3.0
191412,44.9,-2.6
191501,47.4,0.5
191502,48.8,0.2
191503,53.9,3.1
191504,53.5,-0.8
191505,57.2,-2.3
191506,66.6,0.9
191507,70.5,-0.5
191508,72.9,2.1
191509,65.2,-2.1
191510,61.0,0.5
191511,51.4,-1.4
191512,48.3,0.8
191601,43.8,-3.1
191602,51.4,2.8
191603,52.6,1.8
191604,55.6,1.3
191605,57.2,-2.3
191606,63.8,-1.9
191607,70.9,-0.1
191608,70.2,-0.6
191609,67.3,0.0
191610,55.0,-5.5
191611,48.2,-4.6
191612,44.3,-3.2
191701,42.5,-4.4
191702,46.6,-2.0
191703,47.6,-3.2
191704,53.2,-1.1
191705,55.0,-4.5
191706,68.6,2.9
191707,75.6,4.6
191708,71.0,0.2
191709,68.8,1.5
191710,63.2,2.7
191711,53.7,0.9
191712,49.4,1.9
191801,45.6,-1.3
191802,46.1,-2.5
191803,50.5,-0.3
191804,55.1,0.8
191805,54.7,-4.8
191806,70.5,4.8
191807,69.7,-1.3
191808,69.6,-1.2
191809,67.2,-0.1
191810,62.3,1.8
191811,51.1,-1.7
191812,44.8,-2.7
191901,45.8,-1.1
191902,44.4,-4.2
191903,47.5,-3.3
191904,53.6,-0.7
191905,60.5,1.0
191906,65.7,0.0
191907,71.0,0.0
191908,70.6,-0.2
191909,65.6,-1.7
191910,56.1,-4.4
191911,51.4,-1.4
191912,48.3,0.8
192001,48.8,1.9
192002,48.3,-0.3
192003,47.4,-3.4
192004,52.9,-1.4
192005,59.7,0.2
192006,65.5,-0.2
192007,70.6,-0.4
192008,72.4,1.6
192009,66.3,-1.0
192010,56.9,-3.6
192011,53.3,0.5
192012,48.3,0.8
192101,46.5,-0.4
192102,48.6,0.0
192103,52.5,1.7
192104,53.2,-1.1
192105,55.8,-3.7
192106,67.8,2.1
192107,72.9,1.9
192108,71.3,0.5
192109,66.3,-1.0
192110,62.5,2.0
192111,55.5,2.7
192112,50.9,3.4
192201,43.1,-3.8
192202,45.2,-3.4
192203,46.9,-3.9
192204,51.5,-2.8
192205,60.4,0.9
192206,67.4,1.7
192207,72.7,1.7
192208,70.9,0.1
192209,71.4,4.1
192210,59.4,-1.1
192211,49.5,-3.3
192212,49.9,2.4
192301,46.4,-0.5
192302,46.8,-1.8
192303,50.8,0.0
192304,52.3,-2.0
192305,59.8,0.3
192306,60.8,-4.9
192307,70.0,-1.0
192308,71.4,0.6
192309,68.8,1.5
192310,59.8,-0.7
192311,56.1,3.3
192312,46.7,-0.8
192401,47.1,0.2
192402,53.5,4.9
192403,49.3,-1.5
192404,54.2,-0.1
192405,63.2,3.7
192406,68.0,2.3
192407,68.6,-2.4
192408,70.1,-0.7
