Date,Value,Anomaly
189501,46.3,-1.7
189502,50.2,0.3
189503,49.7,-1.5
189504,52.0,-1.1
189505,55.3,-0.6
189506,59.6,0.3
189507,59.9,-1.9
189508,60.5,-1.8
189509,59.0,-3.3
189510,57.4,-1.5
189511,51.3,-1.9
189512,45.9,-2.8
189601,50.4,2.4
189602,51.5,1.6
189603,51.8,0.6
189604,48.4,-4.7
189605,53.4,-2.5
189606,58.7,-0.6
189607,63.1,1.3
189608,61.3,-1.0
189609,59.3,-3.0
189610,57.8,-1.1
189611,49.8,-3.4
189612,50.2,1.5
189701,46.0,-2.0
189702,46.8,-3.1
189703,45.2,-6.0
189704,54.6,1.5
189705,57.8,1.9
189706,59.1,-0.2
189707,61.5,-0.3
189708,61.1,-1.2
189709,61.1,-1.2
189710,55.9,-3.0
189711,49.8,-3.4
189712,47.0,-1.7
189801,43.7,-4.3
189802,50.0,0.1
189803,48.2,-3.0
189804,54.5,1.4
189805,52.2,-3.7
189806,60.4,1.1
189807,61.4,-0.4
189808,62.2,-0.1
189809,60.8,-1.5
189810,59.2,0.3
189811,52.0,-1.2
189812,46.6,-2.1
189901,50.8,2.8
189902,49.0,-0.9
189903,49.3,-1.9
189904,52.9,-0.2
189905,52.6,-3.3
189906,58.7,-0.6
189907,59.8,-2.0
189908,59.7,-2.6
189909,61.1,-1.2
189910,55.8,-3.1
189911,53.7,0.5
189912,47.4,-1.3
190001,49.3,1.3
190002,49.6,-0.3
190003,52.8,1.6
190004,51.6,-1.5
190005,57.4,1.5
190006,59.9,0.6
190007,62.0,0.2
190008,61.6,-0.7
190009,61.7,-0.6
190010,57.8,-1.1
190011,55.3,2.1
190012,49.7,1.0
190101,48.0,0.0
190102,50.4,0.5
190103,52.4,1.2
190104,50.1,-3.0
190105,53.9,-2.0
190106,58.2,-1.1
190107,59.6,-2.2
190108,61.2,-1.1
190109,59.1,-3.2
190110,60.5,1.6
190111,54.9,1.7
190112,48.5,-0.2
190201,44.9,-3.1
190202,50.4,0.5
190203,48.2,-3.0
190204,51.4,-1.7
190205,52.7,-3.2
190206,59.2,-0.1
190207,61.9,0.1
190208,62.3,0.0
190209,62.6,0.3
190210,58.1,-0.8
190211,51.6,-1.6
190212,48.9,0.2
190301,47.4,-0.6
190302,44.7,-5.2
190303,49.2,-2.0
190304,50.9,-2.2
190305,55.7,-0.2
190306,59.7,0.4
190307,59.0,-2.8
190308,60.7,-1.6
190309,61.4,-0.9
190310,60.5,1.6
190311,54.3,1.1
190312,48.9,0.2
190401,46.7,-1.3
190402,48.4,-1.5
190403,50.2,-1.0
190404,52.6,-0.5
190405,57.6,1.7
190406,60.2,0.9
190407,60.0,-1.8
190408,60.7,-1.6
190409,63.6,1.3
190410,58.5,-0.4
190411,54.3,1.1
190412,48.1,-0.6
190501,49.7,1.7
190502,50.5,0.6
190503,53.3,2.1
190504,53.2,0.1
190505,52.6,-3.3
190506,56.5,-2.8
190507,62.1,0.3
190508,61.0,-1.3
190509,61.1,-1.2
190510,57.7,-1.2
190511,52.5,-0.7
190512,46.9,-1.8
190601,49.4,1.4
190602,52.8,2.9
190603,50.3,-0.9
190604,53.3,0.2
