Date,Value,Anomaly
189501,44.6,-3.4
189502,48.0,-0.6
189503,46.4,-3.5
189504,50.5,-2.1
189505,56.3,-0.7
189506,60.6,-1.5
189507,64.0,-3.2
189508,64.4,-3.2
189509,63.1,-2.0
189510,58.4,-1.1
189511,52.0,-1.4
189512,46.8,-1.8
189601,49.1,1.1
189602,50.5,1.9
189603,50.1,0.2
189604,47.6,-5.0
189605,56.4,-0.6
189606,63.4,1.3
189607,65.7,-1.5
189608,67.0,-0.6
189609,62.3,-2.8
189610,58.8,-0.7
189611,50.6,-2.8
189612,50.0,1.4
189701,47.1,-0.9
189702,45.1,-3.5
189703,44.6,-5.3
189704,53.0,0.4
189705,55.8,-1.2
189706,62.1,0.0
189707,66.6,-0.6
189708,69.9,2.3
189709,64.8,-0.3
189710,55.6,-3.9
189711,51.8,-1.6
189712,46.8,-1.8
189801,43.4,-4.6
189802,48.8,0.2
189803,46.6,-3.3
189804,53.2,0.6
189805,54.3,-2.7
189806,62.3,0.2
189807,64.2,-3.0
189808,67.3,-0.3
189809,63.0,-2.1
189810,58.1,-1.4
189811,52.1,-1.3
189812,47.5,-1.1
189901,48.8,0.8
189902,46.5,-2.1
189903,49.0,-0.9
189904,51.0,-1.6
189905,52.5,-4.5
189906,59.6,-2.5
189907,65.2,-2.0
189908,64.5,-3.1
189909,64.5,-0.6
189910,57.3,-2.2
189911,53.9,0.5
189912,49.2,0.6
190001,50.7,2.7
190002,50.2,1.6
190003,52.2,2.3
190004,49.2,-3.4
190005,57.8,0.8
190006,65.1,3.0
190007,65.9,-1.3
190008,65.3,-2.3
190009,61.8,-3.3
190010,60.3,0.8
190011,58.8,5.4
190012,50.5,1.9
190101,47.3,-0.7
190102,48.7,0.1
190103,51.1,1.2
190104,48.5,-4.1
190105,54.2,-2.8
190106,60.6,-1.5
190107,66.5,-0.7
190108,67.4,-0.2
190109,59.8,-5.3
190110,58.2,-1.3
190111,53.3,-0.1
190112,49.4,0.8
190201,47.4,-0.6
190202,47.0,-1.6
190203,45.9,-4.0
190204,49.9,-2.7
190205,53.5,-3.5
190206,60.7,-1.4
190207,65.1,-2.1
190208,64.7,-2.9
190209,64.7,-0.4
190210,56.6,-2.9
190211,50.1,-3.3
190212,46.9,-1.7
190301,48.5,0.5
190302,42.9,-5.7
190303,46.5,-3.4
190304,50.9,-1.7
190305,54.9,-2.1
190306,62.0,-0.1
190307,64.6,-2.6
190308,66.1,-1.5
190309,64.2,-0.9
190310,59.8,0.3
190311,55.4,2.0
190312,49.7,1.1
190401,47.7,-0.3
190402,47.8,-0.8
190403,48.7,-1.2
190404,51.5,-1.1
190405,55.9,-1.1
190406,62.8,0.7
190407,65.0,-2.2
190408,69.5,1.9
190409,67.5,2.4
190410,59.7,0.2
190411,56.3,2.9
190412,50.8,2.2
190501,50.8,2.8
190502,50.2,1.6
190503,52.3,2.4
190504,52.0,-0.6
190505,53.9,-3.1
190506,59.4,-2.7
190507,65.9,-1.3
190508,66.3,-1.3
190509,64.5,-0.6
190510,59.1,-0.4
190511,53.0,-0.4
190512,47.8,-0.8
190601,48.7,0.7
190602,51.4,2.8
190603,49.4,-0.5
190604,50.4,-2.2
190605,53.2,-3.8
190606,61.8,-0.3
190607,68.4,1.2
190608,66.6,-1.0
190609,65.0,-0.1
190610,60.6,1.1
190611,50.1,-3.3
190612,47.7,-0.9
190701,44.2,-3.8
190702,51.8,3.2
190703,47.0,-2.9
190704,51.4,-1.2
190705,54.7,-2.3
190706,59.8,-2.3
190707,66.5,-0.7
190708,64.5,-3.1
190709,61.0,-4.1
190710,58.0,-1.5
190711,52.3,-1.1
190712,48.9,0.3
190801,48.0,0.0
190802,44.6,-4.0
190803,48.2,-1.7
190804,51.6,-1.0
190805,52.7,-4.3
190806,57.6,-4.5
190807,66.6,-0.6
190808,66.6,-1.0
190809,63.3,-1.8
190810,55.3,-4.2
190811,51.3,-2.1
190812,45.5,-3.1
190901,48.2,0.2
190902,45.8,-2.8
190903,45.0,-4.9
190904,50.0,-2.6
190905,52.1,-4.9
190906,59.4,-2.7
190907,63.8,-3.4
190908,66.7,-0.9
190909,62.5,-2.6
190910,57.5,-2.0
190911,49.6,-3.8
190912,45.8,-2.8
191001,44.0,-4.0
191002,45.2,-3.4
191003,49.9,0.0
191004,54.4,1.8
191005,56.8,-0.2
191006,59.3,-2.8
191007,65.5,-1.7
191008,64.8,-2.8
191009,63.7,-1.4
191010,58.6,-0.9
191011,51.3,-2.1
191012,49.0,0.4
191101,48.2,0.2
191102,43.3,-5.3
191103,49.1,-0.8
191104,49.4,-3.2
191105,53.8,-3.2
191106,58.8,-3.3
191107,65.7,-1.5
191108,64.7,-2.9
191109,60.9,-4.2
191110,57.0,-2.5
191111,52.3,-1.1
191112,45.1,-3.5
191201,48.9,0.9
191202,49.5,0.9
191203,45.6,-4.3
191204,47.2,-5.4
191205,55.1,-1.9
191206,59.5,-2.6
191207,63.6,-3.6
191208,63.6,-4.0
191209,62.2,-2.9
191210,56.0,-3.5
191211,52.9,-0.5
191212,45.4,-3.2
191301,44.0,-4.0
191302,45.4,-3.2
191303,47.0,-2.9
191304,49.4,-3.2
191305,54.0,-3.0
191306,59.2,-2.9
191307,66.4,-0.8
191308,67.7,0.1
191309,65.8,0.7
191310,58.3,-1.2
191311,53.2,-0.2
191312,45.8,-2.8
191401,48.2,0.2
191402,48.0,-0.6
191403,52.5,2.6
191404,53.0,0.4
191405,54.6,-2.4
191406,60.0,-2.1
191407,64.1,-3.1
191408,64.4,-3.2
191409,61.7,-3.4
191410,59.1,-0.4
191411,55.8,2.4
191412,45.4,-3.2
191501,47.3,-0.7
191502,47.1,-1.5
191503,52.2,2.3
191504,51.8,-0.8
191505,54.8,-2.2
191506,62.2,0.1
191507,66.3,-0.9
191508,69.4,1.8
191509,63.0,-2.1
191510,58.5,-1.0
191511,51.9,-1.5
191512,48.2,-0.4
191601,44.9,-3.1
191602,49.8,1.2
191603,51.5,1.6
191604,52.8,0.2
191605,55.4,-1.6
191606,59.6,-2.5
191607,65.3,-1.9
191608,65.5,-2.1
191609,62.8,-2.3
191610,52.4,-7.1
191611,48.7,-4.7
191612,43.8,-4.8
191701,43.2,-4.8
191702,45.9,-2.7
191703,46.7,-3.2
191704,50.2,-2.4
191705,53.3,-3.7
191706,65.3,3.2
191707,71.6,4.4
191708,66.9,-0.7
191709,65.8,0.7
191710,61.1,1.6
191711,54.0,0.6
191712,50.6,2.0
191801,46.5,-1.5
191802,45.6,-3.0
191803,49.0,-0.9
191804,51.8,-0.8
191805,52.4,-4.6
191806,65.0,2.9
191807,65.1,-2.1
191808,67.0,-0.6
191809,66.2,1.1
191810,62.8,3.3
191811,52.0,-1.4
191812,44.9,-3.7
191901,48.4,0.4
191902,44.2,-4.4
191903,46.7,-3.2
191904,52.1,-0.5
191905,56.5,-0.5
191906,62.0,-0.1
191907,67.0,-0.2
191908,66.9,-0.7
191909,63.4,-1.7
191910,55.8,-3.7
191911,51.2,-2.2
191912,47.6,-1.0
192001,50.2,2.2
192002,47.6,-1.0
192003,46.0,-3.9
192004,50.6,-2.0
192005,55.4,-1.6
192006,61.6,-0.5
192007,66.8,-0.4
192008,68.8,1.2
192009,63.2,-1.9
192010,54.7,-4.8
192011,52.2,-1.2
192012,48.4,-0.2
192101,46.7,-1.3
192102,47.6,-1.0
192103,51.6,1.7
192104,50.6,-2.0
192105,52.8,-4.2
192106,62.6,0.5
192107,68.6,1.4
192108,67.5,-0.1
192109,64.0,-1.1
192110,60.0,0.5
192111,54.7,1.3
192112,51.0,2.4
192201,44.1,-3.9
192202,45.2,-3.4
192203,46.1,-3.8
192204,49.6,-3.0
192205,56.4,-0.6
192206,62.9,0.8
192207,68.1,0.9
192208,68.3,0.7
192209,67.5,2.4
192210,57.5,-2.0
192211,49.1,-4.3
192212,50.3,1.7
192301,48.0,0.0
192302,46.4,-2.2
192303,50.6,0.7
192304,50.6,-2.0
192305,56.9,-0.1
192306,57.3,-4.8
192307,65.6,-1.6
192308,66.0,-1.6
192309,64.9,-0.2
192310,57.8,-1.7
192311,55.6,2.2
192312,47.6,-1.0
192401,47.4,-0.6
192402,53.1,4.5
192403,47.9,-2.0
192404,52.2,-0.4
192405,59.2,2.2
192406,62.6,0.5
192407,64.7,-2.5
192408,65.0,-2.6
192409,64.4,-0.7
192410,54.3,-5.2
192411,52.0,-1.4
192412,45.0,-3.6
192501,47.9,-0.1
192502,49.8,1.2
192503,49.8,-0.1
192504,52.3,-0.3
192505,56.5,-0.5
192506,63.4,1.3
192507,70.0,2.8
192508,66.2,-1.4
192509,61.2,-3.9
192510,57.0,-2.5
192511,53.3,-0.1
192512,50.9,2.3
192601,48.2,0.2
192602,51.1,2.5
192603,53.9,4.0
192604,56.5,3.9
192605,59.6,2.6
