Date,Value,Anomaly
189501,44.0,-1.7
189502,48.2,0.1
189503,48.8,-1.4
189504,51.9,-1.5
189505,57.4,-1.1
189506,64.1,-0.1
189507,66.2,-2.6
189508,66.1,-2.4
189509,62.8,-3.6
189510,59.1,-1.4
189511,49.4,-2.5
189512,43.6,-2.7
189601,48.1,2.4
189602,49.4,1.3
189603,50.7,0.5
189604,48.3,-5.1
189605,55.4,-3.1
189606,63.0,-1.2
189607,68.8,0.0
189608,66.1,-2.4
189609,62.3,-4.1
189610,58.6,-1.9
189611,48.5,-3.4
189612,48.0,1.7
189701,43.6,-2.1
189702,44.9,-3.2
189703,44.0,-6.2
189704,54.5,1.1
189705,60.0,1.5
189706,63.5,-0.7
189707,67.9,-0.9
189708,67.1,-1.4
189709,64.7,-1.7
189710,56.9,-3.6
189711,48.6,-3.3
189712,44.6,-1.7
189801,41.3,-4.4
189802,48.4,0.3
189803,47.2,-3.0
189804,54.6,1.2
189805,54.4,-4.1
189806,64.8,0.6
189807,67.4,-1.4
189808,68.2,-0.3
189809,64.6,-1.8
189810,60.7,0.2
189811,50.8,-1.1
189812,44.1,-2.2
189901,48.3,2.6
189902,47.0,-1.1
189903,48.2,-2.0
189904,52.9,-0.5
189905,54.7,-3.8
189906,64.1,-0.1
189907,66.6,-2.2
189908,65.1,-3.4
189909,66.0,-0.4
189910,57.2,-3.3
189911,52.4,0.5
189912,45.0,-1.3
190001,47.2,1.5
190002,47.5,-0.6
190003,52.2,2.0
190004,51.4,-2.0
190005,59.7,1.2
190006,64.9,0.7
190007,68.3,-0.5
190008,67.3,-1.2
190009,65.4,-1.0
190010,58.9,-1.6
190011,54.5,2.6
190012,47.4,1.1
190101,45.9,0.2
190102,48.4,0.3
190103,51.1,0.9
190104,50.0,-3.4
190105,56.2,-2.3
190106,62.8,-1.4
190107,66.2,-2.6
190108,67.8,-0.7
190109,63.1,-3.3
190110,62.2,1.7
190111,53.7,1.8
190112,45.8,-0.5
190201,42.3,-3.4
190202,48.1,0.0
190203,46.5,-3.7
190204,51.3,-2.1
190205,54.9,-3.6
190206,64.1,-0.1
190207,68.5,-0.3
190208,68.5,0.0
190209,67.0,0.6
190210,59.4,-1.1
190211,49.8,-2.1
190212,46.2,-0.1
190301,44.7,-1.0
190302,42.4,-5.7
190303,48.3,-1.9
190304,50.7,-2.7
190305,58.2,-0.3
190306,64.8,0.6
190307,65.7,-3.1
190308,67.3,-1.2
190309,65.5,-0.9
190310,61.7,1.2
190311,52.8,0.9
190312,46.1,-0.2
190401,44.0,-1.7
190402,46.8,-1.3
190403,49.8,-0.4
190404,52.8,-0.6
190405,60.2,1.7
190406,65.2,1.0
190407,67.1,-1.7
190408,67.5,-1.0
190409,67.6,1.2
190410,59.8,-0.7
190411,52.8,0.9
190412,45.4,-0.9
190501,47.7,2.0
190502,48.8,0.7
190503,52.3,2.1
190504,53.6,0.2
190505,55.4,-3.1
190506,61.7,-2.5
190507,69.0,0.2
190508,67.4,-1.1
190509,65.4,-1.0
190510,59.6,-0.9
190511,51.2,-0.7
190512,44.5,-1.8
190601,47.5,1.8
190602,51.0,2.9
190603,49.5,-0.7
190604,53.0,-0.4
190605,56.4,-2.1
190606,62.7,-1.5
190607,71.4,2.6
190608,69.2,0.7
190609,66.1,-0.3
190610,61.3,0.8
190611,50.5,-1.4
190612,46.4,0.1
190701,44.6,-1.1
190702,51.5,3.4
190703,47.3,-2.9
190704,54.8,1.4
190705,57.5,-1.0
190706,62.0,-2.2
190707,67.4,-1.4
190708,67.1,-1.4
190709,62.4,-4.0
190710,59.5,-1.0
190711,52.1,0.2
190712,48.4,2.1
190801,47.2,1.5
190802,45.7,-2.4
190803,49.1,-1.1
190804,54.0,0.6
190805,54.8,-3.7
190806,60.4,-3.8
190807,69.9,1.1
190808,67.3,-1.2
190809,65.5,-0.9
190810,57.6,-2.9
190811,52.0,0.1
190812,42.8,-3.5
190901,49.3,3.6
190902,46.7,-1.4
190903,46.7,-3.5
190904,53.9,0.5
190905,55.5,-3.0
190906,61.6,-2.6
190907,65.9,-2.9
190908,66.6,-1.9
190909,65.3,-1.1
190910,58.9,-1.6
190911,51.1,-0.8
190912,44.3,-2.0
191001,42.9,-2.8
191002,45.7,-2.4
191003,52.0,1.8
191004,54.4,1.0
191005,59.4,0.9
191006,60.1,-4.1
191007,67.0,-1.8
191008,65.5,-3.0
191009,62.7,-3.7
191010,60.2,-0.3
191011,51.0,-0.9
191012,47.8,1.5
191101,46.7,1.0
191102,43.3,-4.8
191103,50.4,0.2
191104,50.6,-2.8
191105,54.8,-3.7
191106,60.8,-3.4
191107,67.3,-1.5
191108,64.6,-3.9
191109,62.1,-4.3
191110,58.8,-1.7
191111,50.5,-1.4
191112,45.2,-1.1
191201,47.7,2.0
191202,48.9,0.8
191203,47.2,-3.0
191204,48.9,-4.5
191205,58.0,-0.5
191206,64.1,-0.1
191207,66.6,-2.2
191208,67.2,-1.3
191209,65.9,-0.5
191210,58.0,-2.5
191211,52.5,0.6
191212,45.7,-0.6
191301,43.1,-2.6
191302,47.1,-1.0
191303,48.6,-1.6
191304,52.8,-0.6
191305,58.6,0.1
191306,63.0,-1.2
191307,69.6,0.8
191308,71.3,2.8
191309,68.8,2.4
191310,61.2,0.7
191311,52.2,0.3
191312,46.2,-0.1
191401,47.9,2.2
191402,48.2,0.1
191403,53.6,3.4
191404,53.9,0.5
191405,58.6,0.1
191406,62.1,-2.1
191407,67.3,-1.5
191408,67.0,-1.5
191409,63.7,-2.7
191410,60.3,-0.2
191411,53.7,1.8
191412,44.0,-2.3
191501,46.0,0.3
191502,47.7,-0.4
191503,52.2,2.0
191504,53.3,-0.1
191505,55.1,-3.4
191506,61.8,-2.4
191507,67.8,-1.0
191508,69.1,0.6
191509,64.8,-1.6
191510,60.0,-0.5
191511,50.8,-1.1
191512,47.0,0.7
191601,43.0,-2.7
191602,51.0,2.9
191603,51.1,0.9
191604,54.0,0.6
191605,55.5,-3.0
191606,61.2,-3.0
191607,67.2,-1.6
191608,66.3,-2.2
191609,64.6,-1.8
191610,55.0,-5.5
191611,48.8,-3.1
191612,43.4,-2.9
191701,42.1,-3.6
191702,46.4,-1.7
191703,45.4,-4.8
191704,51.6,-1.8
191705,53.8,-4.7
191706,63.7,-0.5
191707,70.8,2.0
191708,66.4,-2.1
191709,67.0,0.6
191710,61.8,1.3
191711,53.7,1.8
191712,49.6,3.3
191801,47.0,1.3
191802,46.8,-1.3
191803,50.5,0.3
191804,53.4,0.0
191805,55.2,-3.3
191806,67.0,2.8
191807,67.1,-1.7
191808,68.4,-0.1
191809,64.8,-1.6
191810,61.6,1.1
191811,49.6,-2.3
191812,43.2,-3.1
191901,45.4,-0.3
191902,45.6,-2.5
191903,47.0,-3.2
191904,53.1,-0.3
191905,58.2,-0.3
191906,62.3,-1.9
191907,66.6,-2.2
191908,67.6,-0.9
191909,64.5,-1.9
191910,56.9,-3.6
191911,50.1,-1.8
191912,45.4,-0.9
192001,47.3,1.6
192002,46.8,-1.3
192003,47.0,-3.2
192004,51.5,-1.9
192005,57.6,-0.9
192006,63.6,-0.6
192007,66.5,-2.3
192008,69.4,0.9
192009,64.6,-1.8
192010,56.9,-3.6
192011,50.6,-1.3
192012,46.5,0.2
192101,44.7,-1.0
192102,47.8,-0.3
192103,50.9,0.7
192104,51.7,-1.7
192105,55.1,-3.4
192106,65.5,1.3
192107,68.4,-0.4
192108,66.8,-1.7
192109,64.8,-1.6
192110,60.4,-0.1
192111,52.7,0.8
192112,47.6,1.3
192201,41.1,-4.6
192202,44.8,-3.3
192203,46.8,-3.4
192204,49.2,-4.2
192205,58.4,-0.1
192206,64.5,0.3
192207,68.4,-0.4
192208,66.9,-1.6
192209,67.6,1.2
192210,58.4,-2.1
192211,48.5,-3.4
192212,46.8,0.5
192301,43.6,-2.1
192302,45.4,-2.7
192303,50.1,-0.1
192304,52.0,-1.4
192305,57.0,-1.5
192306,59.6,-4.6
192307,66.7,-2.1
192308,68.1,-0.4
192309,67.4,1.0
192310,59.9,-0.6
192311,55.1,3.2
192312,44.9,-1.4
192401,45.0,-0.7
192402,51.3,3.2
192403,48.3,-1.9
192404,53.6,0.2
192405,60.4,1.9
192406,63.7,-0.5
192407,65.9,-2.9
192408,67.3,-1.2
192409,65.2,-1.2
192410,56.7,-3.8
192411,51.2,-0.7
192412,43.7,-2.6
192501,46.1,0.4
192502,49.7,1.6
192503,50.4,0.2
192504,53.2,-0.2
192505,59.0,0.5
192506,64.4,0.2
192507,69.1,0.3
192508,66.6,-1.9
192509,62.9,-3.5
192510,59.0,-1.5
192511,51.4,-0.5
192512,47.2,0.9
192601,44.0,-1.7
192602,50.1,2.0
192603,55.1,4.9
192604,58.1,4.7
192605,60.1,1.6
192606,65.7,1.5
192607,69.3,0.5
192608,68.3,-0.2
192609,62.8,-3.6
192610,62.0,1.5
192611,57.0,5.1
192612,45.5,-0.8
192701,46.8,1.1
192702,48.7,0.6
192703,48.8,-1.4
192704,52.2,-1.2
192705,58.0,-0.5
192706,64.0,-0.2
192707,67.9,-0.9
192708,66.7,-1.8
192709,63.1,-3.3
192710,60.7,0.2
192711,53.2,1.3
192712,45.8,-0.5
192801,46.3,0.6
192802,48.6,0.5
192803,53.9,3.7
192804,53.6,0.2
192805,60.5,2.0
192806,63.7,-0.5
192807,66.7,-2.1
192808,66.7,-1.8
192809,65.3,-1.1
192810,58.1,-2.4
192811,50.6,-1.3
192812,43.8,-2.5
192901,42.8,-2.9
192902,45.5,-2.6
192903,49.5,-0.7
192904,49.8,-3.6
192905,57.9,-0.6
192906,64.5,0.3
192907,67.8,-1.0
192908,68.7,0.2
192909,64.2,-2.2
192910,61.5,1.0
192911,51.3,-0.6
192912,50.3,4.0
193001,45.3,-0.4
193002,51.0,2.9
193003,52.0,1.8
193004,55.5,2.1
193005,55.1,-3.4
193006,63.5,-0.7
193007,66.4,-2.4
193008,67.0,-1.5
