Date,Value,Anomaly
189501,45.9,-1.7
189502,49.4,0.0
189503,49.3,-1.4
189504,51.6,-1.4
189505,55.7,-0.8
189506,59.8,-0.5
189507,60.9,-2.4
189508,61.1,-2.6
189509,60.3,-2.9
189510,57.8,-1.4
189511,50.4,-2.4
189512,45.6,-2.7
189601,49.8,2.2
189602,51.1,1.7
189603,51.2,0.5
189604,48.2,-4.8
189605,53.6,-2.9
189606,59.0,-1.3
189607,63.2,-0.1
189608,62.2,-1.5
189609,59.6,-3.6
189610,57.3,-1.9
189611,49.5,-3.3
189612,49.9,1.6
189701,45.8,-1.8
189702,46.4,-3.0
189703,44.8,-5.9
189704,54.5,1.5
189705,58.1,1.6
189706,60.0,-0.3
189707,62.3,-1.0
189708,62.6,-1.1
189709,61.8,-1.4
189710,55.4,-3.8
189711,49.4,-3.4
189712,46.6,-1.7
189801,43.2,-4.4
189802,49.7,0.3
189803,48.1,-2.6
189804,54.3,1.3
189805,52.9,-3.6
189806,61.4,1.1
189807,62.0,-1.3
189808,63.5,-0.2
189809,61.9,-1.3
189810,59.8,0.6
189811,51.4,-1.4
189812,46.0,-2.3
189901,49.9,2.3
189902,48.2,-1.2
189903,48.4,-2.3
189904,52.4,-0.6
189905,52.4,-4.1
189906,58.9,-1.4
189907,60.6,-2.7
189908,61.0,-2.7
189909,62.2,-1.0
189910,55.6,-3.6
189911,53.4,0.6
189912,47.1,-1.2
190001,49.5,1.9
190002,49.2,-0.2
190003,52.8,2.1
190004,51.0,-2.0
190005,57.2,0.7
190006,61.0,0.7
190007,62.2,-1.1
190008,62.6,-1.1
190009,62.0,-1.2
190010,57.6,-1.6
190011,54.7,1.9
190012,48.9,0.6
190101,47.2,-0.4
190102,49.6,0.2
190103,51.5,0.8
190104,49.4,-3.6
190105,54.1,-2.4
190106,58.6,-1.7
190107,60.6,-2.7
190108,62.4,-1.3
190109,59.7,-3.5
190110,60.5,1.3
190111,53.8,1.0
190112,47.6,-0.7
190201,44.3,-3.3
190202,48.7,-0.7
190203,47.3,-3.4
190204,51.1,-1.9
190205,53.6,-2.9
190206,59.6,-0.7
190207,62.5,-0.8
190208,63.4,-0.3
190209,63.2,0.0
190210,57.8,-1.4
190211,50.4,-2.4
190212,47.8,-0.5
190301,46.8,-0.8
190302,43.7,-5.7
190303,48.9,-1.8
190304,50.5,-2.5
190305,55.8,-0.7
190306,61.1,0.8
190307,60.6,-2.7
190308,62.6,-1.1
190309,62.2,-1.0
190310,60.2,1.0
190311,53.7,0.9
190312,48.4,0.1
190401,45.8,-1.8
190402,47.9,-1.5
190403,49.7,-1.0
190404,52.4,-0.6
190405,57.6,1.1
190406,60.7,0.4
190407,61.7,-1.6
190408,62.4,-1.3
190409,64.4,1.2
190410,58.8,-0.4
190411,53.7,0.9
