Date,Value,Anomaly
189501,36.8,-2.0
189502,43.4,1.7
189503,45.2,0.0
189504,50.9,0.2
189505,57.6,-0.2
189506,67.1,1.6
189507,71.1,-1.6
189508,72.5,1.0
189509,61.3,-4.6
189510,58.9,2.4
189511,45.4,-0.5
189512,36.9,-2.7
189601,42.7,3.9
189602,45.1,3.4
189603,46.0,0.8
189604,43.6,-7.1
189605,52.2,-5.6
189606,67.7,2.2
189607,75.8,3.1
189608,71.0,-0.5
189609,64.6,-1.3
189610,58.5,2.0
189611,43.6,-2.3
189612,43.4,3.8
189701,39.7,0.9
189702,39.2,-2.5
189703,38.8,-6.4
189704,54.1,3.4
189705,63.8,6.0
189706,64.2,-1.3
189707,71.7,-1.0
189708,72.7,1.2
189709,63.8,-2.1
189710,54.8,-1.7
189711,43.7,-2.2
189712,39.8,0.2
189801,34.8,-4.0
189802,43.0,1.3
189803,43.1,-2.1
189804,53.4,2.7
189805,55.1,-2.7
189806,64.5,-1.0
189807,72.1,-0.6
189808,72.6,1.1
189809,64.4,-1.5
189810,54.2,-2.3
189811,44.8,-1.1
189812,38.3,-1.3
189901,40.1,1.3
189902,41.4,-0.3
189903,43.3,-1.9
189904,50.2,-0.5
189905,52.2,-5.6
189906,65.3,-0.2
189907,71.6,-1.1
189908,65.1,-6.4
189909,68.2,2.3
189910,51.4,-5.1
189911,47.1,1.2
189912,39.4,-0.2
190001,43.9,5.1
190002,43.2,1.5
190003,49.9,4.7
190004,48.7,-2.0
190005,57.2,-0.6
190006,66.4,0.9
190007,72.3,-0.4
190008,67.4,-4.1
190009,60.8,-5.1
190010,52.1,-4.4
190011,47.5,1.6
190012,40.7,1.1
190101,36.6,-2.2
190102,40.0,-1.7
190103,46.9,1.7
190104,48.2,-2.5
190105,57.1,-0.7
190106,64.2,-1.3
190107,71.9,-0.8
190108,73.2,1.7
190109,62.4,-3.5
190110,58.4,1.9
190111,48.8,2.9
190112,41.6,2.0
190201,38.3,-0.5
190202,43.3,1.6
190203,42.4,-2.8
190204,48.1,-2.6
190205,53.9,-3.9
190206,66.2,0.7
190207,69.9,-2.8
190208,70.4,-1.1
190209,67.4,1.5
190210,54.5,-2.0
190211,43.8,-2.1
190212,39.7,0.1
190301,39.1,0.3
190302,34.3,-7.4
190303,42.4,-2.8
190304,47.5,-3.2
190305,58.8,1.0
190306,66.6,1.1
190307,67.6,-5.1
190308,70.3,-1.2
190309,65.6,-0.3
190310,58.7,2.2
190311,47.4,1.5
190312,41.5,1.9
190401,39.9,1.1
190402,39.5,-2.2
190403,41.3,-3.9
190404,49.6,-1.1
190405,60.6,2.8
190406,67.0,1.5
190407,71.2,-1.5
190408,73.2,1.7
190409,66.4,0.5
190410,54.4,-2.1
190411,47.2,1.3
190412,39.5,-0.1
190501,42.1,3.3
190502,44.1,2.4
190503,47.3,2.1
190504,52.1,1.4
190505,53.1,-4.7
190506,64.4,-1.1
190507,74.0,1.3
190508,71.8,0.3
190509,65.0,-0.9
190510,54.8,-1.7
190511,45.3,-0.6
190512,37.7,-1.9
190601,41.0,2.2
190602,44.3,2.6
190603,43.4,-1.8
190604,51.9,1.2
190605,54.5,-3.3
190606,59.8,-5.7
190607,75.6,2.9
190608,73.0,1.5
190609,64.6,-1.3
190610,57.3,0.8
190611,45.2,-0.7
190612,40.4,0.8
190701,36.2,-2.6
190702,47.9,6.2
190703,41.2,-4.0
190704,52.9,2.2
190705,56.3,-1.5
190706,62.0,-3.5
190707,70.2,-2.5
190708,69.5,-2.0
190709,63.2,-2.7
190710,58.6,2.1
190711,47.0,1.1
190712,41.0,1.4
190801,41.6,2.8
190802,40.5,-1.2
190803,45.7,0.5
190804,53.6,2.9
190805,51.6,-6.2
190806,62.6,-2.9
190807,76.7,4.0
190808,72.3,0.8
190809,65.3,-0.6
190810,53.1,-3.4
190811,47.8,1.9
190812,36.8,-2.8
190901,41.5,2.7
190902,40.3,-1.4
190903,43.9,-1.3
190904,53.2,2.5
190905,56.7,-1.1
190906,66.6,1.1
190907,70.0,-2.7
190908,71.0,-0.5
190909,67.1,1.2
190910,55.4,-1.1
190911,45.1,-0.8
190912,38.0,-1.6
191001,35.0,-3.8
191002,38.4,-3.3
191003,49.8,4.6
191004,54.6,3.9
191005,61.0,3.2
191006,64.9,-0.6
191007,74.1,1.4
191008,72.0,0.5
191009,64.1,-1.8
191010,57.8,1.3
191011,46.6,0.7
191012,42.8,3.2
191101,38.6,-0.2
191102,36.6,-5.1
191103,48.5,3.3
191104,49.8,-0.9
191105,54.0,-3.8
191106,65.7,0.2
191107,75.2,2.5
191108,69.3,-2.2
191109,60.5,-5.4
191110,53.5,-3.0
191111,45.7,-0.2
191112,37.4,-2.2
191201,40.1,1.3
191202,43.7,2.0
191203,42.6,-2.6
191204,47.0,-3.7
191205,56.9,-0.9
191206,63.2,-2.3
191207,69.4,-3.3
191208,67.9,-3.6
191209,62.7,-3.2
191210,50.9,-5.6
191211,46.4,0.5
191212,39.4,-0.2
191301,34.6,-4.2
191302,39.4,-2.3
191303,42.9,-2.3
191304,49.4,-1.3
191305,59.0,1.2
191306,62.8,-2.7
191307,71.4,-1.3
191308,74.0,2.5
191309,67.4,1.5
191310,58.2,1.7
191311,45.8,-0.1
191312,39.2,-0.4
191401,39.8,1.0
191402,41.8,0.1
191403,50.7,5.5
191404,51.2,0.5
191405,60.3,2.5
191406,63.9,-1.6
191407,72.0,-0.7
191408,72.8,1.3
191409,62.0,-3.9
191410,54.9,-1.6
191411,48.8,2.9
191412,34.6,-5.0
191501,37.7,-1.1
191502,41.0,-0.7
191503,48.2,3.0
191504,52.8,2.1
191505,53.3,-4.5
191506,64.3,-1.2
191507,71.7,-1.0
191508,72.7,1.2
191509,64.6,-1.3
191510,57.4,0.9
191511,44.0,-1.9
191512,40.2,0.6
191601,32.9,-5.9
191602,44.8,3.1
191603,47.3,2.1
191604,52.5,1.8
191605,53.8,-4.0
191606,63.6,-1.9
191607,68.8,-3.9
191608,69.9,-1.6
191609,64.3,-1.6
191610,51.8,-4.7
191611,41.8,-4.1
191612,36.1,-3.5
191701,33.8,-5.0
191702,40.0,-1.7
191703,39.4,-5.8
191704,47.3,-3.4
191705,52.6,-5.2
191706,64.7,-0.8
191707,73.8,1.1
191708,73.1,1.6
191709,64.9,-1.0
191710,61.4,4.9
191711,48.6,2.7
191712,44.2,4.6
191801,41.7,2.9
191802,39.4,-2.3
191803,44.6,-0.6
