Date,Value,Anomaly
189501,30.4,-1.3
189502,36.1,2.5
189503,37.6,0.6
189504,43.5,1.0
189505,49.9,0.5
189506,58.0,1.1
189507,62.3,-1.7
189508,62.8,-0.2
189509,53.2,-4.3
189510,49.7,0.7
189511,38.0,-1.2
189512,31.8,-1.3
189601,37.1,5.4
189602,37.3,3.7
189603,38.3,1.3
189604,36.3,-6.2
189605,45.0,-4.4
189606,59.7,2.8
189607,66.7,2.7
189608,62.4,-0.6
189609,56.3,-1.2
189610,50.3,1.3
189611,39.1,-0.1
189612,37.6,4.5
189701,33.2,1.5
189702,30.6,-3.0
189703,31.1,-5.9
189704,45.9,3.4
189705,55.6,6.2
189706,55.8,-1.1
189707,62.3,-1.7
189708,64.2,1.2
189709,55.6,-1.9
189710,46.9,-2.1
189711,39.3,0.1
189712,33.0,-0.1
189801,26.5,-5.2
189802,36.8,3.2
189803,34.4,-2.6
189804,46.2,3.7
189805,47.5,-1.9
189806,57.2,0.3
189807,63.5,-0.5
189808,64.7,1.7
189809,56.4,-1.1
189810,47.8,-1.2
189811,38.3,-0.9
189812,31.7,-1.4
189901,34.4,2.7
189902,33.9,0.3
189903,36.0,-1.0
189904,43.3,0.8
189905,44.8,-4.6
189906,57.6,0.7
189907,62.5,-1.5
189908,57.4,-5.6
189909,58.0,0.5
189910,44.4,-4.6
189911,41.0,1.8
189912,32.6,-0.5
190001,38.2,6.5
190002,37.1,3.5
190003,41.4,4.4
190004,40.6,-1.9
190005,51.2,1.8
190006,59.5,2.6
190007,63.3,-0.7
190008,58.5,-4.5
190009,51.8,-5.7
190010,46.7,-2.3
190011,41.6,2.4
190012,35.0,1.9
190101,32.4,0.7
190102,32.8,-0.8
190103,38.7,1.7
190104,42.0,-0.5
190105,50.7,1.3
190106,57.6,0.7
190107,65.1,1.1
190108,65.2,2.2
190109,54.4,-3.1
190110,50.8,1.8
190111,41.8,2.6
190112,36.1,3.0
190201,31.7,0.0
190202,35.2,1.6
190203,33.8,-3.2
190204,40.8,-1.7
190205,47.1,-2.3
190206,59.1,2.2
190207,62.4,-1.6
190208,62.1,-0.9
190209,59.0,1.5
190210,47.0,-2.0
190211,36.1,-3.1
190212,33.2,0.1
190301,33.0,1.3
190302,24.2,-9.4
190303,34.8,-2.2
190304,40.3,-2.2
190305,51.7,2.3
190306,59.4,2.5
190307,60.2,-3.8
190308,62.6,-0.4
190309,55.7,-1.8
190310,51.4,2.4
190311,41.2,2.0
190312,34.2,1.1
190401,31.3,-0.4
190402,34.1,0.5
190403,35.8,-1.2
190404,42.4,-0.1
190405,52.8,3.4
190406,58.1,1.2
190407,62.0,-2.0
190408,64.7,1.7
190409,57.4,-0.1
190410,48.0,-1.0
190411,42.3,3.1
190412,33.2,0.1
190501,36.5,4.8
190502,35.0,1.4
190503,39.7,2.7
190504,44.8,2.3
190505,46.2,-3.2
190506,56.5,-0.4
190507,65.0,1.0
190508,63.4,0.4
190509,57.5,0.0
190510,48.2,-0.8
190511,39.2,0.0
190512,28.5,-4.6
190601,32.8,1.1
190602,36.8,3.2
190603,35.9,-1.1
190604,43.2,0.7
190605,45.8,-3.6
190606,54.0,-2.9
190607,66.9,2.9
190608,64.6,1.6
190609,56.6,-0.9
190610,49.0,0.0
190611,39.0,-0.2
190612,33.3,0.2
190701,29.8,-1.9
190702,40.1,6.5
190703,34.6,-2.4
190704,45.3,2.8
190705,47.7,-1.7
190706,53.0,-3.9
190707,61.7,-2.3
190708,60.4,-2.6
190709,55.7,-1.8
190710,52.8,3.8
190711,41.0,1.8
190712,35.8,2.7
190801,34.0,2.3
190802,34.0,0.4
190803,37.9,0.9
190804,46.8,4.3
190805,44.8,-4.6
190806,53.9,-3.0
190807,67.2,3.2
190808,64.5,1.5
190809,56.4,-1.1
190810,45.6,-3.4
190811,40.5,1.3
190812,30.0,-3.1
190901,35.4,3.7
190902,33.3,-0.3
190903,36.1,-0.9
190904,46.2,3.7
190905,48.6,-0.8
190906,57.4,0.5
