Date,Value,Anomaly
189501,30.6,-2.3
189502,36.2,0.4
189503,38.1,-0.9
189504,44.2,0.3
189505,50.4,-0.3
189506,58.8,0.9
189507,64.1,-1.9
189508,64.3,-0.9
189509,55.2,-4.2
189510,52.3,2.4
189511,36.9,-2.5
189512,30.5,-3.3
189601,35.8,2.9
189602,37.7,1.9
189603,40.0,1.0
189604,37.6,-6.3
189605,45.9,-4.8
189606,58.8,0.9
189607,69.0,3.0
189608,64.9,-0.3
189609,57.4,-2.0
189610,50.4,0.5
189611,35.7,-3.7
189612,36.7,2.9
189701,33.2,0.3
189702,34.1,-1.7
189703,32.4,-6.6
189704,46.3,2.4
189705,55.9,5.2
189706,56.2,-1.7
189707,63.6,-2.4
189708,66.8,1.6
189709,56.8,-2.6
189710,48.6,-1.3
189711,37.5,-1.9
189712,33.8,0.0
189801,28.9,-4.0
189802,37.0,1.2
189803,36.0,-3.0
189804,45.3,1.4
189805,48.8,-1.9
189806,56.9,-1.0
189807,64.9,-1.1
189808,66.4,1.2
189809,58.2,-1.2
189810,47.3,-2.6
189811,37.4,-2.0
189812,31.4,-2.4
189901,34.1,1.2
189902,33.3,-2.5
189903,36.8,-2.2
189904,42.1,-1.8
189905,44.8,-5.9
189906,56.1,-1.8
189907,64.8,-1.2
189908,58.7,-6.5
189909,60.6,1.2
189910,45.2,-4.7
189911,42.2,2.8
189912,33.1,-0.7
190001,37.3,4.4
190002,36.1,0.3
190003,43.1,4.1
190004,41.6,-2.3
190005,49.4,-1.3
190006,58.5,0.6
190007,64.7,-1.3
190008,60.3,-4.9
190009,55.0,-4.4
190010,45.9,-4.0
190011,40.4,1.0
190012,35.4,1.6
190101,28.3,-4.6
190102,32.4,-3.4
190103,38.9,-0.1
190104,40.5,-3.4
190105,50.0,-0.7
190106,54.5,-3.4
190107,63.6,-2.4
190108,66.4,1.2
190109,55.2,-4.2
190110,51.5,1.6
190111,40.9,1.5
190112,33.8,0.0
190201,32.4,-0.5
190202,38.2,2.4
190203,36.3,-2.7
190204,41.2,-2.7
190205,48.1,-2.6
190206,56.8,-1.1
190207,61.8,-4.2
190208,63.9,-1.3
190209,59.1,-0.3
190210,48.6,-1.3
190211,37.8,-1.6
190212,33.6,-0.2
190301,32.8,-0.1
190302,28.9,-6.9
190303,36.8,-2.2
190304,41.0,-2.9
190305,51.3,0.6
190306,58.8,0.9
190307,61.5,-4.5
190308,63.6,-1.6
190309,58.3,-1.1
190310,51.8,1.9
190311,40.5,1.1
190312,33.8,0.0
190401,31.6,-1.3
190402,32.2,-3.6
190403,34.9,-4.1
190404,43.6,-0.3
190405,53.1,2.4
190406,57.8,-0.1
190407,64.7,-1.3
190408,66.5,1.3
190409,59.8,0.4
190410,49.9,0.0
190411,42.9,3.5
190412,33.6,-0.2
190501,36.2,3.3
190502,37.5,1.7
190503,41.3,2.3
190504,45.6,1.7
190505,46.0,-4.7
190506,56.5,-1.4
190507,67.7,1.7
190508,65.3,0.1
190509,58.9,-0.5
190510,47.9,-2.0
190511,37.5,-1.9
190512,31.8,-2.0
190601,32.8,-0.1
190602,36.9,1.1
190603,37.0,-2.0
190604,45.9,2.0
190605,49.0,-1.7
190606,54.2,-3.7
190607,70.8,4.8
190608,66.6,1.4
190609,58.8,-0.6
190610,50.3,0.4
190611,38.8,-0.6
190612,35.2,1.4
190701,31.6,-1.3
190702,41.9,6.1
190703,35.7,-3.3
190704,46.6,2.7
190705,50.8,0.1
190706,56.2,-1.7
190707,65.4,-0.6
190708,63.2,-2.0
190709,58.0,-1.4
190710,53.6,3.7
190711,40.0,0.6
190712,36.5,2.7
190801,36.7,3.8
190802,35.0,-0.8
190803,37.8,-1.2
190804,45.6,1.7
190805,45.4,-5.3
190806,55.8,-2.1
190807,69.9,3.9
190808,65.1,-0.1
190809,58.9,-0.5
190810,47.6,-2.3
190811,42.0,2.6
190812,32.2,-1.6
190901,34.4,1.5
190902,34.4,-1.4
190903,38.1,-0.9
190904,44.5,0.6
190905,48.7,-2.0
190906,58.1,0.2
190907,62.4,-3.6
190908,64.9,-0.3
190909,60.4,1.0
190910,49.8,-0.1
190911,39.0,-0.4
190912,30.8,-3.0
191001,29.2,-3.7
191002,32.2,-3.6
191003,43.6,4.6
191004,47.8,3.9
191005,54.0,3.3
191006,56.3,-1.6
191007,68.1,2.1
191008,64.4,-0.8
191009,57.6,-1.8
191010,51.1,1.2
191011,39.2,-0.2
191012,35.6,1.8
191101,30.7,-2.2
191102,29.6,-6.2
191103,42.0,3.0
191104,42.9,-1.0
191105,47.4,-3.3
191106,57.6,-0.3
191107,69.1,3.1
191108,64.0,-1.2
191109,54.3,-5.1
191110,47.8,-2.1
191111,38.0,-1.4
191112,30.6,-3.2
191201,34.7,1.8
191202,37.8,2.0
191203,36.5,-2.5
191204,41.1,-2.8
191205,49.9,-0.8
191206,56.4,-1.5
191207,63.6,-2.4
191208,62.2,-3.0
191209,56.9,-2.5
191210,44.6,-5.3
191211,40.0,0.6
191212,32.8,-1.0
191301,27.4,-5.5
191302,31.4,-4.4
191303,36.1,-2.9
191304,42.3,-1.6
191305,51.4,0.7
191306,55.7,-2.2
191307,63.8,-2.2
191308,66.5,1.3
191309,59.6,0.2
191310,49.7,-0.2
191311,40.0,0.6
191312,33.4,-0.4
191401,34.8,1.9
191402,34.9,-0.9
191403,43.2,4.2
191404,44.5,0.6
191405,53.7,3.0
191406,56.5,-1.4
191407,65.5,-0.5
191408,66.2,1.0
191409,55.8,-3.6
191410,49.2,-0.7
191411,39.8,0.4
191412,28.2,-5.6
191501,32.1,-0.8
191502,35.4,-0.4
191503,41.6,2.6
191504,46.5,2.6
191505,47.4,-3.3
191506,56.3,-1.6
191507,64.1,-1.9
191508,67.0,1.8
191509,56.7,-2.7
191510,49.6,-0.3
191511,37.3,-2.1
191512,33.8,0.0
191601,25.8,-7.1
191602,38.6,2.8
191603,40.1,1.1
191604,44.5,0.6
191605,46.0,-4.7
191606,55.9,-2.0
191607,61.2,-4.8
191608,63.4,-1.8
191609,57.9,-1.5
191610,46.5,-3.4
191611,34.6,-4.8
191612,28.5,-5.3
191701,25.6,-7.3
191702,31.2,-4.6
191703,31.9,-7.1
191704,40.4,-3.5
191705,46.0,-4.7
191706,55.6,-2.3
191707,67.5,1.5
191708,66.2,1.0
191709,58.8,-0.6
191710,52.4,2.5
191711,41.1,1.7
191712,37.1,3.3
191801,35.5,2.6
191802,33.7,-2.1
191803,38.5,-0.5
191804,44.1,0.2
191805,48.1,-2.6
191806,63.0,5.1
191807,62.7,-3.3
191808,62.9,-2.3
191809,60.3,0.9
191810,50.5,0.6
191811,37.2,-2.2
191812,30.6,-3.2
191901,32.9,0.0
191902,32.5,-3.3
191903,37.2,-1.8
191904,45.2,1.3
191905,51.8,1.1
191906,55.9,-2.0
191907,66.2,0.2
191908,64.4,-0.8
191909,56.9,-2.5
191910,44.3,-5.6
191911,36.8,-2.6
191912,30.2,-3.6
192001,35.0,2.1
192002,35.5,-0.3
192003,36.0,-3.0
192004,41.1,-2.8
192005,48.6,-2.1
192006,57.6,-0.3
192007,63.4,-2.6
192008,66.8,1.6
192009,57.8,-1.6
192010,45.8,-4.1
192011,38.2,-1.2
192012,33.0,-0.8
192101,32.5,-0.4
192102,36.0,0.2
192103,41.0,2.0
192104,42.9,-1.0
192105,48.4,-2.3
192106,58.4,0.5
192107,65.0,-1.0
192108,63.6,-1.6
192109,55.4,-4.0
192110,51.0,1.1
192111,40.1,0.7
192112,33.2,-0.6
192201,27.1,-5.8
192202,30.5,-5.3
192203,34.6,-4.4
192204,40.3,-3.6
192205,50.1,-0.6
192206,59.7,1.8
192207,67.3,1.3
192208,62.3,-2.9
192209,59.5,0.1
192210,47.9,-2.0
192211,36.2,-3.2
192212,32.7,-1.1
192301,32.0,-0.9
192302,33.1,-2.7
192303,38.8,-0.2
192304,43.0,-0.9
192305,50.0,-0.7
192306,53.5,-4.4
192307,64.4,-1.6
192308,64.3,-0.9
192309,60.0,0.6
192310,47.3,-2.6
192311,41.2,1.8
192312,31.2,-2.6
192401,31.4,-1.5
192402,38.9,3.1
192403,36.5,-2.5
192404,46.4,2.5
192405,56.2,5.5
192406,59.5,1.6
192407,65.6,-0.4
192408,64.6,-0.6
192409,57.9,-1.5
192410,46.7,-3.2
192411,39.5,0.1
192412,29.3,-4.5
192501,35.7,2.8
192502,36.1,0.3
192503,40.0,1.0
192504,44.2,0.3
192505,51.3,0.6
192506,57.5,-0.4
192507,67.7,1.7
192508,62.7,-2.5
192509,54.1,-5.3
192510,47.6,-2.3
192511,38.1,-1.3
192512,34.5,0.7
192601,33.8,0.9
192602,37.9,2.1
192603,44.8,5.8
192604,49.4,5.5
192605,51.9,1.2
192606,62.8,4.9
192607,67.2,1.2
192608,64.4,-0.8
192609,55.4,-4.0
192610,50.1,0.2
192611,43.8,4.4
192612,33.0,-0.8
192701,35.3,2.4
192702,35.1,-0.7
192703,38.5,-0.5
192704,42.6,-1.3
192705,48.3,-2.4
192706,58.4,0.5
192707,65.3,-0.7
192708,63.8,-1.4
192709,55.4,-4.0
192710,49.1,-0.8
192711,41.3,1.9
192712,31.2,-2.6
192801,34.8,1.9
192802,37.2,1.4
192803,42.2,3.2
192804,42.6,-1.3
192805,55.2,4.5
192806,56.8,-1.1
192807,66.4,0.4
192808,64.4,-0.8
192809,58.9,-0.5
192810,48.8,-1.1
192811,38.7,-0.7
192812,31.2,-2.6
192901,30.5,-2.4
192902,32.6,-3.2
192903,39.4,0.4
192904,39.7,-4.2
192905,50.6,-0.1
192906,56.2,-1.7
192907,64.6,-1.4
192908,65.8,0.6
192909,56.9,-2.5
192910,51.0,1.1
192911,39.9,0.5
192912,38.5,4.7
193001,27.2,-5.7
193002,38.6,2.8
193003,41.6,2.6
193004,45.4,1.5
193005,46.9,-3.8
193006,57.2,-0.7
193007,65.0,-1.0
193008,64.0,-1.2
193009,57.1,-2.3
193010,48.6,-1.3
193011,39.0,-0.4
193012,32.0,-1.8
193101,33.9,1.0
193102,37.6,1.8
193103,40.6,1.6
193104,46.3,2.4
193105,55.6,4.9
193106,56.5,-1.4
193107,68.4,2.4
193108,66.4,1.2
193109,57.2,-2.2
193110,49.2,-0.7
193111,35.6,-3.8
193112,31.1,-2.7
193201,29.7,-3.2
193202,32.3,-3.5
193203,40.7,1.7
193204,41.9,-2.0
193205,49.5,-1.2
193206,60.2,2.3
193207,62.9,-3.1
193208,63.5,-1.7
193209,62.7,3.3
193210,50.3,0.4
193211,43.0,3.6
193212,28.6,-5.2
193301,28.7,-4.2
193302,29.2,-6.6
193303,37.7,-1.3
193304,44.3,0.4
193305,44.4,-6.3
193306,57.2,-0.7
193307,67.6,1.6
193308,66.1,0.9
193309,55.4,-4.0
193310,52.8,2.9
193311,40.9,1.5
193312,35.5,1.7
193401,38.2,5.3
193402,40.0,4.2
193403,47.6,8.6
193404,49.8,5.9
193405,53.5,2.8
193406,57.3,-0.6
193407,64.6,-1.4
193408,67.2,2.0
193409,60.4,1.0
193410,50.8,0.9
193411,41.6,2.2
193412,35.7,1.9
193501,30.6,-2.3
193502,36.8,1.0
193503,36.0,-3.0
193504,43.8,-0.1
193505,51.2,0.5
193506,58.8,0.9
193507,63.4,-2.6
193508,65.9,0.7
193509,62.4,3.0
193510,48.9,-1.0
193511,36.8,-2.6
193512,34.2,0.4
193601,35.1,2.2
193602,36.3,0.5
193603,40.3,1.3
193604,46.7,2.8
193605,53.0,2.3
193606,58.2,0.3
193607,65.9,-0.1
193608,66.0,0.8
193609,59.6,0.2
193610,52.5,2.6
193611,39.0,-0.4
193612,33.2,-0.6
193701,21.0,-11.9
193702,30.7,-5.1
193703,38.3,-0.7
193704,42.0,-1.9
193705,52.4,1.7
193706,57.8,-0.1
193707,67.4,1.4
193708,63.9,-1.3
193709,59.9,0.5
193710,51.4,1.5
193711,41.5,2.1
193712,36.5,2.7
193801,35.2,2.3
193802,32.8,-3.0
193803,35.4,-3.6
193804,44.5,0.6
193805,51.5,0.8
193806,60.7,2.8
193807,68.3,2.3
193808,63.8,-1.4
193809,61.6,2.2
193810,49.2,-0.7
193811,36.1,-3.3
193812,35.6,1.8
193901,33.2,0.3
193902,32.2,-3.6
193903,41.8,2.8
193904,48.8,4.9
193905,52.7,2.0
193906,57.5,-0.4
193907,67.5,1.5
193908,67.7,2.5
193909,60.2,0.8
193910,50.2,0.3
193911,40.2,0.8
193912,38.3,4.5
194001,37.3,4.4
194002,38.2,2.4
194003,41.9,2.9
194004,45.8,1.9
194005,54.5,3.8
194006,63.3,5.4
194007,64.7,-1.3
194008,68.0,2.8
194009,58.2,-1.2
194010,50.6,0.7
194011,38.5,-0.9
194012,35.8,2.0
194101,36.6,3.7
194102,39.8,4.0
194103,42.5,3.5
194104,43.4,-0.5
194105,51.3,0.6
194106,55.3,-2.6
194107,68.0,2.0
194108,63.5,-1.7
194109,55.6,-3.8
194110,47.9,-2.0
194111,42.3,2.9
194112,35.4,1.6
194201,33.0,0.1
194202,34.7,-1.1
194203,37.9,-1.1
194204,42.9,-1.0
194205,47.0,-3.7
194206,55.9,-2.0
194207,67.1,1.1
194208,66.6,1.4
194209,60.0,0.6
194210,51.5,1.6
194211,39.6,0.2
194212,35.7,1.9
194301,32.4,-0.5
194302,37.6,1.8
194303,41.0,2.0
194304,46.2,2.3
194305,49.7,-1.0
194306,53.6,-4.3
