Date,Value,Anomaly
189501,45.8,0.0
189502,51.8,1.3
189503,53.1,-0.6
189504,58.2,0.3
189505,63.3,0.0
189506,70.6,1.4
189507,70.7,-1.9
189508,70.8,-1.1
189509,66.2,-3.2
189510,63.2,0.3
189511,54.0,0.6
189512,44.7,-1.8
189601,49.6,3.8
189602,53.6,3.1
189603,55.4,1.7
189604,54.0,-3.9
189605,61.3,-2.0
189606,70.1,0.9
189607,75.0,2.4
189608,72.0,0.1
189609,68.1,-1.3
189610,63.8,0.9
189611,52.2,-1.2
189612,49.6,3.1
189701,45.0,-0.8
189702,48.5,-2.0
189703,48.7,-5.0
189704,60.2,2.3
189705,66.5,3.2
189706,69.6,0.4
189707,73.4,0.8
189708,71.7,-0.2
189709,68.9,-0.5
189710,61.2,-1.7
189711,51.5,-1.9
189712,46.2,-0.3
189801,42.4,-3.4
189802,51.8,1.3
189803,51.9,-1.8
189804,61.0,3.1
189805,61.0,-2.3
189806,70.9,1.7
189807,73.7,1.1
189808,72.8,0.9
189809,68.8,-0.6
189810,63.6,0.7
189811,53.6,0.2
189812,45.2,-1.3
189901,49.9,4.1
189902,50.7,0.2
189903,53.2,-0.5
189904,58.7,0.8
189905,60.3,-3.0
189906,70.2,1.0
189907,71.7,-0.9
189908,69.0,-2.9
189909,69.9,0.5
189910,60.7,-2.2
189911,55.3,1.9
189912,45.8,-0.7
190001,48.0,2.2
190002,51.4,0.9
190003,56.6,2.9
190004,56.7,-1.2
190005,65.1,1.8
190006,69.9,0.7
190007,73.3,0.7
190008,70.5,-1.4
190009,68.2,-1.2
190010,61.8,-1.1
190011,56.1,2.7
190012,47.6,1.1
190101,45.9,0.1
190102,51.2,0.7
190103,55.8,2.1
190104,55.9,-2.0
190105,62.6,-0.7
190106,68.9,-0.3
190107,70.6,-2.0
190108,71.1,-0.8
190109,66.6,-2.8
190110,65.9,3.0
190111,56.6,3.2
190112,47.5,1.0
190201,42.8,-3.0
190202,51.6,1.1
190203,51.2,-2.5
190204,56.0,-1.9
190205,60.2,-3.1
190206,70.0,0.8
190207,73.3,0.7
190208,72.1,0.2
190209,70.7,1.3
190210,62.4,-0.5
190211,52.2,-1.2
190212,47.2,0.7
190301,44.5,-1.3
190302,45.7,-4.8
190303,52.0,-1.7
190304,56.0,-1.9
190305,64.4,1.1
190306,70.5,1.3
190307,69.7,-2.9
190308,70.6,-1.3
190309,69.3,-0.1
190310,65.4,2.5
190311,54.7,1.3
190312,47.3,0.8
190401,44.9,-0.9
190402,48.8,-1.7
190403,51.4,-2.3
190404,57.1,-0.8
190405,66.7,3.4
190406,70.6,1.4
190407,70.5,-2.1
190408,70.6,-1.3
190409,71.1,1.7
190410,62.9,0.0
190411,54.8,1.4
190412,46.3,-0.2
190501,47.8,2.0
190502,51.6,1.1
190503,56.0,2.3
190504,58.1,0.2
190505,59.6,-3.7
190506,66.6,-2.6
190507,72.1,-0.5
190508,71.0,-0.9
190509,68.6,-0.8
190510,61.8,-1.1
190511,53.1,-0.3
190512,44.8,-1.7
190601,47.6,1.8
190602,54.0,3.5
190603,52.6,-1.1
190604,58.0,0.1
190605,60.6,-2.7
190606,66.7,-2.5
190607,75.0,2.4
190608,72.0,0.1
190609,69.5,0.1
190610,64.5,1.6
190611,53.9,0.5
190612,47.5,1.0
190701,45.3,-0.5
190702,54.4,3.9
190703,50.8,-2.9
190704,59.3,1.4
190705,62.2,-1.1
190706,65.8,-3.4
190707,70.0,-2.6
190708,70.3,-1.6
190709,66.1,-3.3
190710,64.0,1.1
190711,55.6,2.2
190712,48.4,1.9
190801,47.1,1.3
190802,48.5,-2.0
190803,53.6,-0.1
190804,59.4,1.5
190805,60.7,-2.6
190806,66.4,-2.8
190807,74.3,1.7
190808,70.7,-1.2
190809,69.6,0.2
190810,60.3,-2.6
190811,53.5,0.1
190812,43.2,-3.3
190901,49.5,3.7
190902,49.5,-1.0
190903,50.8,-2.9
190904,58.3,0.4
190905,61.6,-1.7
190906,67.9,-1.3
190907,70.8,-1.8
190908,70.4,-1.5
190909,69.0,-0.4
190910,61.2,-1.7
190911,52.9,-0.5
190912,44.7,-1.8
191001,42.9,-2.9
191002,47.6,-2.9
191003,56.3,2.6
191004,59.1,1.2
191005,65.5,2.2
191006,66.2,-3.0
191007,71.7,-0.9
191008,70.8,-1.1
191009,65.6,-3.8
191010,64.1,1.2
191011,54.2,0.8
191012,48.7,2.2
191101,46.7,0.9
191102,46.7,-3.8
191103,54.5,0.8
191104,55.1,-2.8
191105,59.6,-3.7
191106,66.2,-3.0
191107,71.6,-1.0
191108,67.6,-4.3
191109,64.2,-5.2
191110,60.7,-2.2
191111,53.1,-0.3
191112,46.5,0.0
191201,47.8,2.0
191202,52.5,2.0
191203,51.1,-2.6
191204,53.6,-4.3
191205,62.8,-0.5
191206,68.8,-0.4
191207,70.7,-1.9
191208,71.0,-0.9
191209,68.8,-0.6
191210,59.3,-3.6
191211,52.5,-0.9
191212,46.4,-0.1
191301,43.9,-1.9
191302,50.9,0.4
191303,52.4,-1.3
191304,56.8,-1.1
191305,64.0,0.7
191306,67.1,-2.1
191307,74.1,1.5
191308,75.4,3.5
191309,71.9,2.5
191310,64.5,1.6
191311,53.6,0.2
191312,46.4,-0.1
191401,48.1,2.3
191402,50.8,0.3
191403,58.4,4.7
191404,59.1,1.2
191405,63.0,-0.3
191406,66.7,-2.5
191407,70.3,-2.3
191408,70.8,-1.1
191409,66.5,-2.9
191410,62.6,-0.3
191411,54.8,1.4
191412,45.3,-1.2
191501,47.1,1.3
191502,50.2,-0.3
191503,56.5,2.8
191504,58.2,0.3
191505,59.8,-3.5
191506,68.5,-0.7
191507,72.3,-0.3
191508,73.7,1.8
191509,68.4,-1.0
191510,64.4,1.5
191511,53.3,-0.1
191512,48.2,1.7
191601,42.9,-2.9
191602,53.3,2.8
191603,55.7,2.0
191604,60.0,2.1
191605,61.2,-2.1
191606,68.0,-1.2
191607,72.9,0.3
191608,71.2,-0.7
191609,69.1,-0.3
191610,58.4,-4.5
191611,50.8,-2.6
191612,44.9,-1.6
191701,43.4,-2.4
191702,49.9,-0.6
191703,50.3,-3.4
191704,57.0,-0.9
191705,59.2,-4.1
191706,70.5,1.3
191707,75.6,3.0
191708,71.4,-0.5
191709,70.3,0.9
191710,65.2,2.3
191711,54.4,1.0
191712,49.6,3.1
191801,48.1,2.3
191802,49.2,-1.3
191803,53.0,-0.7
191804,58.5,0.6
191805,61.2,-2.1
191806,74.5,5.3
191807,72.0,-0.6
191808,73.2,1.3
191809,67.8,-1.6
191810,62.6,-0.3
191811,50.3,-3.1
191812,42.2,-4.3
191901,45.3,-0.5
191902,48.4,-2.1
191903,51.0,-2.7
191904,57.9,0.0
191905,64.1,0.8
191906,68.5,-0.7
191907,70.9,-1.7
191908,71.4,-0.5
191909,68.6,-0.8
191910,59.5,-3.4
191911,51.8,-1.6
191912,45.4,-1.1
192001,47.6,1.8
192002,50.4,-0.1
192003,51.0,-2.7
192004,56.7,-1.2
192005,63.3,0.0
192006,69.5,0.3
192007,70.3,-2.3
192008,73.2,1.3
192009,66.9,-2.5
192010,59.0,-3.9
192011,51.7,-1.7
192012,46.5,0.0
192101,45.9,0.1
192102,49.8,-0.7
192103,53.9,0.2
192104,56.6,-1.3
192105,59.8,-3.5
192106,71.2,2.0
192107,72.9,0.3
192108,69.8,-2.1
192109,68.0,-1.4
192110,63.3,0.4
192111,53.8,0.4
192112,48.9,2.4
192201,41.3,-4.5
192202,47.0,-3.5
192203,51.1,-2.6
192204,54.9,-3.0
192205,63.9,0.6
192206,69.0,-0.2
192207,73.0,0.4
192208,71.2,-0.7
192209,72.1,2.7
192210,60.8,-2.1
192211,49.4,-4.0
192212,47.2,0.7
192301,43.6,-2.2
192302,48.8,-1.7
192303,56.3,2.6
192304,56.4,-1.5
192305,62.6,-0.7
192306,65.0,-4.2
192307,71.2,-1.4
192308,71.4,-0.5
192309,70.6,1.2
192310,61.8,-1.1
192311,56.9,3.5
192312,45.6,-0.9
192401,44.7,-1.1
192402,54.4,3.9
192403,53.2,-0.5
192404,58.9,1.0
192405,66.3,3.0
192406,68.6,-0.6
192407,70.0,-2.6
192408,70.2,-1.7
192409,68.6,-0.8
192410,59.4,-3.5
192411,52.1,-1.3
192412,43.3,-3.2
192501,47.2,1.4
192502,52.3,1.8
192503,53.9,0.2
192504,57.4,-0.5
192505,62.8,-0.5
192506,70.2,1.0
192507,73.1,0.5
192508,69.9,-2.0
192509,64.9,-4.5
192510,60.4,-2.5
192511,52.3,-1.1
192512,46.8,0.3
192601,42.7,-3.1
192602,52.1,1.6
192603,57.5,3.8
192604,61.7,3.8
192605,64.9,1.6
192606,71.5,2.3
192607,73.9,1.3
192608,71.0,-0.9
