Date,Value,Anomaly
189501,46.3,-0.1
189502,50.7,1.7
189503,50.1,-0.5
189504,53.5,0.2
189505,57.5,0.2
189506,64.0,1.8
189507,64.0,-1.5
189508,65.0,-0.6
189509,61.2,-3.3
189510,59.9,0.3
189511,52.0,-0.1
189512,45.1,-1.8
189601,50.0,3.6
189602,51.8,2.8
189603,52.3,1.7
189604,49.3,-4.0
189605,55.4,-1.9
189606,63.2,1.0
189607,68.0,2.5
189608,65.9,0.3
189609,63.2,-1.3
189610,60.0,0.4
189611,50.2,-1.9
189612,49.8,2.9
189701,46.3,-0.1
189702,47.2,-1.8
189703,46.0,-4.6
189704,55.2,1.9
189705,60.3,3.0
189706,62.4,0.2
189707,66.2,0.7
189708,65.4,-0.2
189709,63.9,-0.6
189710,58.2,-1.4
189711,50.1,-2.0
189712,46.4,-0.5
189801,43.1,-3.3
189802,49.5,0.5
189803,48.6,-2.0
189804,55.0,1.7
189805,55.4,-1.9
189806,63.8,1.6
189807,65.4,-0.1
189808,65.7,0.1
189809,63.2,-1.3
189810,60.1,0.5
189811,51.4,-0.7
189812,45.8,-1.1
189901,49.2,2.8
189902,47.9,-1.1
189903,50.3,-0.3
189904,53.5,0.2
189905,54.2,-3.1
189906,62.1,-0.1
189907,63.9,-1.6
189908,63.0,-2.6
189909,64.6,0.1
189910,57.0,-2.6
189911,54.1,2.0
189912,46.6,-0.3
190001,48.9,2.5
190002,50.1,1.1
190003,53.4,2.8
190004,52.3,-1.0
190005,58.5,1.2
190006,62.9,0.7
190007,65.5,0.0
190008,64.7,-0.9
190009,63.6,-0.9
190010,57.7,-1.9
190011,53.6,1.5
190012,47.7,0.8
190101,46.6,0.2
190102,49.1,0.1
190103,52.4,1.8
190104,50.6,-2.7
190105,56.2,-1.1
190106,61.6,-0.6
190107,63.3,-2.2
190108,64.7,-0.9
190109,62.4,-2.1
190110,61.8,2.2
190111,54.4,2.3
190112,48.1,1.2
190201,44.1,-2.3
190202,50.3,1.3
190203,49.0,-1.6
190204,52.0,-1.3
190205,55.1,-2.2
190206,62.7,0.5
190207,66.0,0.5
190208,65.8,0.2
190209,65.7,1.2
190210,58.6,-1.0
190211,50.9,-1.2
190212,46.8,-0.1
190301,45.7,-0.7
190302,44.5,-4.5
190303,48.6,-2.0
190304,51.6,-1.7
190305,58.0,0.7
190306,64.3,2.1
190307,63.9,-1.6
190308,65.1,-0.5
190309,64.4,-0.1
190310,62.2,2.6
190311,52.8,0.7
190312,47.3,0.4
190401,45.6,-0.8
190402,46.6,-2.4
190403,48.4,-2.2
190404,53.0,-0.3
190405,60.8,3.5
190406,63.8,1.6
190407,64.4,-1.1
190408,64.6,-1.0
190409,66.0,1.5
190410,59.8,0.2
190411,53.5,1.4
190412,46.7,-0.2
190501,48.1,1.7
190502,50.4,1.4
190503,53.4,2.8
190504,54.0,0.7
190505,54.4,-2.9
190506,60.8,-1.4
190507,66.4,0.9
190508,65.6,0.0
190509,64.3,-0.2
190510,58.7,-0.9
190511,51.9,-0.2
190512,45.2,-1.7
190601,47.6,1.2
190602,52.0,3.0
190603,49.6,-1.0
190604,54.1,0.8
190605,56.2,-1.1
190606,61.4,-0.8
190607,68.4,2.9
190608,66.2,0.6
190609,65.2,0.7
190610,59.9,0.3
190611,52.4,0.3
190612,48.3,1.4
190701,44.6,-1.8
190702,53.3,4.3
190703,47.6,-3.0
190704,55.1,1.8
190705,56.4,-0.9
190706,60.1,-2.1
190707,64.6,-0.9
190708,64.4,-1.2
190709,61.4,-3.1
190710,60.0,0.4
190711,53.6,1.5
190712,48.1,1.2
190801,46.8,0.4
190802,46.5,-2.5
190803,50.8,0.2
190804,54.5,1.2
190805,54.4,-2.9
190806,60.4,-1.8
190807,67.2,1.7
190808,64.7,-0.9
190809,64.9,0.4
190810,57.6,-2.0
190811,51.7,-0.4
190812,43.0,-3.9
190901,49.4,3.0
190902,47.5,-1.5
190903,47.6,-3.0
190904,54.7,1.4
190905,55.8,-1.5
190906,61.5,-0.7
190907,64.6,-0.9
190908,64.1,-1.5
190909,64.0,-0.5
190910,57.3,-2.3
190911,50.7,-1.4
190912,44.6,-2.3
191001,42.7,-3.7
191002,46.2,-2.8
191003,52.9,2.3
191004,54.9,1.6
191005,59.8,2.5
191006,60.4,-1.8
191007,64.8,-0.7
191008,63.8,-1.8
191009,60.7,-3.8
191010,60.4,0.8
191011,51.5,-0.6
191012,48.8,1.9
191101,46.6,0.2
191102,44.9,-4.1
191103,50.8,0.2
191104,50.0,-3.3
191105,53.6,-3.7
191106,59.8,-2.4
191107,64.6,-0.9
191108,62.7,-2.9
191109,60.1,-4.4
191110,57.6,-2.0
191111,52.0,-0.1
191112,46.5,-0.4
191201,49.0,2.6
191202,50.9,1.9
191203,48.1,-2.5
191204,49.9,-3.4
191205,58.2,0.9
191206,62.2,0.0
191207,63.0,-2.5
191208,65.1,-0.5
191209,63.3,-1.2
191210,55.6,-4.0
191211,51.1,-1.0
191212,46.5,-0.4
191301,44.1,-2.3
191302,48.4,-0.6
191303,49.1,-1.5
191304,52.2,-1.1
191305,57.9,0.6
191306,61.2,-1.0
191307,67.9,2.4
191308,69.0,3.4
191309,67.3,2.8
191310,61.2,1.6
191311,51.6,-0.5
191312,46.4,-0.5
191401,48.9,2.5
191402,50.5,1.5
191403,55.5,4.9
191404,54.9,1.6
191405,57.2,-0.1
191406,60.9,-1.3
191407,64.3,-1.2
191408,64.1,-1.5
191409,61.4,-3.1
191410,58.1,-1.5
191411,52.1,0.0
191412,44.5,-2.4
191501,46.8,0.4
191502,48.0,-1.0
191503,52.7,2.1
191504,54.4,1.1
191505,54.6,-2.7
191506,62.3,0.1
191507,66.3,0.8
191508,67.2,1.6
191509,63.0,-1.5
191510,60.1,0.5
191511,50.9,-1.2
191512,47.5,0.6
191601,42.9,-3.5
191602,51.8,2.8
191603,52.1,1.5
191604,55.6,2.3
191605,55.9,-1.4
191606,60.8,-1.4
191607,66.8,1.3
191608,65.7,0.1
191609,64.8,0.3
191610,54.8,-4.8
191611,48.5,-3.6
191612,44.2,-2.7
191701,43.2,-3.2
191702,48.1,-0.9
191703,47.3,-3.3
191704,52.3,-1.0
191705,54.1,-3.2
191706,63.6,1.4
191707,67.5,2.0
191708,64.2,-1.4
191709,65.7,1.2
191710,62.0,2.4
191711,53.3,1.2
191712,49.9,3.0
191801,48.7,2.3
191802,47.1,-1.9
191803,49.9,-0.7
191804,52.9,-0.4
191805,54.7,-2.6
191806,65.5,3.3
191807,64.2,-1.3
191808,65.1,-0.5
191809,62.1,-2.4
191810,60.0,0.4
191811,50.0,-2.1
191812,43.9,-3.0
191901,45.5,-0.9
191902,46.1,-2.9
191903,47.9,-2.7
191904,52.8,-0.5
191905,58.2,0.9
191906,61.4,-0.8
191907,63.5,-2.0
191908,65.4,-0.2
191909,63.2,-1.3
191910,55.9,-3.7
191911,50.4,-1.7
191912,44.6,-2.3
192001,47.6,1.2
192002,47.4,-1.6
192003,47.4,-3.2
192004,51.5,-1.8
192005,57.7,0.4
192006,62.1,-0.1
192007,62.9,-2.6
192008,65.9,0.3
192009,62.4,-2.1
192010,56.0,-3.6
192011,50.3,-1.8
192012,47.0,0.1
192101,46.3,-0.1
192102,49.0,0.0
192103,51.0,0.4
192104,52.5,-0.8
192105,53.5,-3.8
192106,63.7,1.5
192107,65.1,-0.4
192108,63.7,-1.9
192109,63.7,-0.8
192110,60.4,0.8
192111,52.9,0.8
192112,48.8,1.9
192201,42.2,-4.2
192202,45.2,-3.8
192203,47.3,-3.3
192204,50.8,-2.5
192205,58.3,1.0
192206,62.0,-0.2
192207,65.5,0.0
192208,64.7,-0.9
192209,66.4,1.9
192210,56.6,-3.0
192211,48.7,-3.4
192212,46.8,-0.1
192301,44.3,-2.1
192302,47.5,-1.5
192303,52.4,1.8
192304,51.8,-1.5
192305,56.8,-0.5
192306,58.0,-4.2
192307,63.4,-2.1
192308,65.4,-0.2
192309,65.1,0.6
192310,58.8,-0.8
192311,55.9,3.8
192312,46.2,-0.7
192401,45.7,-0.7
192402,52.8,3.8
192403,49.9,-0.7
192404,54.6,1.3
192405,59.5,2.2
192406,61.2,-1.0
192407,62.6,-2.9
192408,63.6,-2.0
192409,63.6,-0.9
192410,56.1,-3.5
192411,50.6,-1.5
192412,43.9,-3.0
192501,48.4,2.0
192502,50.3,1.3
192503,50.3,-0.3
192504,52.6,-0.7
192505,56.8,-0.5
192506,62.7,0.5
192507,65.2,-0.3
192508,63.4,-2.2
192509,60.8,-3.7
192510,58.2,-1.4
192511,50.6,-1.5
192512,47.7,0.8
192601,43.3,-3.1
192602,51.0,2.0
192603,54.4,3.8
192604,56.7,3.4
192605,59.0,1.7
192606,63.2,1.0
192607,66.5,1.0
192608,65.0,-0.6
192609,61.0,-3.5
192610,60.8,1.2
192611,55.8,3.7
192612,46.5,-0.4
192701,47.5,1.1
192702,48.5,-0.5
192703,49.6,-1.0
192704,51.9,-1.4
192705,56.1,-1.2
192706,61.6,-0.6
192707,64.4,-1.1
192708,63.5,-2.1
192709,62.5,-2.0
192710,60.0,0.4
192711,53.2,1.1
192712,46.6,-0.3
192801,46.6,0.2
192802,49.4,0.4
192803,52.8,2.2
192804,52.5,-0.8
192805,58.3,1.0
192806,62.7,0.5
192807,63.9,-1.6
192808,64.1,-1.5
192809,63.5,-1.0
192810,57.9,-1.7
192811,50.9,-1.2
192812,44.2,-2.7
192901,42.7,-3.7
192902,46.1,-2.9
192903,49.4,-1.2
192904,48.6,-4.7
192905,56.0,-1.3
192906,62.1,-0.1
192907,64.6,-0.9
192908,65.1,-0.5
192909,62.2,-2.3
192910,60.6,1.0
192911,52.6,0.5
192912,50.8,3.9
193001,44.7,-1.7
193002,51.9,2.9
193003,52.3,1.7
193004,53.8,0.5
193005,53.7,-3.6
193006,61.4,-0.8
193007,63.1,-2.4
193008,64.8,-0.8
193009,61.1,-3.4
193010,59.6,0.0
193011,52.6,0.5
193012,45.7,-1.2
193101,47.5,1.1
193102,51.4,2.4
193103,52.7,2.1
193104,55.2,1.9
193105,62.1,4.8
193106,62.5,0.3
193107,68.5,3.0
193108,65.4,-0.2
193109,62.4,-2.1
193110,58.0,-1.6
193111,49.9,-2.2
193112,44.6,-2.3
193201,45.4,-1.0
193202,47.1,-1.9
193203,53.5,2.9
193204,51.7,-1.6
193205,56.7,-0.6
193206,62.9,0.7
193207,65.4,-0.1
193208,65.7,0.1
193209,66.2,1.7
193210,59.4,-0.2
193211,55.6,3.5
193212,42.4,-4.5
193301,42.7,-3.7
193302,45.8,-3.2
193303,50.8,0.2
193304,52.7,-0.6
193305,52.8,-4.5
193306,60.0,-2.2
193307,65.7,0.2
193308,65.3,-0.3
193309,61.9,-2.6
193310,61.9,2.3
193311,53.7,1.6
193312,46.8,-0.1
193401,49.0,2.6
193402,50.8,1.8
193403,57.0,6.4
193404,56.5,3.2
193405,58.9,1.6
193406,61.4,-0.8
193407,64.6,-0.9
193408,65.9,0.3
193409,65.4,0.9
193410,59.3,-0.3
193411,53.6,1.5
193412,48.7,1.8
193501,45.9,-0.5
193502,48.6,-0.4
193503,46.8,-3.8
193504,53.4,0.1
193505,57.2,-0.1
193506,64.7,2.5
193507,64.8,-0.7
193508,65.3,-0.3
193509,63.1,-1.4
193510,58.1,-1.5
193511,49.3,-2.8
193512,47.0,0.1
193601,49.5,3.1
193602,48.5,-0.5
193603,53.0,2.4
193604,54.2,0.9
193605,59.7,2.4
193606,63.1,0.9
193607,66.8,1.3
193608,66.7,1.1
193609,66.0,1.5
193610,61.1,1.5
193611,52.1,0.0
193612,46.2,-0.7
193701,39.4,-7.0
