Date,Value,Anomaly
189501,43.6,-1.5
189502,49.3,-0.3
189503,50.5,-2.6
189504,55.6,-2.4
189505,62.2,-2.1
189506,70.9,-0.2
189507,73.3,-3.0
189508,72.2,-2.8
189509,66.5,-4.4
189510,62.0,-1.1
189511,49.8,-2.8
189512,42.7,-2.8
189601,47.8,2.7
189602,50.4,0.8
189603,52.9,-0.2
189604,51.7,-6.3
189605,59.8,-4.5
189606,70.5,-0.6
189607,77.2,0.9
189608,72.7,-2.3
189609,66.8,-4.1
189610,61.8,-1.3
189611,50.0,-2.6
189612,47.5,2.0
189701,42.3,-2.8
189702,45.7,-3.9
189703,45.6,-7.5
189704,58.2,0.2
189705,65.8,1.5
189706,69.7,-1.4
189707,75.7,-0.6
189708,73.6,-1.4
189709,68.2,-2.7
189710,60.0,-3.1
189711,50.4,-2.2
189712,44.6,-0.9
189801,41.0,-4.1
189802,50.9,1.3
189803,50.5,-2.6
189804,58.4,0.4
189805,59.7,-4.6
189806,70.4,-0.7
189807,74.5,-1.8
189808,74.6,-0.4
189809,69.0,-1.9
189810,63.3,0.2
189811,52.4,-0.2
189812,43.9,-1.6
189901,48.3,3.2
189902,49.3,-0.3
189903,51.6,-1.5
189904,57.8,-0.2
189905,60.4,-3.9
189906,72.4,1.3
189907,75.4,-0.9
189908,70.9,-4.1
189909,72.0,1.1
189910,59.9,-3.2
189911,53.4,0.8
189912,43.6,-1.9
190001,46.5,1.4
190002,48.9,-0.7
190003,55.4,2.3
190004,54.9,-3.1
190005,64.4,0.1
190006,71.7,0.6
190007,76.3,0.0
190008,72.7,-2.3
190009,69.1,-1.8
190010,61.4,-1.7
190011,55.6,3.0
190012,46.7,1.2
190101,45.3,0.2
190102,49.9,0.3
190103,53.9,0.8
190104,54.8,-3.2
190105,62.4,-1.9
190106,70.0,-1.1
190107,74.4,-1.9
190108,75.6,0.6
190109,67.5,-3.4
190110,65.5,2.4
190111,54.7,2.1
190112,44.8,-0.7
190201,41.1,-4.0
190202,49.5,-0.1
190203,48.6,-4.5
190204,54.6,-3.4
190205,59.9,-4.4
190206,71.7,0.6
190207,75.6,-0.7
190208,74.5,-0.5
190209,71.9,1.0
190210,62.4,-0.7
190211,50.6,-2.0
190212,45.2,-0.3
190301,42.9,-2.2
190302,43.2,-6.4
190303,51.5,-1.6
190304,54.6,-3.4
190305,64.0,-0.3
190306,72.8,1.7
190307,73.3,-3.0
190308,74.8,-0.2
190309,70.3,-0.6
190310,64.3,1.2
190311,54.4,1.8
190312,45.9,0.4
190401,43.9,-1.2
190402,49.0,-0.6
190403,52.8,-0.3
190404,56.5,-1.5
190405,66.6,2.3
190406,72.9,1.8
190407,75.1,-1.2
190408,76.0,1.0
190409,73.0,2.1
190410,62.7,-0.4
190411,53.8,1.2
190412,44.7,-0.8
190501,48.0,2.9
190502,51.2,1.6
190503,54.6,1.5
190504,59.2,1.2
190505,61.7,-2.6
190506,69.8,-1.3
190507,76.9,0.6
190508,74.6,-0.4
190509,70.4,-0.5
190510,62.2,-0.9
190511,51.7,-0.9
190512,42.9,-2.6
190601,47.5,2.4
190602,52.9,3.3
190603,52.0,-1.1
190604,56.5,-1.5
190605,62.0,-2.3
190606,69.5,-1.6
190607,80.9,4.6
190608,77.8,2.8
190609,71.4,0.5
190610,65.2,2.1
190611,52.8,0.2
190612,46.9,1.4
190701,45.0,-0.1
190702,53.8,4.2
190703,50.5,-2.6
190704,59.6,1.6
190705,63.6,-0.7
190706,69.0,-2.1
190707,75.7,-0.6
190708,73.9,-1.1
190709,67.6,-3.3
190710,63.1,0.0
190711,53.2,0.6
190712,47.7,2.2
190801,46.4,1.3
190802,46.6,-3.0
190803,51.2,-1.9
190804,59.4,1.4
190805,60.7,-3.6
190806,68.0,-3.1
190807,80.3,4.0
190808,75.2,0.2
190809,70.8,-0.1
190810,60.5,-2.6
190811,53.9,1.3
190812,42.4,-3.1
190901,50.4,5.3
190902,48.6,-1.0
190903,49.4,-3.7
190904,58.9,0.9
190905,62.3,-2.0
190906,69.0,-2.1
