Date,Value,Anomaly
189501,46.0,0.4
189502,53.8,3.1
189503,54.8,0.3
189504,60.7,1.0
189505,66.9,0.3
189506,75.4,1.8
189507,75.7,-2.5
189508,75.6,-0.9
189509,68.5,-3.8
189510,65.2,1.1
189511,54.6,1.1
189512,45.7,-0.6
189601,50.3,4.7
189602,54.7,4.0
189603,56.5,2.0
189604,55.4,-4.3
189605,63.6,-3.0
189606,75.0,1.4
189607,80.4,2.2
189608,75.6,-0.9
189609,70.8,-1.5
189610,65.6,1.5
189611,53.4,-0.1
189612,50.9,4.6
189701,46.1,0.5
189702,49.2,-1.5
189703,49.8,-4.7
189704,63.5,3.8
189705,70.9,4.3
189706,73.4,-0.2
189707,78.3,0.1
189708,76.5,0.0
189709,70.7,-1.6
189710,62.4,-1.7
189711,52.7,-0.8
189712,47.2,0.9
189801,42.3,-3.3
189802,53.4,2.7
189803,53.1,-1.4
189804,63.8,4.1
189805,64.4,-2.2
189806,74.3,0.7
189807,78.4,0.2
189808,77.4,0.9
189809,71.0,-1.3
189810,64.2,0.1
189811,54.1,0.6
189812,46.4,0.1
189901,49.2,3.6
189902,51.7,1.0
189903,54.0,-0.5
189904,60.8,1.1
189905,63.0,-3.6
189906,74.8,1.2
189907,76.7,-1.5
189908,71.8,-4.7
189909,73.8,1.5
189910,61.0,-3.1
189911,56.1,2.6
189912,46.7,0.4
190001,49.9,4.3
190002,53.2,2.5
190003,58.5,4.0
190004,58.4,-1.3
190005,68.2,1.6
190006,74.7,1.1
190007,77.8,-0.4
190008,73.2,-3.3
190009,68.7,-3.6
190010,61.9,-2.2
190011,56.8,3.3
190012,48.5,2.2
190101,46.3,0.7
190102,51.5,0.8
190103,57.3,2.8
190104,58.9,-0.8
190105,66.4,-0.2
190106,73.6,0.0
190107,76.9,-1.3
190108,76.5,0.0
190109,69.5,-2.8
190110,66.6,2.5
190111,56.9,3.4
190112,48.7,2.4
190201,44.4,-1.2
190202,52.6,1.9
190203,52.6,-1.9
190204,58.4,-1.3
190205,63.9,-2.7
190206,74.5,0.9
190207,77.4,-0.8
190208,75.2,-1.3
190209,73.4,1.1
190210,63.0,-1.1
190211,52.4,-1.1
190212,47.7,1.4
190301,45.8,0.2
190302,45.7,-5.0
190303,52.6,-1.9
190304,57.5,-2.2
190305,68.4,1.8
190306,74.7,1.1
190307,74.3,-3.9
190308,75.5,-1.0
190309,72.0,-0.3
190310,67.3,3.2
190311,56.0,2.5
190312,48.7,2.4
190401,46.1,0.5
190402,49.6,-1.1
190403,51.8,-2.7
190404,59.0,-0.7
190405,69.8,3.2
190406,74.9,1.3
190407,75.6,-2.6
190408,75.5,-1.0
