Date,Value,Anomaly
189501,41.8,-0.6
189502,48.4,3.0
189503,49.1,0.5
189504,54.2,0.4
189505,60.9,-0.4
189506,70.7,1.2
189507,74.2,-2.2
189508,75.2,0.2
189509,64.8,-4.9
189510,61.9,1.5
189511,49.5,0.0
189512,41.2,-2.0
189601,46.7,4.3
189602,48.8,3.4
189603,49.8,1.2
189604,47.5,-6.3
189605,56.2,-5.1
189606,71.1,1.6
189607,78.8,2.4
189608,73.8,-1.2
189609,68.3,-1.4
189610,62.1,1.7
189611,48.1,-1.4
189612,47.3,4.1
189701,43.7,1.3
189702,43.1,-2.3
189703,42.9,-5.7
189704,57.5,3.7
189705,66.6,5.3
189706,68.0,-1.5
189707,75.2,-1.2
189708,75.4,0.4
189709,67.7,-2.0
189710,58.8,-1.6
189711,48.0,-1.5
189712,43.8,0.6
189801,39.0,-3.4
189802,47.3,1.9
189803,47.1,-1.5
189804,57.5,3.7
189805,58.8,-2.5
189806,68.9,-0.6
189807,75.7,-0.7
189808,75.8,0.8
189809,67.9,-1.8
189810,58.9,-1.5
189811,49.3,-0.2
189812,42.7,-0.5
189901,44.5,2.1
189902,45.8,0.4
189903,47.5,-1.1
189904,54.4,0.6
189905,56.4,-4.9
189906,69.9,0.4
189907,75.0,-1.4
189908,69.0,-6.0
189909,71.8,2.1
189910,55.9,-4.5
189911,51.1,1.6
189912,43.8,0.6
190001,48.0,5.6
190002,47.6,2.2
190003,53.5,4.9
190004,52.5,-1.3
190005,61.6,0.3
190006,70.8,1.3
190007,75.9,-0.5
190008,71.1,-3.9
190009,64.8,-4.9
190010,56.6,-3.8
190011,51.7,2.2
190012,44.8,1.6
190101,41.8,-0.6
190102,44.9,-0.5
190103,51.0,2.4
190104,52.2,-1.6
190105,60.7,-0.6
190106,68.6,-0.9
190107,75.4,-1.0
190108,76.1,1.1
190109,66.5,-3.2
190110,62.3,1.9
190111,52.7,3.2
190112,45.5,2.3
190201,42.0,-0.4
190202,47.1,1.7
190203,46.3,-2.3
190204,52.2,-1.6
190205,57.9,-3.4
190206,70.5,1.0
190207,74.2,-2.2
190208,74.0,-1.0
190209,71.1,1.4
190210,58.4,-2.0
190211,47.7,-1.8
190212,43.4,0.2
190301,42.9,0.5
190302,38.8,-6.6
190303,45.7,-2.9
190304,50.5,-3.3
190305,62.5,1.2
190306,69.5,0.0
190307,71.9,-4.5
190308,74.2,-0.8
190309,69.3,-0.4
190310,62.8,2.4
190311,51.4,1.9
190312,45.6,2.4
190401,43.9,1.5
190402,43.8,-1.6
190403,45.0,-3.6
190404,53.2,-0.6
190405,64.4,3.1
190406,71.7,2.2
190407,75.2,-1.2
190408,76.1,1.1
190409,70.2,0.5
190410,58.5,-1.9
190411,49.8,0.3
190412,43.3,0.1
190501,45.7,3.3
190502,47.4,2.0
190503,50.8,2.2
190504,55.5,1.7
190505,57.4,-3.9
190506,68.2,-1.3
190507,77.3,0.9
190508,75.3,0.3
190509,69.0,-0.7
190510,58.9,-1.5
190511,48.9,-0.6
190512,41.4,-1.8
190601,44.9,2.5
190602,48.6,3.2
190603,47.0,-1.6
190604,54.3,0.5
190605,57.5,-3.8
190606,63.6,-5.9
190607,78.7,2.3
190608,75.8,0.8
190609,68.2,-1.5
190610,61.0,0.6
190611,48.9,-0.6
190612,44.0,0.8
190701,40.2,-2.2
190702,50.5,5.1
190703,44.1,-4.5
190704,54.8,1.0
190705,59.5,-1.8
190706,66.2,-3.3
190707,74.4,-2.0
190708,73.3,-1.7
190709,66.3,-3.4
190710,62.0,1.6
190711,50.0,0.5
190712,43.6,0.4
190801,44.4,2.0
190802,43.4,-2.0
190803,49.3,0.7
190804,56.1,2.3
190805,54.9,-6.4
190806,66.7,-2.8
190807,80.7,4.3
190808,76.5,1.5
190809,70.0,0.3
190810,57.6,-2.8
190811,51.2,1.7
190812,39.4,-3.8
190901,45.5,3.1
190902,43.5,-1.9
190903,46.5,-2.1
190904,56.7,2.9
190905,60.5,-0.8
190906,70.4,0.9
190907,74.3,-2.1
190908,74.3,-0.7
190909,70.6,0.9
190910,58.7,-1.7
190911,48.5,-1.0
190912,40.9,-2.3
191001,38.6,-3.8
191002,42.2,-3.2
191003,52.2,3.6
191004,57.2,3.4
191005,64.5,3.2
191006,68.1,-1.4
191007,77.4,1.0
191008,75.6,0.6
191009,67.5,-2.2
191010,61.7,1.3
191011,50.2,0.7
191012,46.1,2.9
191101,42.7,0.3
191102,40.6,-4.8
191103,50.9,2.3
191104,52.4,-1.4
191105,57.1,-4.2
191106,69.1,-0.4
191107,78.9,2.5
191108,72.6,-2.4
191109,64.1,-5.6
191110,57.9,-2.5
