Date,Value,Anomaly
189501,36.3,-1.0
189502,42.2,2.4
189503,43.0,0.1
189504,47.4,0.0
189505,53.3,-0.6
189506,62.6,1.1
189507,67.4,-1.7
189508,68.6,0.0
189509,59.1,-4.3
189510,55.7,2.0
189511,42.8,-0.5
189512,35.2,-2.4
189601,40.6,3.3
189602,42.3,2.5
189603,43.9,1.0
189604,41.0,-6.4
189605,48.8,-5.1
189606,62.5,1.0
189607,71.8,2.7
189608,68.0,-0.6
189609,61.9,-1.5
189610,54.9,1.2
189611,40.6,-2.7
189612,41.1,3.5
189701,38.3,1.0
189702,37.9,-1.9
189703,37.2,-5.7
189704,50.4,3.0
189705,58.5,4.6
189706,60.0,-1.5
189707,68.1,-1.0
189708,69.4,0.8
189709,61.6,-1.8
189710,52.7,-1.0
189711,41.4,-1.9
189712,38.6,1.0
189801,34.5,-2.8
189802,41.4,1.6
189803,41.5,-1.4
189804,50.2,2.8
189805,51.5,-2.4
189806,61.0,-0.5
189807,68.8,-0.3
189808,69.8,1.2
189809,62.2,-1.2
189810,52.3,-1.4
189811,43.2,-0.1
189812,37.2,-0.4
189901,39.0,1.7
189902,39.5,-0.3
189903,41.8,-1.1
189904,47.1,-0.3
189905,49.0,-4.9
189906,61.5,0.0
189907,68.6,-0.5
189908,63.4,-5.2
189909,66.1,2.7
189910,49.7,-4.0
189911,45.6,2.3
189912,38.7,1.1
190001,42.2,4.9
190002,41.2,1.4
190003,47.8,4.9
190004,45.8,-1.6
190005,53.4,-0.5
190006,62.7,1.2
190007,69.0,-0.1
190008,65.3,-3.3
190009,59.7,-3.7
190010,49.8,-3.9
190011,45.3,2.0
190012,39.7,2.1
190101,35.3,-2.0
190102,38.6,-1.2
190103,45.0,2.1
190104,45.0,-2.4
190105,52.7,-1.2
190106,59.8,-1.7
190107,67.8,-1.3
190108,69.9,1.3
190109,60.4,-3.0
190110,55.7,2.0
190111,46.1,2.8
190112,39.4,1.8
190201,36.9,-0.4
190202,41.5,1.7
190203,40.9,-2.0
190204,45.4,-2.0
190205,50.6,-3.3
190206,62.2,0.7
190207,67.3,-1.8
190208,68.4,-0.2
190209,65.4,2.0
190210,52.2,-1.5
190211,41.9,-1.4
190212,37.8,0.2
190301,37.3,0.0
190302,35.1,-4.7
190303,40.5,-2.4
190304,44.6,-2.8
190305,55.0,1.1
190306,62.7,1.2
190307,65.6,-3.5
190308,68.2,-0.4
190309,63.9,0.5
190310,56.4,2.7
190311,44.8,1.5
190312,39.2,1.6
190401,38.6,1.3
190402,37.0,-2.8
190403,39.4,-3.5
190404,47.1,-0.3
190405,57.3,3.4
190406,63.6,2.1
190407,68.4,-0.7
190408,70.0,1.4
190409,64.0,0.6
190410,52.7,-1.0
190411,45.4,2.1
190412,38.2,0.6
190501,40.4,3.1
190502,42.3,2.5
190503,45.6,2.7
190504,49.4,2.0
190505,49.2,-4.7
190506,61.2,-0.3
190507,71.0,1.9
190508,69.1,0.5
190509,63.2,-0.2
190510,53.0,-0.7
190511,42.5,-0.8
190512,37.1,-0.5
190601,40.4,3.1
190602,43.0,3.2
190603,41.3,-1.6
190604,49.3,1.9
190605,51.6,-2.3
190606,56.8,-4.7
190607,73.2,4.1
190608,70.3,1.7
190609,62.8,-0.6
190610,54.7,1.0
190611,43.7,0.4
190612,38.8,1.2
190701,35.6,-1.7
190702,45.6,5.8
190703,39.6,-3.3
190704,49.4,2.0
190705,53.1,-0.8
190706,59.4,-2.1
190707,68.4,-0.7
190708,67.9,-0.7
190709,61.6,-1.8
190710,56.3,2.6
190711,45.0,1.7
190712,39.2,1.6
190801,40.3,3.0
190802,38.6,-1.2
190803,44.0,1.1
190804,50.4,3.0
190805,48.3,-5.6
190806,59.7,-1.8
190807,73.7,4.6
190808,70.0,1.4
190809,63.8,0.4
190810,51.1,-2.6
190811,46.1,2.8
190812,35.7,-1.9
190901,39.6,2.3
190902,38.1,-1.7
190903,42.0,-0.9
190904,50.6,3.2
190905,53.4,-0.5
190906,62.9,1.4
190907,67.2,-1.9
190908,69.2,0.6
190909,65.3,1.9
190910,53.2,-0.5
190911,42.8,-0.5
190912,36.0,-1.6
191001,34.2,-3.1
191002,36.7,-3.1
191003,47.7,4.8
191004,51.3,3.9
191005,57.5,3.6
191006,60.7,-0.8
191007,71.4,2.3
191008,69.9,1.3
191009,62.2,-1.2
191010,55.6,1.9
191011,43.8,0.5
191012,41.0,3.4
191101,36.8,-0.5
191102,35.7,-4.1
191103,46.5,3.6
191104,46.6,-0.8
191105,50.4,-3.5
191106,61.8,0.3
191107,72.3,3.2
191108,67.6,-1.0
191109,59.0,-4.4
191110,51.6,-2.1
191111,43.3,0.0
191112,35.8,-1.8
191201,38.7,1.4
191202,41.6,1.8
191203,40.8,-2.1
191204,44.5,-2.9
191205,53.2,-0.7
191206,60.3,-1.2
191207,66.0,-3.1
191208,65.2,-3.4
191209,60.7,-2.7
191210,48.7,-5.0
191211,44.1,0.8
191212,37.3,-0.3
191301,33.2,-4.1
191302,37.6,-2.2
191303,41.0,-1.9
191304,46.1,-1.3
191305,55.0,1.1
191306,59.0,-2.5
191307,68.3,-0.8
191308,70.8,2.2
191309,64.2,0.8
191310,55.0,1.3
