Date,Value,Anomaly
189501,35.5,-2.6
189502,40.5,-0.3
189503,41.6,-2.3
189504,48.0,-1.3
189505,56.8,0.4
189506,64.1,-0.3
189507,69.0,-2.6
189508,68.1,-2.2
189509,62.3,-2.0
189510,54.7,-0.5
189511,43.4,-2.1
189512,36.7,-2.0
189601,40.2,2.1
189602,41.6,0.8
189603,44.4,0.5
189604,43.7,-5.6
189605,54.7,-1.7
189606,67.3,2.9
189607,71.2,-0.4
189608,69.7,-0.6
189609,62.0,-2.3
189610,55.4,0.2
189611,43.4,-2.1
189612,41.0,2.3
189701,37.1,-1.0
189702,37.4,-3.4
189703,38.1,-5.8
189704,50.5,1.2
189705,58.3,1.9
189706,65.8,1.4
189707,71.3,-0.3
189708,72.3,2.0
189709,64.1,-0.2
189710,52.0,-3.2
189711,45.5,0.0
189712,37.2,-1.5
189801,33.0,-5.1
189802,43.0,2.2
189803,41.0,-2.9
189804,51.4,2.1
189805,54.7,-1.7
189806,65.6,1.2
189807,69.7,-1.9
189808,70.6,0.3
189809,64.3,0.0
189810,55.8,0.6
189811,44.8,-0.7
189812,37.8,-0.9
189901,39.9,1.8
189902,40.5,-0.3
189903,44.0,0.1
189904,51.5,2.2
189905,52.6,-3.8
189906,66.8,2.4
189907,72.8,1.2
189908,66.2,-4.1
189909,67.8,3.5
189910,51.9,-3.3
189911,47.5,2.0
189912,38.2,-0.5
190001,39.3,1.2
190002,42.2,1.4
190003,49.5,5.6
190004,47.0,-2.3
190005,58.3,1.9
190006,67.2,2.8
190007,72.1,0.5
190008,67.4,-2.9
190009,60.9,-3.4
190010,55.4,0.2
190011,48.2,2.7
190012,39.3,0.6
190101,39.0,0.9
190102,41.3,0.5
190103,44.2,0.3
190104,47.2,-2.1
190105,55.3,-1.1
190106,64.6,0.2
190107,72.9,1.3
190108,72.5,2.2
190109,62.4,-1.9
190110,57.2,2.0
190111,49.7,4.2
190112,39.3,0.6
190201,36.6,-1.5
190202,42.6,1.8
190203,40.8,-3.1
190204,47.7,-1.6
190205,52.7,-3.7
190206,65.5,1.1
190207,68.2,-3.4
190208,68.2,-2.1
190209,65.5,1.2
190210,54.3,-0.9
190211,43.1,-2.4
190212,37.8,-0.9
190301,35.0,-3.1
190302,33.5,-7.3
190303,42.9,-1.0
190304,47.6,-1.7
190305,55.4,-1.0
190306,65.8,1.4
190307,67.1,-4.5
190308,69.6,-0.7
190309,62.4,-1.9
190310,57.6,2.4
190311,45.8,0.3
190312,37.6,-1.1
190401,36.3,-1.8
190402,41.7,0.9
190403,42.0,-1.9
190404,48.2,-1.1
190405,58.9,2.5
190406,65.1,0.7
190407,69.7,-1.9
190408,72.3,2.0
190409,65.9,1.6
190410,54.0,-1.2
190411,46.0,0.5
190412,39.3,0.6
190501,42.1,4.0
190502,43.1,2.3
190503,46.3,2.4
190504,49.4,0.1
190505,52.0,-4.4
190506,62.5,-1.9
190507,71.1,-0.5
190508,69.7,-0.6
190509,64.3,0.0
190510,53.2,-2.0
190511,45.0,-0.5
190512,36.2,-2.5
190601,41.0,2.9
190602,45.1,4.3
190603,41.3,-2.6
190604,46.0,-3.3
190605,51.1,-5.3
190606,59.9,-4.5
190607,73.3,1.7
190608,69.6,-0.7
190609,64.2,-0.1
190610,56.0,0.8
190611,41.1,-4.4
190612,37.2,-1.5
190701,37.5,-0.6
190702,43.5,2.7
190703,41.4,-2.5
190704,51.2,1.9
190705,52.4,-4.0
190706,59.0,-5.4
190707,68.8,-2.8
190708,66.5,-3.8
190709,58.9,-5.4
190710,54.3,-0.9
190711,45.7,0.2
190712,40.4,1.7
190801,39.6,1.5
190802,37.2,-3.6
190803,43.5,-0.4
190804,49.3,0.0
190805,50.8,-5.6
190806,57.8,-6.6
190807,73.3,1.7
190808,69.6,-0.7
190809,63.4,-0.9
190810,52.9,-2.3
190811,46.4,0.9
190812,37.7,-1.0
190901,45.0,6.9
190902,38.8,-2.0
190903,40.1,-3.8
190904,50.0,0.7
190905,53.6,-2.8
190906,63.9,-0.5
190907,68.9,-2.7
190908,70.3,0.0
190909,63.5,-0.8
190910,52.9,-2.3
190911,44.8,-0.7
190912,37.8,-0.9
191001,35.5,-2.6
191002,38.3,-2.5
191003,47.3,3.4
191004,52.8,3.5
191005,60.8,4.4
191006,62.5,-1.9
191007,71.6,0.0
191008,71.0,0.7
191009,62.9,-1.4
191010,54.8,-0.4
191011,45.2,-0.3
191012,39.7,1.0
191101,40.8,2.7
191102,36.6,-4.2
191103,45.2,1.3
191104,47.0,-2.3
191105,51.4,-5.0
191106,62.9,-1.5
191107,73.1,1.5
191108,66.9,-3.4
191109,58.9,-5.4
191110,53.5,-1.7
191111,44.4,-1.1
191112,36.2,-2.5
191201,40.1,2.0
191202,42.2,1.4
191203,40.9,-3.0
191204,43.2,-6.1
191205,55.6,-0.8
191206,64.2,-0.2
191207,68.8,-2.8
191208,67.2,-3.1
191209,61.9,-2.4
191210,50.3,-4.9
191211,45.2,-0.3
191212,36.6,-2.1
191301,36.2,-1.9
191302,39.9,-0.9
191303,42.2,-1.7
191304,47.7,-1.6
191305,57.2,0.8
191306,60.8,-3.6
191307,70.9,-0.7
191308,72.2,1.9
191309,66.2,1.9
191310,56.1,0.9
191311,47.2,1.7
191312,38.7,0.0
191401,41.6,3.5
191402,41.9,1.1
191403,47.7,3.8
191404,49.0,-0.3
191405,56.9,0.5
191406,62.9,-1.5
191407,70.8,-0.8
191408,71.1,0.8
191409,62.3,-2.0
191410,54.8,-0.4
191411,47.2,1.7
191412,36.2,-2.5
191501,38.5,0.4
191502,41.0,0.2
191503,46.1,2.2
191504,49.1,-0.2
191505,52.0,-4.4
191506,63.8,-0.6
191507,70.4,-1.2
191508,71.3,1.0
191509,62.1,-2.2
191510,56.3,1.1
191511,44.0,-1.5
191512,38.8,0.1
191601,36.4,-1.7
191602,43.5,2.7
191603,46.2,2.3
191604,50.8,1.5
191605,52.6,-3.8
191606,61.9,-2.5
191607,68.9,-2.7
191608,68.4,-1.9
191609,62.9,-1.4
191610,49.3,-5.9
191611,41.2,-4.3
191612,36.3,-2.4
191701,34.1,-4.0
191702,39.0,-1.8
191703,38.6,-5.3
191704,46.4,-2.9
191705,50.2,-6.2
191706,66.2,1.8
191707,75.8,4.2
191708,71.6,1.3
191709,64.9,0.6
191710,58.9,3.7
191711,47.2,1.7
191712,40.6,1.9
191801,37.1,-1.0
191802,39.6,-1.2
191803,44.1,0.2
191804,49.6,0.3
191805,51.6,-4.8
191806,71.8,7.4
191807,70.7,-0.9
191808,69.8,-0.5
191809,63.9,-0.4
191810,56.8,1.6
191811,44.2,-1.3
191812,36.5,-2.2
191901,38.9,0.8
191902,37.5,-3.3
191903,39.7,-4.2
191904,49.2,-0.1
191905,58.4,2.0
191906,64.8,0.4
191907,73.3,1.7
191908,71.5,1.2
191909,62.9,-1.4
191910,50.6,-4.6
191911,43.2,-2.3
191912,38.6,-0.1
192001,39.1,1.0
192002,40.3,-0.5
192003,40.3,-3.6
192004,46.9,-2.4
192005,55.8,-0.6
192006,62.7,-1.7
192007,68.5,-3.1
192008,70.8,0.5
192009,61.0,-3.3
192010,49.4,-5.8
192011,44.7,-0.8
