Date,Value,Anomaly
189501,34.6,-1.1
189502,37.0,-0.3
189503,37.9,-2.2
189504,44.0,-1.0
189505,51.1,-0.6
189506,59.9,0.3
189507,64.9,-2.2
189508,65.0,-1.3
189509,57.2,-3.5
189510,51.2,-0.9
189511,40.1,-2.7
189512,34.3,-2.7
189601,39.4,3.7
189602,37.4,0.1
189603,39.3,-0.8
189604,38.2,-6.8
189605,46.9,-4.8
189606,61.4,1.8
189607,68.5,1.4
189608,65.2,-1.1
189609,58.0,-2.7
189610,51.6,-0.5
189611,41.3,-1.5
189612,39.6,2.6
189701,34.4,-1.3
189702,32.5,-4.8
189703,32.0,-8.1
189704,45.5,0.5
189705,55.0,3.3
189706,58.5,-1.1
189707,65.8,-1.3
189708,66.5,0.2
189709,58.5,-2.2
189710,48.8,-3.3
189711,42.6,-0.2
189712,35.0,-2.0
189801,29.7,-6.0
189802,40.0,2.7
189803,36.3,-3.8
189804,47.6,2.6
189805,48.2,-3.5
189806,60.0,0.4
189807,67.1,0.0
189808,67.6,1.3
189809,60.8,0.1
189810,51.3,-0.8
189811,41.8,-1.0
189812,34.5,-2.5
189901,37.6,1.9
189902,37.8,0.5
189903,39.4,-0.7
189904,45.9,0.9
189905,46.5,-5.2
189906,60.8,1.2
189907,66.9,-0.2
189908,61.6,-4.7
189909,62.5,1.8
189910,47.9,-4.2
189911,43.6,0.8
189912,34.6,-2.4
190001,38.1,2.4
190002,37.8,0.5
190003,43.2,3.1
190004,41.1,-3.9
190005,51.5,-0.2
190006,61.6,2.0
190007,67.3,0.2
190008,62.8,-3.5
190009,56.2,-4.5
190010,50.2,-1.9
190011,44.1,1.3
190012,36.6,-0.4
190101,34.4,-1.3
190102,36.3,-1.0
190103,39.0,-1.1
190104,41.6,-3.4
190105,50.7,-1.0
190106,58.9,-0.7
190107,67.2,0.1
190108,66.9,0.6
190109,57.8,-2.9
190110,54.0,1.9
190111,45.1,2.3
190112,36.7,-0.3
190201,32.8,-2.9
190202,37.5,0.2
190203,35.1,-5.0
190204,41.9,-3.1
190205,47.7,-4.0
190206,61.2,1.6
190207,65.5,-1.6
190208,64.7,-1.6
190209,61.4,0.7
190210,50.8,-1.3
190211,39.2,-3.6
190212,35.9,-1.1
190301,34.7,-1.0
190302,28.3,-9.0
190303,38.0,-2.1
190304,41.4,-3.6
190305,50.8,-0.9
190306,61.8,2.2
190307,63.5,-3.6
190308,66.2,-0.1
190309,59.2,-1.5
190310,52.8,0.7
190311,44.0,1.2
190312,36.3,-0.7
190401,35.1,-0.6
190402,37.1,-0.2
190403,39.3,-0.8
190404,42.7,-2.3
190405,53.2,1.5
190406,60.6,1.0
190407,64.9,-2.2
190408,67.7,1.4
190409,61.9,1.2
190410,50.7,-1.4
190411,43.9,1.1
190412,36.1,-0.9
190501,40.0,4.3
190502,38.0,0.7
190503,41.6,1.5
190504,45.3,0.3
190505,48.0,-3.7
190506,59.1,-0.5
190507,67.3,0.2
190508,66.3,0.0
190509,60.3,-0.4
190510,51.2,-0.9
190511,40.8,-2.0
190512,33.0,-4.0
190601,38.4,2.7
190602,40.1,2.8
190603,40.5,0.4
190604,43.2,-1.8
190605,48.4,-3.3
190606,56.4,-3.2
190607,70.3,3.2
190608,68.0,1.7
190609,61.1,0.4
190610,54.1,2.0
190611,41.8,-1.0
190612,38.1,1.1
190701,33.6,-2.1
190702,43.3,6.0
190703,37.4,-2.7
190704,48.6,3.6
190705,52.4,0.7
190706,57.7,-1.9
190707,66.3,-0.8
190708,65.0,-1.3
190709,57.9,-2.8
190710,53.3,1.2
190711,43.5,0.7
190712,38.5,1.5
190801,36.8,1.1
190802,36.8,-0.5
190803,41.8,1.7
190804,49.5,4.5
190805,49.2,-2.5
190806,58.7,-0.9
190807,71.4,4.3
190808,68.0,1.7
190809,60.8,0.1
190810,49.2,-2.9
190811,44.2,1.4
190812,35.1,-1.9
190901,39.8,4.1
190902,36.0,-1.3
190903,37.7,-2.4
190904,48.1,3.1
190905,51.3,-0.4
190906,61.0,1.4
190907,65.4,-1.7
190908,66.2,-0.1
190909,60.9,0.2
190910,50.5,-1.6
190911,41.8,-1.0
190912,34.6,-2.4
191001,32.5,-3.2
191002,35.6,-1.7
191003,44.8,4.7
191004,50.1,5.1
191005,56.3,4.6
191006,58.3,-1.3
191007,68.2,1.1
191008,66.1,-0.2
191009,58.9,-1.8
191010,52.9,0.8
191011,44.2,1.4
191012,39.9,2.9
191101,36.9,1.2
191102,32.8,-4.5
191103,43.1,3.0
191104,46.1,1.1
191105,49.3,-2.4
191106,60.5,0.9
191107,69.6,2.5
191108,63.9,-2.4
191109,55.8,-4.9
191110,50.6,-1.5
191111,41.8,-1.0
191112,33.6,-3.4
191201,36.5,0.8
191202,40.0,2.7
191203,37.8,-2.3
191204,41.2,-3.8
191205,52.1,0.4
191206,59.4,-0.2
191207,64.7,-2.4
191208,63.3,-3.0
191209,58.8,-1.9
191210,48.6,-3.5
191211,43.2,0.4
191212,35.3,-1.7
191301,32.2,-3.5
191302,36.1,-1.2
191303,39.4,-0.7
191304,44.7,-0.3
191305,52.7,1.0
191306,57.0,-2.6
191307,66.2,-0.9
191308,68.2,1.9
191309,63.2,2.5
191310,52.8,0.7
191311,42.7,-0.1
191312,36.2,-0.8
191401,37.6,1.9
191402,37.6,0.3
191403,44.9,4.8
191404,46.1,1.1
191405,53.5,1.8
191406,58.4,-1.2
191407,65.8,-1.3
191408,67.0,0.7
191409,59.4,-1.3
191410,51.9,-0.2
191411,44.4,1.6
191412,33.0,-4.0
191501,34.9,-0.8
191502,36.1,-1.2
191503,42.8,2.7
191504,46.8,1.8
191505,47.8,-3.9
191506,58.6,-1.0
191507,65.5,-1.6
191508,67.4,1.1
191509,59.5,-1.2
191510,52.9,0.8
191511,42.4,-0.4
191512,37.1,0.1
191601,30.5,-5.2
191602,39.0,1.7
191603,44.3,4.2
191604,47.8,2.8
191605,49.4,-2.3
191606,58.0,-1.6
191607,64.8,-2.3
191608,64.5,-1.8
