Date,Value,Anomaly
189501,40.3,-5.7
189502,44.4,-2.3
189503,43.6,-4.9
189504,48.2,-3.4
189505,55.3,-1.1
189506,59.3,-3.0
189507,63.4,-5.1
189508,63.6,-5.3
189509,63.4,-2.1
189510,56.6,-2.2
189511,51.6,-0.6
189512,45.2,-1.8
189601,47.1,1.1
189602,49.2,2.5
189603,49.2,0.7
189604,47.0,-4.6
189605,57.7,1.3
189606,64.9,2.6
189607,67.5,-1.0
189608,67.3,-1.6
189609,62.5,-3.0
189610,56.2,-2.6
189611,49.4,-2.8
189612,47.4,0.4
189701,43.4,-2.6
189702,40.6,-6.1
189703,41.6,-6.9
189704,51.5,-0.1
189705,55.1,-1.3
189706,62.0,-0.3
189707,66.3,-2.2
189708,70.0,1.1
189709,64.1,-1.4
189710,53.2,-5.6
189711,50.0,-2.2
189712,44.5,-2.5
189801,40.0,-6.0
189802,46.3,-0.4
189803,44.4,-4.1
189804,52.8,1.2
189805,53.8,-2.6
189806,62.2,-0.1
189807,66.2,-2.3
189808,69.9,1.0
189809,64.8,-0.7
189810,57.2,-1.6
189811,50.5,-1.7
189812,44.6,-2.4
189901,46.0,0.0
189902,42.4,-4.3
189903,46.8,-1.7
189904,50.8,-0.8
189905,52.9,-3.5
189906,61.8,-0.5
189907,66.7,-1.8
189908,65.9,-3.0
189909,64.3,-1.2
189910,57.0,-1.8
189911,51.4,-0.8
189912,46.4,-0.6
190001,48.8,2.8
190002,48.6,1.9
190003,51.4,2.9
190004,48.3,-3.3
190005,58.1,1.7
190006,64.2,1.9
190007,66.7,-1.8
190008,64.2,-4.7
190009,59.6,-5.9
190010,57.7,-1.1
190011,55.7,3.5
190012,48.4,1.4
190101,44.1,-1.9
190102,45.8,-0.9
190103,49.7,1.2
190104,47.1,-4.5
190105,53.5,-2.9
190106,61.3,-1.0
190107,68.0,-0.5
190108,68.7,-0.2
190109,60.1,-5.4
190110,57.6,-1.2
190111,51.8,-0.4
190112,48.6,1.6
190201,45.9,-0.1
190202,44.4,-2.3
190203,44.7,-3.8
190204,49.7,-1.9
190205,53.8,-2.6
190206,62.8,0.5
190207,67.4,-1.1
190208,66.6,-2.3
190209,65.3,-0.2
190210,54.9,-3.9
190211,48.8,-3.4
190212,46.2,-0.8
190301,48.0,2.0
190302,41.4,-5.3
190303,44.7,-3.8
190304,51.9,0.3
190305,55.6,-0.8
190306,61.7,-0.6
190307,65.8,-2.7
190308,68.7,-0.2
190309,65.2,-0.3
190310,59.5,0.7
190311,55.0,2.8
190312,48.6,1.6
190401,45.7,-0.3
190402,46.7,0.0
190403,47.9,-0.6
190404,51.0,-0.6
190405,56.3,-0.1
190406,63.4,1.1
190407,66.7,-1.8
190408,71.6,2.7
190409,67.9,2.4
190410,59.2,0.4
190411,55.9,3.7
190412,49.6,2.6
190501,50.4,4.4
190502,49.5,2.8
190503,51.2,2.7
190504,51.8,0.2
190505,53.3,-3.1
190506,59.6,-2.7
190507,66.9,-1.6
190508,67.7,-1.2
190509,64.9,-0.6
190510,59.1,0.3
190511,51.8,-0.4
190512,46.8,-0.2
190601,47.6,1.6
190602,50.1,3.4
190603,48.9,0.4
190604,49.4,-2.2
190605,52.4,-4.0
190606,61.9,-0.4
190607,70.1,1.6
190608,67.9,-1.0
190609,65.2,-0.3
190610,61.1,2.3
190611,49.4,-2.8
190612,47.3,0.3
190701,42.5,-3.5
190702,51.2,4.5
190703,45.5,-3.0
190704,50.7,-0.9
190705,53.6,-2.8
190706,59.6,-2.7
190707,67.2,-1.3
190708,64.3,-4.6
190709,60.9,-4.6
190710,57.8,-1.0
190711,52.2,0.0
190712,48.0,1.0
190801,46.9,0.9
190802,43.5,-3.2
190803,47.3,-1.2
190804,51.7,0.1
190805,51.8,-4.6
190806,57.6,-4.7
190807,68.3,-0.2
190808,66.8,-2.1
190809,64.0,-1.5
190810,54.7,-4.1
190811,50.4,-1.8
190812,44.6,-2.4
190901,46.1,0.1
190902,43.6,-3.1
190903,43.7,-4.8
190904,49.6,-2.0
190905,51.6,-4.8
190906,59.9,-2.4
190907,64.4,-4.1
190908,68.1,-0.8
190909,62.4,-3.1
190910,56.3,-2.5
190911,49.0,-3.2
190912,43.4,-3.6
191001,41.7,-4.3
191002,43.6,-3.1
191003,48.8,0.3
191004,53.2,1.6
191005,56.4,0.0
191006,59.0,-3.3
191007,67.2,-1.3
191008,65.8,-3.1
191009,64.1,-1.4
191010,57.5,-1.3
191011,49.5,-2.7
191012,46.7,-0.3
191101,45.4,-0.6
191102,40.5,-6.2
191103,47.9,-0.6
191104,48.1,-3.5
191105,52.8,-3.6
191106,58.5,-3.8
191107,66.7,-1.8
191108,65.1,-3.8
191109,59.6,-5.9
191110,54.8,-4.0
191111,50.2,-2.0
191112,42.3,-4.7
191201,45.8,-0.2
191202,46.1,-0.6
191203,42.6,-5.9
191204,44.9,-6.7
191205,53.8,-2.6
191206,59.2,-3.1
191207,64.1,-4.4
191208,63.5,-5.4
191209,61.6,-3.9
191210,54.2,-4.6
191211,51.8,-0.4
191212,43.3,-3.7
191301,41.1,-4.9
191302,42.5,-4.2
191303,45.2,-3.3
191304,47.7,-3.9
191305,53.1,-3.3
191306,59.2,-3.1
191307,66.8,-1.7
191308,67.6,-1.3
191309,65.8,0.3
191310,56.6,-2.2
191311,51.0,-1.2
191312,44.2,-2.8
191401,45.6,-0.4
191402,47.0,0.3
191403,51.3,2.8
191404,51.3,-0.3
191405,53.7,-2.7
191406,60.2,-2.1
191407,64.5,-4.0
191408,65.1,-3.8
191409,62.5,-3.0
191410,58.6,-0.2
191411,55.0,2.8
191412,44.1,-2.9
191501,45.0,-1.0
191502,45.3,-1.4
191503,50.8,2.3
191504,50.4,-1.2
191505,54.4,-2.0
191506,62.4,0.1
191507,67.1,-1.4
191508,69.5,0.6
191509,62.6,-2.9
191510,57.6,-1.2
191511,50.7,-1.5
191512,45.6,-1.4
191601,42.2,-3.8
191602,48.0,1.3
191603,50.1,1.6
191604,51.5,-0.1
191605,53.6,-2.8
191606,59.2,-3.1
191607,65.2,-3.3
191608,65.3,-3.6
191609,61.6,-3.9
191610,52.0,-6.8
191611,48.2,-4.0
191612,42.1,-4.9
191701,41.4,-4.6
191702,43.6,-3.1
191703,44.2,-4.3
191704,49.1,-2.5
191705,51.0,-5.4
191706,64.8,2.5
191707,72.3,3.8
191708,68.0,-0.9
191709,66.6,1.1
191710,61.0,2.2
191711,53.0,0.8
191712,50.3,3.3
191801,44.3,-1.7
191802,43.4,-3.3
191803,48.3,-0.2
191804,51.0,-0.6
191805,51.6,-4.8
191806,65.8,3.5
191807,66.2,-2.3
191808,68.0,-0.9
191809,65.7,0.2
191810,61.7,2.9
191811,50.6,-1.6
191812,44.1,-2.9
191901,47.7,1.7
191902,42.0,-4.7
191903,44.8,-3.7
191904,51.1,-0.5
191905,56.4,0.0
191906,63.4,1.1
191907,68.8,0.3
191908,67.8,-1.1
191909,63.2,-2.3
191910,55.0,-3.8
191911,50.4,-1.8
191912,46.6,-0.4
192001,46.3,0.3
192002,45.4,-1.3
192003,44.6,-3.9
192004,48.5,-3.1
192005,55.0,-1.4
192006,60.6,-1.7
192007,67.9,-0.6
192008,69.1,0.2
192009,62.5,-3.0
192010,53.3,-5.5
192011,50.1,-2.1
192012,45.6,-1.4
192101,45.3,-0.7
192102,45.4,-1.3
192103,49.8,1.3
192104,48.3,-3.3
192105,51.2,-5.2
192106,62.0,-0.3
192107,70.1,1.6
192108,68.5,-0.4
192109,63.7,-1.8
192110,59.4,0.6
192111,53.5,1.3
192112,48.8,1.8
192201,41.4,-4.6
192202,43.4,-3.3
192203,44.4,-4.1
192204,48.4,-3.2
192205,56.0,-0.4
192206,63.1,0.8
192207,68.7,0.2
192208,69.7,0.8
192209,67.9,2.4
192210,57.1,-1.7
192211,48.1,-4.1
192212,47.8,0.8
192301,46.7,0.7
192302,44.4,-2.3
192303,49.1,0.6
192304,48.8,-2.8
192305,56.5,0.1
192306,57.2,-5.1
192307,66.8,-1.7
192308,66.5,-2.4
192309,65.3,-0.2
192310,57.1,-1.7
192311,54.7,2.5
192312,46.0,-1.0
192401,45.3,-0.7
192402,51.5,4.8
192403,45.8,-2.7
192404,50.5,-1.1
192405,58.8,2.4
192406,63.3,1.0
192407,66.0,-2.5
192408,66.0,-2.9
192409,65.1,-0.4
192410,54.0,-4.8
192411,51.9,-0.3
192412,44.0,-3.0
192501,45.9,-0.1
192502,47.8,1.1
192503,48.7,0.2
192504,50.4,-1.2
192505,56.1,-0.3
192506,63.2,0.9
192507,69.9,1.4
192508,66.2,-2.7
192509,61.6,-3.9
192510,55.8,-3.0
