Date,Value,Anomaly
189501,46.1,0.5
189502,52.3,2.2
189503,53.6,-0.1
189504,59.2,0.8
189505,64.9,-0.2
189506,73.5,1.5
189507,73.9,-2.7
189508,73.9,-1.2
189509,68.0,-3.4
189510,64.6,1.0
189511,54.5,1.4
189512,45.0,-1.2
189601,50.0,4.4
189602,53.8,3.7
189603,55.7,2.0
189604,54.8,-3.6
189605,62.5,-2.6
189606,72.7,0.7
189607,78.5,1.9
189608,74.3,-0.8
189609,70.0,-1.4
189610,64.9,1.3
189611,52.8,-0.3
189612,49.9,3.7
189701,45.6,0.0
189702,48.5,-1.6
189703,49.0,-4.7
189704,61.5,3.1
189705,68.3,3.2
189706,72.0,0.0
189707,76.9,0.3
189708,74.9,-0.2
189709,70.3,-1.1
189710,61.8,-1.8
189711,51.6,-1.5
189712,46.4,0.2
189801,42.3,-3.3
189802,51.9,1.8
189803,52.0,-1.7
189804,61.9,3.5
189805,62.5,-2.6
189806,72.9,0.9
189807,76.8,0.2
189808,75.7,0.6
189809,70.4,-1.0
189810,64.0,0.4
189811,53.6,0.5
189812,45.4,-0.8
189901,49.4,3.8
189902,50.7,0.6
189903,53.2,-0.5
189904,59.4,1.0
189905,61.4,-3.7
189906,73.0,1.0
189907,75.0,-1.6
189908,71.0,-4.1
189909,72.8,1.4
189910,61.0,-2.6
189911,55.4,2.3
189912,45.8,-0.4
190001,48.6,3.0
190002,51.7,1.6
190003,57.1,3.4
190004,57.2,-1.2
190005,66.4,1.3
190006,72.6,0.6
190007,76.3,-0.3
190008,72.7,-2.4
190009,69.1,-2.3
190010,61.7,-1.9
190011,55.9,2.8
190012,47.4,1.2
190101,45.9,0.3
190102,50.7,0.6
190103,56.1,2.4
190104,56.9,-1.5
190105,64.1,-1.0
190106,71.7,-0.3
190107,74.5,-2.1
190108,74.4,-0.7
190109,68.7,-2.7
190110,66.4,2.8
190111,56.4,3.3
190112,47.8,1.6
190201,43.4,-2.2
190202,51.6,1.5
190203,51.6,-2.1
190204,56.8,-1.6
190205,62.0,-3.1
190206,72.7,0.7
190207,76.4,-0.2
190208,74.3,-0.8
190209,72.6,1.2
190210,62.6,-1.0
190211,51.9,-1.2
190212,47.0,0.8
190301,44.7,-0.9
190302,45.4,-4.7
190303,51.8,-1.9
190304,56.5,-1.9
190305,66.3,1.2
190306,73.3,1.3
190307,73.1,-3.5
190308,73.9,-1.2
190309,71.4,0.0
190310,66.4,2.8
190311,54.8,1.7
190312,47.5,1.3
190401,45.3,-0.3
190402,48.6,-1.5
190403,51.2,-2.5
190404,57.9,-0.5
190405,68.5,3.4
190406,73.4,1.4
190407,74.2,-2.4
190408,73.8,-1.3
190409,72.6,1.2
190410,63.3,-0.3
190411,54.4,1.3
190412,46.3,0.1
190501,47.9,2.3
190502,51.7,1.6
190503,56.0,2.3
190504,59.1,0.7
190505,61.2,-3.9
190506,69.4,-2.6
190507,75.7,-0.9
190508,74.2,-0.9
190509,70.2,-1.2
190510,62.5,-1.1
190511,52.7,-0.4
190512,44.6,-1.6
190601,47.7,2.1
190602,53.5,3.4
190603,52.6,-1.1
190604,58.6,0.2
190605,61.8,-3.3
190606,68.5,-3.5
190607,78.5,1.9
190608,75.1,0.0
190609,71.4,0.0
190610,65.0,1.4
190611,54.0,0.9
190612,47.7,1.5
190701,45.2,-0.4
190702,54.4,4.3
190703,50.8,-2.9
190704,60.1,1.7
190705,63.8,-1.3
190706,68.4,-3.6
190707,73.7,-2.9
190708,73.2,-1.9
190709,68.1,-3.3
190710,65.0,1.4
190711,55.4,2.3
190712,48.0,1.8
190801,47.2,1.6
190802,48.5,-1.6
190803,54.0,0.3
190804,60.2,1.8
190805,61.4,-3.7
190806,68.6,-3.4
190807,77.8,1.2
190808,73.3,-1.8
190809,71.3,-0.1
190810,60.9,-2.7
190811,53.5,0.4
190812,43.0,-3.2
190901,49.4,3.8
190902,48.9,-1.2
190903,50.4,-3.3
190904,59.0,0.6
190905,63.6,-1.5
190906,70.9,-1.1
190907,74.7,-1.9
190908,73.8,-1.3
190909,71.4,0.0
190910,62.2,-1.4
190911,53.2,0.1
190912,45.0,-1.2
191001,43.2,-2.4
191002,46.8,-3.3
191003,56.6,2.9
191004,60.3,1.9
191005,67.1,2.0
191006,68.7,-3.3
191007,75.8,-0.8
191008,73.8,-1.3
191009,67.8,-3.6
191010,64.8,1.2
191011,54.1,1.0
191012,49.0,2.8
191101,46.8,1.2
191102,46.4,-3.7
191103,54.9,1.2
191104,55.9,-2.5
191105,60.9,-4.2
191106,69.5,-2.5
191107,76.4,-0.2
191108,70.9,-4.2
191109,66.2,-5.2
191110,61.4,-2.2
191111,53.2,0.1
191112,46.2,0.0
191201,47.9,2.3
191202,52.5,2.4
191203,51.4,-2.3
191204,54.4,-4.0
191205,64.6,-0.5
191206,71.1,-0.9
191207,74.7,-1.9
191208,73.9,-1.2
191209,70.1,-1.3
191210,59.6,-4.0
191211,52.1,-1.0
191212,46.1,-0.1
191301,43.6,-2.0
191302,50.0,-0.1
191303,52.3,-1.4
191304,57.6,-0.8
191305,65.8,0.7
191306,69.4,-2.6
191307,77.8,1.2
191308,78.5,3.4
191309,73.7,2.3
191310,65.5,1.9
191311,53.2,0.1
191312,45.8,-0.4
191401,48.0,2.4
191402,50.6,0.5
191403,58.0,4.3
191404,59.2,0.8
191405,64.6,-0.5
191406,69.5,-2.5
191407,74.2,-2.4
191408,74.2,-0.9
191409,68.5,-2.9
191410,63.0,-0.6
191411,55.1,2.0
191412,44.8,-1.4
191501,46.5,0.9
191502,49.9,-0.2
191503,56.6,2.9
191504,58.6,0.2
191505,61.0,-4.1
191506,71.9,-0.1
191507,76.2,-0.4
191508,77.0,1.9
191509,70.7,-0.7
191510,65.0,1.4
191511,52.9,-0.2
191512,47.8,1.6
191601,43.1,-2.5
191602,53.6,3.5
191603,56.2,2.5
191604,61.2,2.8
191605,63.0,-2.1
191606,70.6,-1.4
191607,76.6,0.0
191608,74.8,-0.3
191609,71.5,0.1
191610,58.8,-4.8
191611,50.2,-2.9
191612,44.5,-1.7
191701,43.3,-2.3
191702,50.2,0.1
191703,50.9,-2.8
191704,57.8,-0.6
191705,60.8,-4.3
191706,73.9,1.9
191707,80.0,3.4
191708,75.2,0.1
191709,72.0,0.6
191710,67.2,3.6
191711,54.1,1.0
191712,49.2,3.0
191801,47.9,2.3
191802,48.8,-1.3
191803,52.8,-0.9
191804,58.7,0.3
191805,63.2,-1.9
191806,77.6,5.6
191807,75.3,-1.3
191808,75.8,0.7
191809,69.2,-2.2
191810,64.2,0.6
191811,50.3,-2.8
191812,43.2,-3.0
191901,45.3,-0.3
191902,48.1,-2.0
191903,50.8,-2.9
191904,58.5,0.1
191905,66.3,1.2
191906,71.5,-0.5
191907,75.4,-1.2
191908,75.1,0.0
191909,70.6,-0.8
191910,60.3,-3.3
191911,51.7,-1.4
191912,44.8,-1.4
192001,47.6,2.0
192002,49.9,-0.2
192003,50.7,-3.0
192004,56.9,-1.5
192005,65.9,0.8
192006,72.5,0.5
192007,74.3,-2.3
192008,77.7,2.6
192009,69.1,-2.3
192010,59.1,-4.5
192011,51.1,-2.0
192012,46.3,0.1
192101,46.0,0.4
192102,49.7,-0.4
192103,53.9,0.2
192104,56.7,-1.7
192105,61.9,-3.2
192106,73.9,1.9
192107,77.3,0.7
192108,73.4,-1.7
192109,69.6,-1.8
192110,64.3,0.7
192111,53.7,0.6
192112,48.8,2.6
192201,41.4,-4.2
192202,46.5,-3.6
192203,50.6,-3.1
192204,55.4,-3.0
192205,65.8,0.7
192206,71.6,-0.4
192207,77.2,0.6
192208,74.3,-0.8
192209,74.9,3.5
192210,61.6,-2.0
192211,48.9,-4.2
192212,46.8,0.6
192301,43.5,-2.1
192302,48.8,-1.3
192303,55.8,2.1
192304,56.2,-2.2
192305,64.2,-0.9
192306,67.0,-5.0
192307,75.6,-1.0
192308,75.2,0.1
192309,73.4,2.0
192310,62.3,-1.3
192311,56.7,3.6
192312,45.2,-1.0
192401,44.4,-1.2
192402,54.3,4.2
192403,52.6,-1.1
192404,60.2,1.8
192405,68.9,3.8
192406,71.8,-0.2
192407,75.2,-1.4
192408,74.0,-1.1
192409,71.5,0.1
192410,59.4,-4.2
192411,51.0,-2.1
192412,41.8,-4.4
192501,46.8,1.2
192502,51.4,1.3
192503,54.2,0.5
192504,57.7,-0.7
192505,64.3,-0.8
192506,73.1,1.1
192507,78.2,1.6
192508,73.8,-1.3
192509,66.5,-4.9
192510,61.7,-1.9
192511,51.8,-1.3
192512,46.7,0.5
192601,42.5,-3.1
192602,51.7,1.6
192603,58.7,5.0
192604,62.3,3.9
192605,66.2,1.1
192606,75.6,3.6
192607,78.6,2.0
192608,74.0,-1.1
192609,67.7,-3.7
192610,64.7,1.1
192611,57.3,4.2
192612,45.9,-0.3
192701,46.9,1.3
192702,50.0,-0.1
192703,52.1,-1.6
192704,56.3,-2.1
192705,63.5,-1.6
192706,71.6,-0.4
192707,76.6,0.0
192708,72.9,-2.2
192709,68.1,-3.3
192710,64.3,0.7
192711,54.0,0.9
192712,45.8,-0.4
192801,46.4,0.8
192802,50.5,0.4
192803,55.9,2.2
192804,57.8,-0.6
192805,68.4,3.3
192806,73.8,1.8
192807,76.1,-0.5
192808,75.4,0.3
192809,71.2,-0.2
192810,62.7,-0.9
192811,51.9,-1.2
192812,43.6,-2.6
192901,41.6,-4.0
192902,48.4,-1.7
192903,53.1,-0.6
192904,54.1,-4.3
192905,65.6,0.5
192906,71.8,-0.2
192907,76.4,-0.2
192908,76.4,1.3
192909,70.5,-0.9
192910,65.5,1.9
192911,54.6,1.5
192912,50.0,3.8
193001,44.2,-1.4
193002,53.5,3.4
193003,55.3,1.6
193004,58.1,-0.3
193005,60.6,-4.5
193006,73.3,1.3
193007,76.2,-0.4
193008,74.9,-0.2
193009,67.5,-3.9
193010,63.9,0.3
193011,54.1,1.0
193012,45.6,-0.6
193101,47.0,1.4
193102,52.6,2.5
193103,56.6,2.9
193104,62.2,3.8
193105,70.2,5.1
193106,70.6,-1.4
193107,81.5,4.9
193108,77.0,1.9
193109,68.8,-2.6
193110,61.6,-2.0
193111,51.0,-2.1
193112,44.6,-1.6
193201,44.9,-0.7
193202,47.9,-2.2
193203,56.7,3.0
193204,56.1,-2.3
193205,64.6,-0.5
193206,73.2,1.2
193207,76.0,-0.6
193208,75.2,0.1
193209,74.7,3.3
193210,64.0,0.4
193211,57.8,4.7
193212,40.7,-5.5
193301,41.8,-3.8
193302,46.8,-3.3
193303,54.0,0.3
193304,58.7,0.3
193305,60.5,-4.6
193306,70.6,-1.4
193307,80.2,3.6
193308,77.6,2.5
193309,69.1,-2.3
193310,68.8,5.2
193311,54.8,1.7
193312,45.0,-1.2
193401,48.1,2.5
193402,52.0,1.9
193403,59.9,6.2
193404,62.9,4.5
193405,67.8,2.7
193406,71.8,-0.2
193407,76.2,-0.4
193408,76.5,1.4
193409,73.0,1.6
193410,63.9,0.3
193411,54.6,1.5
193412,47.7,1.5
193501,45.4,-0.2
193502,49.3,-0.8
193503,49.2,-4.5
193504,57.1,-1.3
193505,64.7,-0.4
193506,75.1,3.1
193507,75.8,-0.8
193508,76.6,1.5
193509,70.8,-0.6
193510,61.5,-2.1
193511,50.0,-3.1
193512,46.4,0.2
193601,49.4,3.8
193602,49.6,-0.5
193603,56.7,3.0
193604,59.9,1.5
193605,67.2,2.1
193606,72.3,0.3
193607,78.4,1.8
193608,76.9,1.8
193609,72.9,1.5
193610,65.0,1.4
193611,53.3,0.2
193612,44.4,-1.8
193701,37.2,-8.4
193702,46.6,-3.5
193703,54.1,0.4
193704,57.0,-1.4
193705,67.1,2.0
193706,71.8,-0.2
193707,78.5,1.9
193708,76.6,1.5
193709,71.2,-0.2
193710,64.8,1.2
193711,54.6,1.5
193712,48.6,2.4
193801,46.3,0.7
193802,49.3,-0.8
193803,51.9,-1.8
193804,57.4,-1.0
193805,66.8,1.7
193806,73.5,1.5
193807,77.2,0.6
193808,74.5,-0.6
193809,72.9,1.5
193810,61.5,-2.1
193811,50.9,-2.2
193812,48.0,1.8
193901,45.8,0.2
193902,47.1,-3.0
193903,53.8,0.1
193904,63.1,4.7
193905,66.5,1.4
193906,73.0,1.0
193907,77.5,0.9
193908,76.2,1.1
193909,73.4,2.0
193910,63.2,-0.4
193911,53.9,0.8
193912,48.8,2.6
194001,47.7,2.1
194002,52.1,2.0
194003,55.7,2.0
