Date,Value,Anomaly
189501,44.3,-0.2
189502,52.3,3.8
189503,52.6,0.9
189504,58.4,1.6
189505,64.7,1.1
189506,73.2,2.3
189507,74.7,-2.0
189508,74.7,-0.4
189509,66.3,-4.1
189510,63.3,1.1
189511,52.4,0.4
189512,44.8,-0.6
189601,49.4,4.9
189602,52.7,4.2
189603,53.8,2.1
189604,52.0,-4.8
189605,60.4,-3.2
189606,73.4,2.5
189607,79.4,2.7
189608,74.5,-0.6
189609,69.0,-1.4
189610,63.7,1.5
189611,51.7,-0.3
189612,50.2,4.8
189701,45.6,1.1
189702,46.9,-1.6
189703,46.9,-4.8
189704,61.2,4.4
189705,69.4,5.8
189706,70.8,-0.1
189707,76.4,-0.3
189708,75.7,0.6
189709,68.7,-1.7
189710,60.3,-1.9
189711,51.5,-0.5
189712,46.4,1.0
189801,41.0,-3.5
189802,51.8,3.3
189803,50.4,-1.3
189804,61.5,4.7
189805,62.0,-1.6
189806,71.8,0.9
189807,77.0,0.3
189808,76.6,1.5
189809,69.0,-1.4
189810,61.9,-0.3
189811,52.2,0.2
189812,45.7,0.3
189901,47.8,3.3
189902,49.4,0.9
189903,51.3,-0.4
189904,58.0,1.2
189905,60.2,-3.4
189906,72.4,1.5
189907,75.4,-1.3
189908,70.2,-4.9
189909,71.7,1.3
189910,58.4,-3.8
189911,54.4,2.4
189912,45.8,0.4
190001,50.0,5.5
190002,51.7,3.2
190003,56.1,4.4
190004,55.4,-1.4
190005,65.8,2.2
190006,72.8,1.9
190007,76.3,-0.4
190008,71.2,-3.9
190009,65.7,-4.7
190010,59.7,-2.5
190011,55.4,3.4
190012,48.2,2.8
190101,45.4,0.9
190102,49.2,0.7
190103,54.8,3.1
190104,56.7,-0.1
190105,64.4,0.8
190106,71.4,0.5
190107,76.3,-0.4
190108,76.1,1.0
190109,67.7,-2.7
190110,64.3,2.1
190111,54.9,2.9
190112,47.9,2.5
190201,44.2,-0.3
190202,50.3,1.8
190203,49.8,-1.9
190204,55.6,-1.2
190205,61.3,-2.3
190206,72.1,1.2
190207,75.5,-1.2
190208,73.5,-1.6
190209,71.7,1.3
190210,60.9,-1.3
190211,50.3,-1.7
190212,46.6,1.2
190301,45.8,1.3
190302,42.6,-5.9
190303,50.0,-1.7
190304,54.8,-2.0
190305,66.1,2.5
190306,72.5,1.6
