latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.91611,-119.2932,310.72,2.38,1.49,2022-10-01,0514,Terra,MODIS,81,6.1NRT,290.28,40.06,N
35.92488,-119.3013,304.17,2.38,1.49,2022-10-01,0514,Terra,MODIS,59,6.1NRT,289.96,24.81,N
38.76914,-121.7933,328.18,1.04,1.02,2022-10-01,1853,Terra,MODIS,81,6.1NRT,303.92,17.39,D
38.64204,-121.17314,316.78,1.08,1.04,2022-10-01,1853,Terra,MODIS,47,6.1NRT,303.58,6.16,D
38.77102,-121.80504,330.92,1.04,1.02,2022-10-01,1853,Terra,MODIS,83,6.1NRT,307.02,20.97,D
36.9284,-120.01747,322.83,2.3,1.47,2022-10-01,2148,Aqua,MODIS,63,6.1NRT,306.81,30.13,D
36.92411,-120.02223,327.93,2.3,1.47,2022-10-01,2148,Aqua,MODIS,75,6.1NRT,307.53,48.85,D
38.76762,-121.8091,323.41,1.87,1.34,2022-10-01,2148,Aqua,MODIS,66,6.1NRT,310.69,19.91,D
39.15064,-121.54031,325.45,1.03,1.02,2022-10-03,1843,Terra,MODIS,79,6.1NRT,301.25,15.98,D
39.15969,-121.53836,320.87,1.03,1.02,2022-10-03,1843,Terra,MODIS,74,6.1NRT,301.5,12.31,D
39.65722,-122.02818,318.2,1.07,1.03,2022-10-03,1843,Terra,MODIS,68,6.1NRT,301.32,11.31,D
38.6215,-121.84241,328.75,1.04,1.02,2022-10-03,1843,Terra,MODIS,82,6.1NRT,304.66,20.33,D
38.87789,-121.97838,327.59,1.05,1.02,2022-10-03,1843,Terra,MODIS,81,6.1NRT,305.4,19.18,D
38.87945,-121.99035,323.3,1.05,1.03,2022-10-03,1843,Terra,MODIS,76,6.1NRT,305.23,13.76,D
38.99306,-121.59882,314.78,1.03,1.02,2022-10-03,1843,Terra,MODIS,40,6.1NRT,301.56,5.48,D
38.99896,-121.57328,315,1.03,1.02,2022-10-03,1843,Terra,MODIS,30,6.1NRT,302.46,6.23,D
39.12099,-121.58921,342.85,1.04,1.02,2022-10-03,1843,Terra,MODIS,92,6.1NRT,302.52,41.75,D
39.12257,-121.60106,313.69,1.04,1.02,2022-10-03,1843,Terra,MODIS,33,6.1NRT,302.07,3.93,D
39.66132,-122.00804,315.28,1.07,1.03,2022-10-03,1843,Terra,MODIS,48,6.1NRT,299.79,7.61,D
