latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.99919,-123.59553,320.8,0.51,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.86,3.44,N
40.99854,-123.58953,314.84,0.51,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,291.91,2.44,N
40.99652,-123.57108,315.23,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,293.09,1.78,N
40.99587,-123.56512,312.61,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,293.3,2.43,N
40.99472,-123.58985,302.88,0.51,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,291.57,1.08,N
41.00301,-123.59525,327.24,0.51,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.22,3.44,N
41.00094,-123.57626,309.44,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.27,1.78,N
40.98036,-123.5285,305.54,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.28,0.8,N
40.9965,-123.59695,310.03,0.51,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.58,2.27,N
40.98114,-123.52991,307.06,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.37,1.25,N
40.9674,-123.5106,307.81,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.73,2.14,N
40.96535,-123.49266,310.82,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,289.59,1.51,N
40.95245,-123.54813,320.34,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,293.54,3.99,N
40.9404,-117.85925,299.36,0.39,0.36,2022-09-01,0949,N,VIIRS,n,2.0NRT,285.73,0.85,N
40.95182,-123.5425,327.85,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,293.9,3.84,N
40.94924,-123.55373,346.13,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,295.34,3.99,N
40.94864,-123.54836,309.33,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.8,3.99,N
40.94546,-123.55427,354.69,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,301.59,16.26,N
40.94289,-123.53142,306.69,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.9,0.9,N
40.94172,-123.55517,301.32,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,291.14,16.26,N
40.93905,-123.53144,305.44,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.29,0.9,N
40.9308,-123.52634,329.55,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,296.07,5.17,N
40.93148,-123.53239,309.89,0.5,0.41,2022-09-01,0949,N,VIIRS,n,2.0NRT,292.94,5.17,N
